id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
74090,1197,The Birthday Party,0571160786,9780571160785,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,3,,eng,Faber & Faber,false,71685,27,15149,32895,8750,270,5:2349|4:3158|3:2282|2:711|1:250|total:8750,1957,,,3.76,8381,215,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Stanley Webber is visited in his boarding house by strangers, Goldberg and McCann. An innocent-seeming birthday party for Stanley turns into a nightmare.<br /><br /><b>The Birthday Party</b> was first performed in 1958 and is now a modern classic. Produced and studied throughout the world."
551743,1197,The Lover,0822207044,9780822207047,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335816248l/551743._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335816248l/551743._SY75_.jpg,,,,eng,"Dramatists Play Service, Inc.",false,21989547,4,748,1564,403,22,5:116|4:158|3:98|2:27|1:4|total:403,1963,,,3.88,372,19,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Another Off-Broadway success by one of the theatre's most inventive and versatile writers. A subtle blending of artful nuance, veiled menace and zany humor."
74086,1197,Ashes to Ashes,0802135102,9780802135100,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,3,14,,Grove Press,false,71681,8,716,1415,392,30,5:75|4:144|3:128|2:35|1:10|total:392,1996,,,3.61,340,23,['1197'],['Harold Pinter'],['3.79'],[],[],[],"First presented by the Royal Court Theatre in London in September of 1996, Ashes to Ashes is a triumph of power and concision. In the living room of a pleasant house in a university town outside of London, Devlin, threatened by his wife Rebecca's recollections of an abusive ex-lover, questions her relentlessly in his need for a single truth. In her seamless blending of what she knows of violence with the wider violence of the world, Rebecca reveals an eerie communion with the dead victims of unnamed political barbarities.<br />"
2938186,1197,The Room,0573022364,9780573022364,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500726711l/2938186._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500726711l/2938186._SY75_.jpg,,,,,Samuel French,false,24252076,3,711,1380,411,33,5:50|4:122|3:178|2:47|1:14|total:411,1957,,,3.36,408,33,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Rose and Bert rent a room that might almost be a paleolithic cave; the outside is terrifying and unknown. Rose never goes out, Bert only goes to drive his van with furious aggression. A young couple call, and then a blind black man. Bert comes home, massive with triumph at smashing every car that challenged his van. Finding the stranger he kicks him to death and Rose goes blind."
4629012,1197,"The Paris Review Interviews, III",031236315X,9780312363154,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317793359l/4629012._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317793359l/4629012._SX50_.jpg,2008,10,28,,Picador,false,4679050,5,1036,1339,307,26,5:151|4:121|3:32|2:1|1:2|total:307,2008,10,28,4.36,260,18,"['7373', '7372', '3472', '3524', '25022', '7363', '8051', '996', '13091', '11337', '3299', '7927', '7508', '9693', '11315', '15435', '1197', '7464']","['The Paris Review', 'Philip Gourevitch', 'Margaret Atwood', 'Joyce Carol Oates', 'Jean Rhys', 'Raymond Carver', 'Chinua Achebe', 'Ted Hughes', 'Jan Morris', 'Martin Amis', 'Salman Rushdie', 'Norman Mailer', 'Ralph Ellison', 'Georges Simenon', 'Evelyn Waugh', 'William Carlos Williams', 'Harold Pinter', 'John Cheever']","['4.03', '4.22', '4.03', '3.69', '3.65', '4.20', '3.69', '4.09', '4.02', '3.60', '3.83', '3.82', '3.87', '3.73', '3.93', '4.13', '3.79', '3.97']",[],[],[],"<b>""I have all the copies of <i>The Paris Re</i>view and like the interviews very much. They will make a good book when collected and that will be very good for the <i>Review</i>.""--Ernest Hemingway</b><br /><br />Since <i>The Paris Review </i>was founded in 1953, it has given us invaluable conversations with the greatest writers of our age, vivid self-portraits that are themselves works of finely crafted literature. From Salman Rushdie's daring rhetorical question ""why shouldn't literature provoke?"" to Joyce Carol Oates's thrilling comments about her own prolific output, <i>The Paris Review </i>has elicited revelatory and revealing thoughts from our most accomplished novelists, poets, and playwrights. How did Geroges Simenon manage to write about six books a year, what was it like for Jan Morris to write as both a man and a woman, what influences moved Ralph Ellison to write <i>Invisible Man</i>? In the pages of <i>The Paris Review</i>, writers give more than simple answers, they offer uncommon candor, depth, and wit in interviews that have become the gold standard of the literary Q&amp;A. With an introduction by Margaret Atwood, this volume brings together another rich, varied crop of literary voices, including Martin Amis, Norman Mailer, Raymond Carver, John Cheever, Harold Pinter, and more. ""A colossal literary event,"" as Gary Shteyngart put it, <i>The Paris Review Interviews, III</i>, is an indespensible teasure of wisdom from the world's literary masters."
450537,1197,The Hothouse,0802136435,9780802136435,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,2,10,,Grove Press,false,1212146,15,592,1314,352,32,5:80|4:135|3:105|2:27|1:5|total:352,1981,3,1,3.73,265,24,['1197'],['Harold Pinter'],['3.79'],[],[],[],"A black comedy set in a government-run mental institution, The Hothouse revolves around a sinister murder plot hatched against a backdrop of corruption, sexual favors, and hopeless bureaucratic ineptitude. Beneath the surface comedy there are frightening implications concerning a bureaucracy ostensibly dedicated to humanitarian concerns, but where people are referred to by numbers and forgotten as easily as troublesome figures on a balance sheet. Written in 1958, The Hothouse was first performed at London's Hampstead Theatre in April 1980, in a production directed by Pinter himself. ""A blistering funny play. . . . Hothouse is wild, impudent, fiercely funny.""-Jack Kroll, Newsweek<br />"
622649,1197,Mountain Language,0571212379,9780571212378,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408925961l/622649._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408925961l/622649._SY75_.jpg,,,,,Not Avail,false,2861006,7,544,1133,302,12,5:77|4:109|3:85|2:26|1:5|total:302,1988,1,1,3.75,238,5,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Two plays in one volume: Mountain Language - extraordinarily economical and extraordinarily chilling; and Ashes to Ashes - dark, elegiac play, studded with brutally and swaggeringly funny jokes."
74084,1197,"Complete Works, Vol. 4: Old Times / No Man's Land / Betrayal / Monologue / Family Voices",0802150500,9780802150509,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,13,,Grove Press,false,6219912,4,528,1122,268,13,5:113|4:103|3:44|2:5|1:3|total:268,1981,,,4.19,257,13,['1197'],['Harold Pinter'],['3.79'],[],[],[],"This work collects some of the author's most famous writings, including plays, short stories, and essays."
196332,1197,One for the Road,0802151884,9780802151889,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,5,1,,Grove/Atlantic,false,2967629,8,491,1047,276,12,5:77|4:100|3:70|2:23|1:6|total:276,1985,11,1,3.79,265,12,"['1197', '3927590']","['Harold Pinter', 'Ivan Kyncl']","['3.79', '3.80']",[],[],[],
74083,1197,"Complete Works, Vol. 2: The Caretaker / The Dwarfs / The Collection / The Lover / Night School / Revue Sketches",0802132375,9780802132376,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,21,en-US,Grove Press,false,6219911,4,500,1038,243,15,5:114|4:89|3:33|2:6|1:1|total:243,2013,3,21,4.27,227,15,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Along with Samuel Beckett and Eugene Ionesco, Harold Pinter holds an undisputed place in the front ranks of contemporary dramatists. In volume two of his collected works, the plays and revue sketches mark a period of transition, as Pinter's characters and settings become more recognizably realistic, in contrast to the absurdist atmosphere of his earlier work.<br /> <i>The Caretaker</i>, which first brought him fame on both sides of the Atlantic, was called ""a play of strangely compelling beauty and passion"" by Howard Taubman of <i>The New York Times</i>. An essay by Pinter, <i>Writing for Myself</i>, introduces this collection."
74087,1197,The Dwarfs,0802132669,9780802132666,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328856865l/74087._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328856865l/74087._SY75_.jpg,1994,1,21,,Grove Press,false,1259380,20,760,965,369,47,5:17|4:58|3:126|2:102|1:66|total:369,1990,,,2.62,222,23,['1197'],['Harold Pinter'],['3.79'],[],[],[],
12132,1197,"Complete Works, Vol. 3: The Homecoming / Tea Party / The Basement / Landscape / Silence / Revue Sketches",0802150497,9780802150493,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,1,13,,Grove Press,false,6219913,2,383,749,178,5,5:83|4:56|3:32|2:7|1:0|total:178,1978,,,4.21,176,5,['1197'],['Harold Pinter'],['3.79'],[],[],[],
2004439,1197,The Servant,0571160840,9780571160846,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446511309l/2004439._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446511309l/2004439._SY75_.jpg,1991,1,1,eng,Faber & Faber,false,1754402,1,426,680,180,31,5:39|4:75|3:54|2:11|1:1|total:180,1948,,,3.78,8,1,"['87328', '1197']","['Robin Maugham', 'Harold Pinter']","['3.67', '3.79']",[],[],[],"Set in London just after the Second World War, Robin Maugham's slim, haunting novella is a confessional tale told in a simple, urgent voice by one Richard Merton. He tells the story of Tony, a close friend from the war, who breaking links with old friends and habits steadily comes under the influence of his sinister new butler, Barrett. Concerned for his friend, Richard slowly uncovers a strange affair in which both class and sexual barriers have disintegrated into a dark flux. Filmed in 1963 by Joseph Losey, with a screenplay by Harold Pinter, and starring Dirk Bogarde and James Fox, ""The Servant"" is one of the key British films of the 1960s. Robin Maugham (1916 1981) was a prolific author, a military officer, a barrister, and 2nd Viscount Maugham of Hartfield. In his autobiography, Escape from the Shadows, Maugham describes the three dark shadows of his life: his uncle W. Somerset Maugham, his father, and the guilt he suffered due to the ""strict upper-middle-class moral convictions"" that declared his homosexual desires to be perverse."
622610,1197,A Slight Ache,0573022496,9780573022494,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351469904l/622610._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351469904l/622610._SX50_.jpg,1961,,,,Samuel French,false,608977,5,333,671,194,18,5:30|4:66|3:66|2:27|1:5|total:194,1961,,,3.46,181,16,['1197'],['Harold Pinter'],['3.79'],[],[],[],سال نشر: 1383
197792,1197,The French Lieutenant's Woman: The Screenplay,022401983X,9780224019835,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441669395l/197792.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441669395l/197792._SX50_.jpg,,,,,Parlon Productions,false,191324,7,322,610,155,12,5:54|4:57|3:28|2:12|1:4|total:155,1981,,,3.94,124,8,['1197'],['Harold Pinter'],['3.79'],[],[],[],screenplay
436876,1197,Moonlight,0802133932,9780802133939,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,6,6,,Grove Press,false,1158187,12,306,562,168,13,5:20|4:47|3:77|2:19|1:5|total:168,1993,1,1,3.35,136,9,['1197'],['Harold Pinter'],['3.79'],[],[],[],"In one of the most exciting theatrical events of the nineties, Harold Pinter has written his first full-length play since the internationally acclaimed Betrayal in 1978. Pinter, ""one of the most important playwrights of our day"" (The New York Times), again proves himself a vital and innovative literary voice. Set in two bedrooms and an indefinite dark space, Moonlight is the story of a father on his deathbed, rehashing his youth, loves, lusts, and betrayals with his wife, while simultaneously his two sons - clinical, conspiratorial, the bloodless, intellectual offspring of a hearty anti-intellectual - sit in the shadows, speaking enigmatically and cyclically, stepping around and around the fact of their estrangement from their father, rationalizing their love-hate relations with him and the distance that they are unable to close even when their mother attempts to call them home. In counterpoint to their uncomprehending isolation between the extremes of the death before life and the death after is their younger sister, Bridget, who lightly bridges the gaps between youth and age, death and life."
759933,1197,The Collection and The Lover,0571160832,9780571160839,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,12,31,eng,Faber & Faber,false,746030,5,266,524,144,15,5:27|4:57|3:43|2:15|1:2|total:144,1963,1,1,3.64,97,11,['1197'],['Harold Pinter'],['3.79'],[],[],[],"""The Collection"" develops the themes of menace and lack of communication. ""The Lover"" is a one-act play for television, in which two characters play the double parts of wife-mistress and husband-lover. <br /><br />Also included is a short story, ""The Examination""."
74085,1197,The Essential Pinter: Selections from the Work of Harold Pinter,0802142699,9780802142696,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,10,13,,Grove Press,false,71680,3,296,477,116,12,5:47|4:44|3:18|2:5|1:2|total:116,2005,,,4.11,115,11,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Harold Pinter is one of our most profound poets and playwrights, with work ranging from his plays <i>The Caretaker</i>, <i>The Homecoming</i>, and <i>Betrayal</i> to such poems as ""The Bombs"" and ""Death."" A writer known for his searing exploration of power, Pinter gives us an electrifying look into the often uncomfortable relationships between people — whether family members or political opponents. <i>The Essential Pinter</i>, which includes key plays, poetry, essays, and screenplays, is an indispensable companion for anyone wishing to delve into the astonishingly dazzling and frequently ominous world of Harold Pinter. In voyaging in, we not only come to fully appreciate the breadth of a body of work spanning over fifty years, but acquire a better understanding of human interaction.<br />"
240259,1197,The Room & The Dumb Waiter,0571160859,9780571160853,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,4,8,,Faber  Faber,false,24252078,10,223,475,132,12,5:28|4:43|3:45|2:12|1:4|total:132,1957,1,1,3.60,73,3,['1197'],['Harold Pinter'],['3.79'],[],[],[],"<i>The Room</i> and <i>The Dumb Waiter</i><br />In these two early one-act plays, Harold Pinter reveals himself as already in full control of his unique ability to make dramatic poetry of the banalities of everyday speech and the precision with which it defines character.<br /><br />'Harold Pinter is the most original writer to have emerged from the ""new wave"" of dramatists who gave fresh life to the British theatre in the fifties and early sixties.' <i>The Times</i>"
1576330,1197,Plays 4: Betrayal / Monologue / One for the Road / Mountain Language / Family Voices / A Kind of Alaska / Victoria Station / Precisely / The New World Order / Party Time / Moonlight / Ashes to Ashes / Celebration,0571193846,9780571193844,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1569069,1,247,463,113,7,5:42|4:48|3:16|2:6|1:1|total:113,1977,,,4.10,62,2,['1197'],['Harold Pinter'],['3.79'],[],[],[],
796843,1197,Celebration & The Room,0802137083,9780802137081,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,6,12,,Grove Press,false,557948,4,206,460,127,5,5:22|4:50|3:42|2:11|1:2|total:127,2000,3,20,3.62,99,5,['1197'],['Harold Pinter'],['3.79'],[],[],[],"Jack Kroll in Newsweek has called Harold Pinter ""the most fascinating, enigmatic and accomplished dramatist in the English language."" Since his first full-length play, The Birthday Party (1958), and continuing with The Homecoming (1965), Pinter has trained a sharp eye on the strange dynamics of modern family life. In his newest play, Celebration, he continues to examine the darker places of relationships. Celebration is an acerbic portrait of a sated culture choking on its own material success. Startling, full of black humor and wicked satire, Celebration displays a vivid zest for life. Also included in this volume is Pinter's classic play The Room. Both plays are invested with the elements that make Pinter's work unique: the disturbingly familiar dialogue, subtle characterization, and abrupt mood and power shifts among characters, which can be by turns terrifying, moving, and wildly funny."
201478,1197,The Proust Screenplay: À la recherche du temps perdu,080213646X,9780802136466,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,4,5,,Grove Press,false,1419657,12,297,452,113,23,5:40|4:38|3:31|2:3|1:1|total:113,1977,,,4.00,63,11,"['1197', '25484', '117493']","['Harold Pinter', 'Barbara Bray', 'Joseph Losey']","['3.79', '3.84', '4.12']",[],[],[],"In the early 1970s Harold Pinter joined forces with director Joseph Losey and Proust scholar Barbara Bray to develop a screenplay of Proust's masterpiece, Remembrance of Things Past. Pinter took more than a year to conceive and write the screenplay and called the experience ""the best working year of my life."" Although never produced, Harold Pinter's The Proust Screenplay is considered one of the greatest adaptations for the cinema ever written. With fidelity to Proust's text, the screenplay is an extraordinary re-creation by one of the leading playwrights of our time. It is, in its way, a unique collaboration between two extraordinary writers united across more than half a century and two different cultures by a special concern for time and memory."
