id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
30739104,7469,O Amante de Lady Chatterley,9896415986,9789896415983,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466708915l/30739104._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466708915l/30739104._SY75_.jpg,2016,5,,por,Relógio D'Água Editores,false,3249302,971,196162,334965,95675,4829,5:18073|4:30647|3:31811|2:11435|1:3709|total:95675,1928,,,3.50,11,1,"['17623', '7469', '3309212']","['D.H. Lawrence', 'Octavio Paz', 'António R. Salvador']","['3.59', '4.14', '3.57']",[],[],[],"A história da relação entre Constance Chatterley e Mellors, o guarda de caça do seu marido inválido, é o romance mais controverso de Lawrence e talvez o seu texto mais comovente sobre o amor. <br />Escrevendo para libertar as gerações que, a seu ver, consideravam o sexo um simples constrangimento ou ato mecânico, Lawrence disse sobre este livro: «Trabalhei sempre o mesmo tema, encarar a relação sexual não como algo vergonhoso, mas válido e precioso. Penso que neste romance fui mais longe do que em qualquer outro. Para mim, é uma obra bonita, terna e frágil, tal como a nudez.»<br /><br />«A sua religião foi a do começo, um começo que não é o dos antropólogos que estudam as sociedades primitivas; é o começo diário, esse primeiro dia que, cada dia, os amantes inventam.»<br />Octavio Paz em «A Religião Solar de D. H. Lawrence»<br /><br />«Na guerra interminável entre homens e mulheres, Lawrence luta em ambos os lados.»<br />Harold Bloom"
790525,7469,Sunstone/Piedra De Sol,0811211959,9780811211956,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1991,10,17,eng,New Directions,false,776510,23,1981,3615,823,67,5:471|4:231|3:98|2:19|1:4|total:823,1957,,,4.39,654,38,['7469'],['Octavio Paz'],['4.14'],['7468'],['Eliot Weinberger'],['4.31'],"Presented in Eliot Weinberger's excellent new translation with the Spanish texts <i>en face</i>, this is the 1957 poem ""that definitively established Paz as a major international figure"" (<i>Sagetrieb</i>). Written as a single cyclical sentence (at the end of the poem the first six lines are written again), <i>Sunstone</i> is a tour de force of momentum. It takes as its structural basis the circular Aztec calendar, which measured the synodic period of the planet Venus (584 days—the number of lines of <i>Sunstone</i>). But, as The New Republic noted, ""this esoteric correlative design... does not circumscribe its subject. [It is] a lyrically discursive exploration of time and memory, of erotic love, or art and writing."""
80482,7469,Sor Juana Inés de la Cruz o Las trampas de la fe,9681612116,9789681612115,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530285992l/80482._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530285992l/80482._SY75_.jpg,2015,,,spa,"Fondo de Cultura Económica, México",false,14114,15,1789,2482,589,49,5:260|4:224|3:82|2:17|1:6|total:589,1982,11,,4.21,489,33,['7469'],['Octavio Paz'],['4.14'],[],[],[],"Estudio de la vida y la obra de Sor Juana Inés en el mundo de la sociedad de la Nueva España del siglo XVII. En un apéndice se presenta una carta de Sor Juana que es un verdadero alegato, una apología única en favor de la mujer y su reivindicación frente al poder."
11708,7469,In Light of India,0156005786,9780156005784,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,4,1,,Mariner Books,false,1549581,19,1644,2235,551,40,5:194|4:232|3:97|2:18|1:10|total:551,1995,,,4.06,462,33,"['7469', '7468']","['Octavio Paz', 'Eliot Weinberger']","['4.14', '4.31']",[],[],[],“One of the most brilliant and original essayists in any language” (Washington Post Book World) reflects on the six years he spent in India as Mexican ambassador-and reveals how the people and culture of that extraordinary land changed his life. Translated by Eliot Weinberger.<br />
235926,7469,19 Ways of Looking at Wang Wei,0918825148,9780918825148,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,,,eng,Asphodel,false,228508,7,1099,2137,510,86,5:222|4:187|3:81|2:16|1:4|total:510,1987,,,4.19,363,62,"['7468', '7469']","['Eliot Weinberger', 'Octavio Paz']","['4.31', '4.14']",[],[],[],"The difficulty (and necessity) of translation is concisely described in Nineteen Ways of Looking at Wang Wei, a close reading of different translations of a single poem from the Tang Dynasty—from a transliteration to Kenneth Rexroth’s loose interpretation. As Octavio Paz writes in the afterword, “Eliot Weinberger’s commentary on the successive translations of Wang Wei’s little poem illustrates, with succinct clarity, not only the evolution of the art of translation in the modern period but at the same time the changes in poetic sensibility.”"
244942,7469,"The Bow and the Lyre: The Poem, the Poetic Revelation, Poetry and History",0292707649,9780292707641,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369818453l/244942._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369818453l/244942._SX50_.jpg,1973,1,1,,University of Texas Press,false,776526,18,1041,1723,405,35,5:196|4:139|3:53|2:11|1:6|total:405,1956,,,4.25,162,9,['7469'],['Octavio Paz'],['4.14'],['3907330'],['Ruth L. Simms'],['4.39'],"In The Bow and the Lyre Octavio Paz, one of the most important poets writing in Spanish, presents his sustained reflections on the poetic phenomenon and on the place of poetry in history and in our personal lives. It is written in the same prose style that distinguishes The Labyrinth of Solitude. The Bow and the Lyre will serve as an important complement to Paz's poetry.<br /><br />Paz's discussions of the different aspects of the poetic phenomenon are not limited to Spanish and Spanish American literature. He is almost as apt to choose an example from Homer, Vergil, Blake, Whitman, Rimbaud as he is from Lope de Vega, Jimenez, Dario, Neruda. In writing these essays, he draws on his vast storehouse of knowledge, revealing a world outlook of ample proportions. In reading these essays, we share the observations of a searching, original, highly cultivated mind."
11705,7469,Selected Poems,0811208990,9780811208994,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871805l/11705._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871805l/11705._SY75_.jpg,1984,9,17,eng,New Directions,false,14115,5,783,1614,383,21,5:168|4:140|3:66|2:7|1:2|total:383,1979,8,30,4.21,371,18,"['7469', '7468']","['Octavio Paz', 'Eliot Weinberger']","['4.14', '4.31']","['143237', '15435', '5314471', '5314472', '41588', '225041', '884338', '36915', '30010', '31907']","['Charles Tomlinson', 'William Carlos Williams', 'Monique Fong Wust', 'G. Aroul', 'Elizabeth Bishop', 'Paul Blackburn', 'Lysander Kemp', 'Denise Levertov', 'Muriel Rukeyser', 'Mark Strand']","['4.16', '4.13', '4.22', '4.22', '4.20', '4.29', '4.11', '4.13', '4.16', '4.08']","Octavio Paz, asserts Eliot Weinberger in his introduction to these Selected Poems, is among the last of the modernists ""who drew their own maps of the world."" For Latin America's foremost living poet, his native Mexico has been the center of a global mandala, a cultural configuration that, in his life and work, he has traced to its furthest reaches: to Spain, as a young Marxist during the Civil War; to San Francisco and New York in the early 1940s; to Paris, as a surrealist, in the postwar years; to India and Japan in 1952, and to the East again as his country's ambassador to India from 1962 to 1968; and to various universities in the United States throughout the 1970s. A great synthesizer, the rich diversity of Paz's thought is shown here in all its astonishing complexity. Among the sixty-seven selections in this volume, a gathering in English of his most essential poems drawn from nearly fifty years' work, are Muriel Rukeyser's now classic version of ""Sun Stone"" and new translations by editor Weinberger of “Blanco"" and ""Maithuna."" And since for Paz, forever in motion, there can be no such thing as a ""definitive text,"" all the poems have been revised to conform to the poet's most recent changes in the original Spanish. Besides those by Rukeyser and Weinberger, the translations in the Selected Poems are by G. Aroul, Elizabeth Bishop, Paul Blackburn, Lysander Kemp, Denise Levertov, Mark Strand, Charles Tomlinson, William Carlos Williams, and Monique Fong Wust."
1292874,7469,¿Águila o Sol?,0811206238,9780811206235,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342016658l/1292874._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342016658l/1292874._SY75_.jpg,1976,11,1,spa,New Directions Publishing Corporation,false,237407,10,703,1412,337,21,5:151|4:111|3:65|2:8|1:2|total:337,1951,11,6,4.19,269,15,['7469'],['Octavio Paz'],['4.14'],[],[],[],"The first major book of short prose poetry in Spanish, Eagle Or Sun? Exerted an enormous influence on modern Latin American writing. Written in 1949-50 by Nobel Laureate Octavio Paz, Eagle Or Sun? has as its mythopoeic 'place' Mexico.<br /><br />En ¿Āguila o Sol? El autor nos entrega su intensa y vívida interpretación del amor y la belleza, la alegría y la tristeza, el perdón y la reconciliación, el encuentro y la despedida, escrita con translúcida prosa poética y perfección descriptiva.<br /><br />El libro está integrado por narraciones breves y profundas con un toque de sensualidad y erotisimo, estilo propio de Octavio Paz, como se puede apreciar en, Mi vida con la ola, donde describe su encuentro con una bella ola, esbelta y ligera , quien se niega a ser abandonada, viajando juntos en el tren que los llevaría a su hogar. Para evitar que los descubra el conductor, vierte a la ola en el depósito de agua para los pasajeros, salvándola de varios incidentes. Al ser descubiertos, la ola fue vertida sobre el tren evaporàndose y volviéndose a integrar rápidamente, para ir a esperarlo en el lugar de su cita inicial."
244976,7469,Libertad Bajo Palabra (1935-1957),,9788437607757,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1693521,15,808,1324,318,15,5:148|4:100|3:49|2:16|1:5|total:318,1966,1,1,4.16,262,11,['7469'],['Octavio Paz'],['4.14'],[],[],[],"En palabras del propio Octavio Paz ""este libro se fue haciendo poco a poco a través de los años, sin un plan fijo"". Esta edición se fue gestando durante más de 50 años y el título, Libertad bajo palabra, nombra varios textos publicados a lo largo de la vida del poeta. Un libro que es también una vida, tal como su autor la ha reescrito sucesivamente. La colaboración del propio Paz, aclarando problemas del texto y señalando las fuentes de algunas alusiones, ha sido definitiva para el establecimiento de esta edición."
188346,7469,The Zapatista Reader,1560253355,9781560253358,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,1,4,eng,Bold Type Books,false,182060,2,1440,1054,257,13,5:93|4:110|3:44|2:7|1:3|total:257,2001,11,9,4.10,257,13,"['109728', '440042', '215747', '257213', '230252', '419', '1322829', '61848', '26439', '30440', '14256627', '33646', '14256628', '13450', '44267', '94876', '124498', '419288', '105280', '246148', '32135', '1285555', '7469', '54993', '33608', '84549', '205350', '620920', '534156', '338876', '29919', '6869', '133866', '5822041', '4839908', '14256629']","['Tom Hayden', 'Andrew Kopkind', 'Joann Wypijewski', 'Michael McCaughan', 'Bill Weinberg', 'Naomi Klein', 'Carlos Monsiváis', 'Ignacio Ramonet', 'Homero Aridjis', 'Saul Landau', 'Jorge Mancilla', 'Paco Ignacio Taibo II', 'Salvador Carrasco', 'Gabriel García Márquez', 'John Ross', 'Adolfo Gilly', 'Régis Debray', 'Daniel Nugent', 'José de la Colina', 'Jean Meyer', 'Elena Poniatowska', 'José Saramago', 'Octavio Paz', 'Ilan Stavans', 'Enrique Krauze', 'Gary MacEoin', 'Mike Gonzalez', 'Guiomar Rovira', 'Luis Hernández Navarro', 'Manuel Vázquez Montalbán', 'John Berger', 'Alma Guillermoprieto', 'Joel Simon', 'Eduardo Galeano', 'Andrés Oppenheimer', 'Pascal Beltrán Del Río']","['3.87', '4.13', '4.11', '4.09', '4.10', '4.11', '3.97', '4.03', '3.78', '4.13', '4.10', '3.98', '4.10', '3.97', '3.93', '4.07', '3.66', '4.08', '4.12', '3.97', '3.86', '4.02', '4.14', '4.26', '4.04', '4.07', '3.90', '4.11', '4.11', '3.49', '3.85', '3.92', '4.01', '4.25', '4.20', '4.10']",[],[],[],
13792332,7469,The Poems of Octavio Paz,0811220435,9780811220439,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351339164l/13792332._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351339164l/13792332._SY75_.jpg,2012,10,23,eng,New Directions,false,19426208,4,1055,1041,238,18,5:128|4:79|3:23|2:8|1:0|total:238,2012,10,23,4.37,228,18,['7469'],['Octavio Paz'],['4.14'],['7468'],['Eliot Weinberger'],['4.31'],"In 1990, the Swedish Academy awarded Octavio Paz the Nobel Prize in Literature for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity. Paz is a writer for the entire world to celebrate (Chicago Tribune), the poet-archer who goes straight to the heart and mind, where the center of being is one (Nadine Gordimer), the living conscience of his age (Mario Vargas Llosa), a poet-prophet, a genius (Harold Bloom). Here at last is the first retrospective collection of Paz s poetry to span his entire writing career, from the first published poem, at age seventeen, to his magnificent last poem; the whole is assiduously edited and translated by acclaimed essayist Eliot Weinberger who has been translating Paz for over forty years with additional translations by several poet-luminaries. This edition includes many poems that have never before been translated into English, new translations based on Paz s final revisions, and a brilliant capsule biography of Paz by Weinberger, as well as notes on the poems in Paz s own words, taken from various interviews he gave throughout his life."
