id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
21976230,46466,Gyvačių kamuolys,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,,,lit,Vaiga,false,101611,72,6202,8804,2170,172,5:817|4:818|3:411|2:90|1:34|total:2170,1932,,,4.06,1,0,"['61023', '46466']","['François Mauriac', 'Roger Martin du Gard']","['4.32', '4.07']",[],[],[],
1084171,46466,Confidence Africaine,091039508X,9780910395083,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fre,,false,1070937,9,153,309,86,10,5:10|4:39|3:29|2:8|1:0|total:86,1931,,,3.59,23,2,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
184543,46466,Lieutenant-Colonel de Maumort,067943397X,9780679433972,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,12,28,,Knopf,false,178364,7,275,301,72,16,5:33|4:22|3:15|2:1|1:1|total:72,1958,,,4.18,43,9,"['46466', '86203']","['Roger Martin du Gard', 'Timothy Crouse']","['4.07', '4.09']",[],[],[],A soldier contemplates the mysterious paradoxes of human existence as he struggles to resolve a moral dilemma--how to correct an injustice while remaining an uninvolved spectator to the events as they unfold.
22088496,46466,De verdrinking,,9789029081412,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400097621l/22088496._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400097621l/22088496._SY75_.jpg,2008,,,nl,J. M. Meulenhoff,false,41428958,3,129,296,73,9,5:25|4:30|3:16|2:1|1:1|total:73,1983,,,4.05,49,6,['46466'],['Roger Martin du Gard'],['4.07'],['4191629'],['Anneke Alderlieste'],['4.27'],"Op 7 juli 1888 arriveert sergeant de Balcourt in het kleine Franse plaatsje Auney-sur-Marne. Hij zoekt de plek waar hij is ingekwartierd, maar als hij de weg vraagt aan een jongen besluit hij zijn intrek te nemen in de bakkerij waar deze werkt. Hij raakt hopeloos in de ban van de bakkersjongen en achtervolgt hem waar mogelijk. Op de dag voordat Balcourt het dorp gaat verlaten, slaagt hij er eindelijk in een afspraakje te maken. De avond leidt tot een dramatische ontknoping."
13541417,46466,Les Thibault V: l'été 1914 (fin) Épilogue,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381662189l/13541417._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381662189l/13541417._SY75_.jpg,,,,,,false,68329897,3,113,282,67,4,5:31|4:22|3:11|2:3|1:0|total:67,1928,,,4.21,47,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
13541404,46466,Les Thibault IV: l'été 1914 (suite),,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366004510l/13541404._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366004510l/13541404._SY75_.jpg,,,,,,false,68329909,6,99,218,51,2,5:26|4:15|3:8|2:2|1:0|total:51,1928,,,4.27,33,1,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
81512,46466,Notes on André Gide,1885586310,9781885586315,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,11,1,,Helen Marx Books,false,78709,3,44,59,16,2,5:3|4:6|3:6|2:1|1:0|total:16,1951,1,1,3.69,16,2,"['46466', '10234']","['Roger Martin du Gard', 'John Russell']","['4.07', '3.84']",[],[],[],"André Gide is a revered figure in the pantheon of French literature and winner of the Nobel Prize in 1947. But the fascinating, quirky, and intimate portrait drawn in this volume can be relished by someone who has never read or perhaps never even heard of him. He continually surprises us by the extent of his humanity. The book brings up his conflicted sexuality and his fight for the acceptance of homosexuality in an era of stigma and condemnation.<br /><br />His close friendship with Roger Martin du Gard, who was at his bedside when he died, lasted over 38 years. Gide writes of his friend in his journal in 1931: “With (him) I can let myself go and be perfectly natural. There is nobody whose presence now brings me greater comfort.” For his part, Roger Martin du Gard was a substantial writer, best known for a nine-volume family saga, <i>Les Thibault</i>. The notes on Gide are taken from his journal.<br /><br />We eavesdrop on these two remarkable men, both Nobel Prize winners, as they trudge across the countryside on long walks or sit by the fire with a glass of wine after dinner, always probing everything under the sun: their lives and their work, mythology, death. It is honest and revealing. We listen and we learn, and our perceptions shift and deepen. While not a biography, this small but perfect gem of a book written with masterful artistry illuminates our understanding of a great man of genius and the very nature of life.<br /><br /><b>John Russell</b>, former <i>New York Times</i> art critic, translated this book and wrote a new introduction for this volume. He notes du Gard’s “‘golden good humor’: his effortless combination of honesty and generosity. This is a portrait of an artist by an artist—and of a great man by a great man.”"
22300276,46466,Les Thibault Deuxieme Partie Le Pénitencier,1628452668,9781628452662,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400899847l/22300276._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400899847l/22300276._SY75_.jpg,2013,10,31,fre,Windham Press,false,69842942,3,27,54,13,1,5:4|4:7|3:2|2:0|1:0|total:13,,,,4.15,9,1,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
21933076,46466,"Thibault, 2",2070361403,9782070361403,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,1,12,,Schoenhof Foreign Books,false,69843008,3,13,37,8,0,5:6|4:1|3:1|2:0|1:0|total:8,,,,4.62,4,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
2859881,46466,The Critical Muse: Selected Literary Criticism,0140432701,9780140432701,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,10,4,eng,Penguin Classics,false,2886019,4,52,32,8,1,5:3|4:4|3:0|2:0|1:1|total:8,1914,,,4.00,6,0,"['159', '46466']","['Henry James', 'Roger Martin du Gard']","['3.62', '4.07']",[],[],[],
26082808,46466,La Sorellina,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439548292l/26082808._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439548292l/26082808._SY75_.jpg,1939,,,fre,Gallimard,false,69843093,1,11,31,8,0,5:4|4:1|3:1|2:2|1:0|total:8,,,,3.88,8,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
26082753,46466,La belle saison,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439320859l/26082753._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439320859l/26082753._SY75_.jpg,1923,,,fre,Gallimard,false,69843002,1,10,29,8,1,5:2|4:2|3:3|2:1|1:0|total:8,,,,3.62,8,1,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
26082830,46466,Épilogue,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439321957l/26082830._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439321957l/26082830._SY75_.jpg,1953,,,fre,Gallimard,false,56353552,3,10,26,6,0,5:2|4:4|3:0|2:0|1:0|total:6,,,,4.33,6,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
26082799,46466,La Consultation,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439321495l/26082799._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439321495l/26082799._SY75_.jpg,1938,,,fre,Gallimard,false,69843094,1,11,22,7,0,5:2|4:1|3:1|2:2|1:1|total:7,,,,3.14,7,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
18624295,46466,Thibault'n suku: Isän kuolema,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1965,,,fin,Otava,false,26412134,2,10,17,6,0,5:1|4:2|3:0|2:1|1:2|total:6,1929,,,2.83,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
22300275,46466,Les Thibault Premiere Partie Le Cahier Gris,162845265X,9781628452655,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400892978l/22300275._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400892978l/22300275._SY75_.jpg,2013,10,31,fre,Windham Press,false,69842994,1,5,14,4,0,5:1|4:0|3:3|2:0|1:0|total:4,,,,3.50,4,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
15980358,46466,Nobel Prize Reader,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371461541l/15980358._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371461541l/15980358._SX50_.jpg,1965,,,eng,Eagle Books,false,21732415,1,23,13,3,0,5:1|4:2|3:0|2:0|1:0|total:3,1965,1,1,4.33,3,0,"['125974', '7136212', '48535', '29963', '14047178', '5217', '1709', '19405', '7330', '14167341', '7702', '46466', '354530', '1545124', '1113469', '1466', '89330', '61023', '7136214', '957894', '7902', '648081', '6989', '38266', '142051', '54428', '36913', '18317']","['Leo Hamalian', 'Edmond L. Volfe', 'Anatole France', 'W.B. Yeats', 'Władysław Stanisław Reymont', 'George Bernard Shaw', 'Grazia Deledda', 'Thomas Mann', 'Sinclair Lewis', 'Ivan Alekseyevich Bunin', 'Luigi Pirandello', 'Roger Martin du Gard', 'Robert J. Clements', 'Johannes V. Jensen', 'Hermann Hesse', 'Jean-Paul Sartre', 'Pär Lagerkvist', 'François Mauriac', 'Haldor Laxness', 'Albert Camus', 'Boris Pasternak', 'Bjørnstjerne Bjørnson', 'Rudyard Kipling', 'Selma Lagerlöf', 'Maurice Maeterlinck', 'Gerhart Hauptmann', 'Rabindranath Tagore', 'Knut Hamsun']","['4.03', '4.33', '3.90', '4.16', '3.45', '3.91', '3.64', '3.94', '3.76', '4.05', '3.96', '4.07', '3.69', '3.74', '4.05', '3.99', '3.80', '4.32', '4.33', '4.00', '4.03', '3.38', '3.93', '3.85', '3.79', '3.32', '4.13', '4.00']",[],[],[],
27779195,46466,fransk berättarkonst,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447144013l/27779195._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447144013l/27779195._SY75_.jpg,1963,,,swe,Aldus / Bonniers,false,47756601,1,6,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,,,,3.50,2,0,"['5314495', '7617', '51575', '233619', '324750', '46466', '61023', '14661455', '1270766', '63564', '385112', '143226', '1466', '957894', '1433597', '14661456', '31274', '1734372', '249992', '963553']","['C.G. Bjurström', 'André Gide', 'Colette', 'Marcel Proust', 'Valery Larbaud', 'Roger Martin du Gard', 'François Mauriac', 'Marcel Jourhandeau', 'Marcel Arland', 'André Malraux', 'Jules Supervielle', 'Henri Michaux', 'Jean-Paul Sartre', 'Albert Camus', 'Samuel Beckett', 'Nathalie Sarraite', 'Alain Robbe-Grillet', 'Noel Devaulx', 'Henri Thomas', 'Louis-René des Forêts']","['3.64', '3.69', '3.80', '4.21', '3.57', '4.07', '4.32', '3.50', '4.21', '3.69', '3.76', '3.97', '3.99', '4.00', '3.88', '3.50', '3.77', '4.00', '3.71', '3.61']",[],[],[],19 noveller från Franska språkiga författare
5021451,46466,"Oeuvres complètes, tome 2/2",2070103447,9782070103447,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384077441l/5021451._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384077441l/5021451._SY75_.jpg,1982,1,1,fre,Gallimard (Pléiade),false,5088032,1,7,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,,1,1,5.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
2361036,46466,"Temoins D'un Temps Trouble: Roger Martin Du Gard Georges Duhamel, Correspondance 1919 1958 (Bibliotheque De Litterature Et D'histoire) (French Edition)",2256908402,9782256908408,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,2367803,1,2,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,,,,5.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
51352359,46466,Les Thibault: Le Cahier gris (Thibault #1),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,71281283,1,5,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,,,,5.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
134386,46466,"Oeuvres complètes, tome 1",2070103439,9782070103430,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fre,Gallimard (Pléiade),false,129472,1,7,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,1955,,,5.00,1,0,"['46466', '3904233']","['Roger Martin du Gard', 'Albert Camlus']","['4.07', '5.00']",[],[],[],
18519542,46466,NOBEL PRIZE LIBRARY MARTIN DU GARD 1937,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379606603l/18519542._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379606603l/18519542._SX50_.jpg,1971,,,eng,CRM,false,26219471,1,4,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,1971,1,1,5.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
50399781,46466,Straveche Franta,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,rum,,false,75360251,1,1,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
31304503,46466,Franska berättare,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481201994l/31304503._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481201994l/31304503._SX50_.jpg,1961,,,swe,,false,51974048,1,2,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,"['691427', '3382526', '18791', '48535', '1737649', '46466', '35812', '102693']","['Sven Stolpe', 'François Coppée', 'Guy de Maupassant', 'Anatole France', 'Jules Lemaître', 'Roger Martin du Gard', 'Georges Bernanos', 'André Maurois']","['3.76', '3.85', '3.86', '3.90', '3.88', '4.07', '3.83', '4.31']",['4516054'],['Elsa Thulin'],['3.74'],
36049852,46466,Thibault'lar Gri Defter - Yetiştirme Yurdu,9754065993,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502865364l/36049852._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502865364l/36049852._SX50_.jpg,1996,12,,tur,Cem Yayınevi,false,57626525,1,3,3,1,1,5:0|4:0|3:1|2:0|1:0|total:1,,,,3.00,1,1,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
53078715,46466,CONFIDENCE AFRICAINE (BLANCHE),2070242420,9782070242429,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,79673517,1,1,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,,,,3.00,1,0,['46466'],['Roger Martin du Gard'],['4.07'],[],[],[],
