id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
18484167,488659,Jorden runt på 80 dagar,9173484768,9789173484763,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379008454l/18484167._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379008454l/18484167._SX50_.jpg,2010,5,,swe,Bonnier Audio,false,4537271,3154,300082,693697,176531,6428,5:52583|4:70032|3:44373|2:7992|1:1551|total:176531,1872,,,3.93,3,0,"['696805', '771245']","['Jules Verne', 'Peter Haber']","['3.89', '4.40']","['5316437', '4691613', '488659', '6894983']","['Jakob Gunnarsson', 'Henrik Wranér', 'Eyvind Johnson', 'Christina Westman']","['4.04', '3.28', '3.68', '3.67']","Den förmögne gentlemannen Phileas Fogg kommer till sin klubb i sällskap med sin betjänt Passepartout. Innan kvällen är slut har mr Fogg ingått ett vad om att göra en resa jorden runt på åttio dagar. Vadet gäller åttiotusen pund, hälften av hans förmögenhet. Resan startar redan samma kväll och blir en kapplöpning med tiden. Man är tvungen att använda sig av alla sorters kommunikationsmedel: tåg fartyg, häst ja till och med elefanter. Under resan väntar många överraskningar och många hinder, men mr Foggs kallblodighet räddar dem undan den värsta förtreten. Den sista etappen blir den värsta."
7093573,488659,"Krilons resa (Krilon, #2)",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433706305l/7093573._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433706305l/7093573._SY75_.jpg,1966,,,swe,Aldus / Bonniers,false,7350150,1,44,75,19,0,5:8|4:4|3:5|2:2|1:0|total:19,1942,,,3.95,19,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
7093575,488659,"Krilon själv (Krilon, #3)",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434966830l/7093575._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434966830l/7093575._SY75_.jpg,,,,swe,,false,7350153,1,44,73,18,0,5:9|4:4|3:3|2:1|1:1|total:18,,,,4.06,18,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
15797435,488659,Se dig inte om!,9100398586,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517761542l/15797435._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517761542l/15797435._SY75_.jpg,1974,,,swe,Bonniers,false,21520331,3,27,53,16,0,5:0|4:7|3:8|2:0|1:1|total:16,1936,,,3.31,12,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Tredje delen av Eyvind Johnsons självbiografiska romansvit <i>Romanen om Olof</i>. Vi följer huvudpersonen Olof genom arbete och funderingar. Han knogar först på en biograf, sedan som kringresande biografarbetare och hinner också med en sväng som assistent hos en by-smed. Samtidigt läser han mycket, funderar och drömmer om flickor och revolutionen."
15748732,488659,Molnen över Metapontion,9197678740,9789197678742,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342127054l/15748732._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342127054l/15748732._SY75_.jpg,2008,,,swe,Themis Förlag,false,21441260,6,32,48,14,1,5:1|4:7|3:4|2:1|1:1|total:14,1957,,,3.43,10,1,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"""Molnen över Metapontion"" är en roman som sinnrikt flätar samman olika tidsplan, dels modern tid, dels 400-talet f.Kr. i Syditalien och under de tiotusendes härtåg mot Babylon.<br /><br />Svensken Klemens Decorbie åker på 1950-talet till tempelruinerna i Metaponto för att uppfylla ett löfte till en fransk arkeolog, professor Jean-Pierre Lévy, hans kamrat i ett tyskt fångläger under andra världskriget. Och för att skriva en äventyrsbok. I Lévys fotspår blir dennes anteckningar om Themistogenes levande. Ruinerna befolkas av kämpande, tvekande, drickande och älskande som levat här. Och som Themistogenes, deltagit i de tiotusendes härtåg mot Babylon. Även Klemens eget gågna mänger sig in i hans skrivande. De olika personerna väver samman tider, det närvarande och gångna. På så vis gestaltas en känsla av samtidighet eller tidlöshet, att människans villkor i stort sätt är desamma genom århundradena. Vi föds och dör, älskar och hatar, lider och gläds, då som nu."
18709879,488659,"Livsdagen lång: en roman, berättad i Rom",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382443306l/18709879._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382443306l/18709879._SY75_.jpg,1964,,,swe,Bonnier,false,26567640,2,20,44,15,1,5:1|4:4|3:6|2:1|1:3|total:15,1964,,,2.93,14,1,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Det börjar på 800-talet. Immo söker sin käresta Astalda bakom klostermurarna. Men hon försvinner för honom. Han dyker upp under andra namn, Donatus, Donato, Corsant, René de Bresse, under de följande århundradena ständigt på jakt efter kärleken som även den byter namn, till Gisela, Yolande, Adèle. En kärlek som ständigt gäckas. Sista gången på torget i Bordeaux 1548. Där skymtar ett av världslitteraturens stora namn, Michel de Montaigne. Som en symbol för tiden, som är en annan huvudperson i denna märkliga berättelse, flyter den stora floden som skördar sina offer. Den bär namnet Rhenus.<br /><br />Under regniga kvällar konsilieåret 1962 i Rom växer en bred skildring fram från olika århundraden. En dialog mellan Berättaren och vännen Historikern blir till en ""legering"" av roman, självbiografi och essä. Det är inte en historisk roman utan en berättelse byggd på visst historiskt material. Författarens tolkning börjar där historikerns forskning slutar. Livsdagen lång är Eyvind Johnsons mest personliga bok en bok som kommer att bevara sin attraktion som en av de mest fängslande i hans författarskap.<br /><br />I Livsdagen lång framträder en Eyvind Johnson när han är som allra bäst. Det är den ödmjuke iakttagaren som berättar och han gör det med ett språk, en prosa som ingen svensk författare längre är mäktig. I hög grad är Livsdagen lång en kärleksroman, där kärleken framträder både som drift och urkraft och som mening och mål i tillvaron. I återblickarna genom historien går Eyvind Johnson tillbaka till det klassiska Rom och antikens Grekland och här finns på så sätt hela det humanistiska bildningsarvet samlat mellan bokpärmarna."
19049589,488659,Stad i mörker,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571561331l/19049589._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571561331l/19049589._SY75_.jpg,1947,,,swe,Albert Bonniers Förlag,false,27074468,2,17,32,9,2,5:2|4:2|3:4|2:1|1:0|total:9,1947,1,1,3.56,9,2,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Stad i mörker är berättelsen om en norrländsk småstad där livet kvävs och förlamas av den isgråa vintern och där människorna söker sin tillflykt undan ledan och ångesten i maktbegär, alkohol eller en skökas armar. Eyvind Johson söker sig undan ytan, han gräver i själarna, han för fram de hemligaste tankarna, han visar upp trådarna i den underliga väv som är ett människoöde. Stilen är laddad och spänstig, ironisk och intelligent. En djärv och osentimental breättarkonst fylld av tidens problem och nuets liv."
15797444,488659,Slutspel i ungdomen,9100378119,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517762151l/15797444._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517762151l/15797444._SY75_.jpg,1972,,,swe,Aldus/Bonnier,false,21520343,3,18,31,10,0,5:0|4:2|3:7|2:1|1:0|total:10,1937,,,3.10,8,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],Fjärde och sista delen i Eyvind Johnsons självbiografiska romansvit <i>Romanen om Olof</i>. Olof är nu 17-18 år gammal och vi följer honom genom livet någonstans i Norrbotten.
1078701,488659,Några steg mot tystnaden: En roman om fångna,9100385034,9789100385033,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376467943l/1078701._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376467943l/1078701._SY75_.jpg,1973,,,,Bonnier,false,1065421,1,20,30,8,0,5:1|4:5|3:1|2:1|1:0|total:8,1973,1,1,3.75,8,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Romanens samlande gestalt är en äldre advokat i Paris. Från hans liv löper i ett sinnrikt mönster trådarna till 3 i varandra skiktade berättelser. Den 1:a tilldrar sig 1946 på en liten schweizisk ort, dit ett svenskt par kommer på bröllopsresa. Den 2:a är förlagd till napoleontiden, den 3:dje till kvällen före slaget vid Nancy 1477."
17826585,488659,Kommentar till ett stjärnfall,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1950,,,swe,,false,24938116,1,23,29,8,1,5:0|4:5|3:3|2:0|1:0|total:8,1929,,,3.62,8,1,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
2843582,488659,Christmas in Scandinavia,0803239076,9780803239074,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328820531l/2843582._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328820531l/2843582._SX50_.jpg,1996,1,1,eng,University of Nebraska Press,false,3966284,2,38,25,7,3,5:1|4:3|3:2|2:1|1:0|total:7,1996,1,1,3.57,1,1,"['3872703', '5546590', '38266', '8440864', '80498', '6563827', '1666833', '488659', '4593613', '11863624', '1063546', '305752', '273501', '6378', '738045', '7581833', '3068875', '1545124', '1126872']","['Sven H. Rossel', 'Bo Elbrønd-Bek', 'Selma Lagerlöf', 'Frans Emil Sillanpää', 'Gunnar Gunnarsson', 'Jakob Sande', 'Fritiof Nilsson Piraten', 'Eyvind Johnson', 'Heðin Brú', 'Axel Hambræus', 'Villy Sørensen', 'William Heinesen', 'Peter Christen Asbjørnsen', 'Hans Christian Andersen', 'Amalie Skram', 'Sophus Schandorph', 'Hans E. Kinck', 'Johannes V. Jensen', 'Karl August Tavaststjerna']","['3.59', '3.57', '3.85', '3.42', '3.93', '4.14', '3.70', '3.68', '3.77', '3.80', '3.84', '4.08', '4.15', '4.12', '3.69', '3.25', '3.60', '3.74', '3.00']",['1235548'],['David W. Colbert'],['3.50'],"Anyone aware of the magic in Christmas will recognize the inspiration in these stories. Readers will encounter robbers on a raid, a homeless stranger seeking kindness, excited children, and a talking Christmas tree, all under the spell of the season. Here and there appear Nissen, the capped and bearded imps of mischief familiar throughout Scandinavia. <i>Christmas in Scandinavia</i> includes writers from Denmark, the Faroese Islands, Finland, Iceland, Norway, and Sweden. Among the many masterpieces of the Christmas story are Hans Christian Andersen's ""The Fir Tree"" and stories by Nobel laureates Selma Lagerlöf and Johannes V. Jensen. Most of the seventeen pieces collected here have never before been available in English. Each is preceded by a brief headnote. In his introduction, Sven H. Rossel discusses the rich and fascinating Scandinavian Christmas traditions, the origins of this feast, and its celebration in contemporary Scandinavia."
23715892,488659,Bobinack,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418057887l/23715892._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418057887l/23715892._SY75_.jpg,1960,,,swe,Bonnierbilbioteket,false,43325817,2,12,24,8,0,5:0|4:3|3:2|2:3|1:0|total:8,1932,,,3.00,7,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
1078721,488659,"Än en gång, Kapten! : noveller",9174482130,9789174482133,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662767l/1078721._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662767l/1078721._SY75_.jpg,,,,swe,En bok för alla,false,1065441,2,9,22,7,0,5:1|4:1|3:3|2:2|1:0|total:7,1983,1,1,3.14,6,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
23352912,488659,Natten är här,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432493388l/23352912._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432493388l/23352912._SY75_.jpg,1969,,,swe,Bonnier,false,42910069,2,13,21,6,0,5:1|4:1|3:4|2:0|1:0|total:6,1932,,,3.50,6,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],"Mellan de två krigen var Eyvind Johnson en av våra mest internationella författare som i långa perioder bodde i Tyskland, Frankrike, Schweiz. <br /><br />""Natten är här"" är en samling impressioner från mellankrigs-Europa strax före Hitlers maktövertagande: glimtar från höstliga förstäder till Paris, där det lilla livet går vidare, knappt märkt av krigets ångestår, från hyreshus i Berlin-Steglitz där några vinddrivna öden fått en tillflykt, minnen från det sotiga Ruhr och svenska ungdomssomrar.<br /><br />Det är ögonblicksrapporter av stor klarhet och exakthet som direkt förmedlar trettiotals-Europas stämningar av vanmalt och väntan inför den nya katastrofen.<br /><br />I några noveller rör sig Eyvind Johnson i den klassiska föreställningsvärld som han skildrar i ""Strändernas svall""."
16030955,488659,Timans,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662720l/16030955._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662720l/16030955._SY75_.jpg,1944,,,swe,Folket i Bilds Förlag,false,21800737,1,7,19,5,0,5:0|4:4|3:1|2:0|1:0|total:5,1925,,,3.80,5,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
18337676,488659,Vägar över Metaponto,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662078l/18337676._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440662078l/18337676._SY75_.jpg,1959,,,swe,Albert Bonnier,false,25889246,1,10,18,5,0,5:1|4:2|3:1|2:1|1:0|total:5,1959,,,3.60,5,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
22402182,488659,Nattövning,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401888585l/22402182._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401888585l/22402182._SY75_.jpg,,,,,,false,41827083,4,14,16,6,1,5:0|4:1|3:3|2:1|1:1|total:6,1938,1,1,2.67,3,1,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
35271664,488659,ฆาตกรรมซานตาคลอสกับเรื่องสั้นสวีเดน,,9786163013965,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496216947l/35271664._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496216947l/35271664._SY75_.jpg,2015,1,,tha,ลายแฝด,false,56630526,1,10,16,5,2,5:1|4:0|3:3|2:1|1:0|total:5,,,,3.20,5,2,"['6815', '95947', '163175', '533521', '488659', '16904454', '16904455', '6293649', '38266']","['August Strindberg', 'Vilhelm Moberg', 'Moa Martinson', 'Harry Martinson', 'Eyvind Johnson', 'Lars Gyllesten', 'Werner Aspenstrom', 'Birger Vikstrom', 'Selma Lagerlöf']","['3.53', '4.20', '3.66', '3.78', '3.68', '3.20', '3.20', '3.20', '3.85']",[],[],[],"""ฆาตกรรมซานตาคลอสและเรื่องสั้นสวีเดน (ปกแข็ง)"" เล่มนี้ จะพาคุณผู้อ่านไปรู้จักกับวรรณกรรมยอดนิยมของสวีเดน โดยผู้แปลได้คัดสรรด้วยความประสงค์ที่จะให้ผู้สนใจวรรณกรรมได้รู้จักกับวรรณกรรมสวีเดนบ้าง เพราะถึงแม้ว่าเราจะรู้จักกันมายาวนานในประวัติศาสตร์ แต่วรรณกรรมของเขาก็แทบไม่ได้เป็นที่รับรู้กันเลยในหมู่นักอ่านบ้านเรา เรื่องที่รวมอยู่ในหนังสือเล่มนี้ เลือกมาโดยเริ่มจากตัวนักเขียนก่อน ไล่มาจากอดีตเมื่อร้อยปีมาแล้ว อันเป็นเจตนาเบื้องต้นที่อยากจะแนะนำท่านเหล่านี้ จากนั้นก็จับเอาเรื่องที่แต่ละท่านเขียนเลือกเอาเรื่องสั้นหรือส่วนหนึ่งของเรื่องที่รู้จักกันดี และได้รับการยอมรับมาแล้วอย่างกว้างขวางในสวีเดน ด้วยผู้เขียนคิดว่าการได้ลิ้มรสวรรณกรรมของเขา จะทำให้เรารู้จักชาติของเขามากยิ่งขึ้น<br /> สารบัญ<br />- เส้นทางวรรณกรรมสวีเดน <br />- กระดาษเก่าครึ่งเเผ่น <br />- นมเเละขนมปัง <br />- ความตาย <br />- วันหยุดของเเม่ <br />- เเม่เฒ่าคาริ <br />- ฆาตกรรมซานตาคลอส <br />- การผจญภัยไม่สิ้นสุด <br />- โศกนาฎกรรม <br />- เปลี่ยนตัว"
17798551,488659,Minnas,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433706197l/17798551._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433706197l/17798551._SY75_.jpg,1950,,,swe,,false,24897823,1,13,15,4,0,5:0|4:3|3:1|2:0|1:0|total:4,1928,,,3.75,4,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
23716018,488659,Regn i gryningen,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1933,,,swe,Bonniers,false,43325936,1,5,14,3,0,5:2|4:1|3:0|2:0|1:0|total:3,1933,,,4.67,3,0,['488659'],['Eyvind Johnson'],['3.68'],[],[],[],
