id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1078,704,"The Good Earth (House of Earth, #1)",1416500189,9781416500186,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600l/1078._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600l/1078._SY75_.jpg,2009,3,4,eng,Howard Publishing Co,false,2346070,263,332732,870086,218446,9612,5:81343|4:76129|3:42622|2:12637|1:5715|total:218446,1931,3,2,3.98,202222,7743,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.<br /><br />Hard times come upon Wang Lung and his family when flood and drought force them to seek work in the city. The working people riot, breaking into the homes of the rich and forcing them to flee. When Wang Lung shows mercy to one noble and is rewarded, he begins to rise in the world, even as the House of Hwang falls."
17980939,704,The Eternal Wonder,1480439703,9781480439702,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378324583l/17980939._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378324583l/17980939._SY75_.jpg,2013,10,22,eng,Open Road Media E-riginal,false,25211713,33,5886,7825,2202,312,5:503|4:690|3:642|2:257|1:110|total:2202,2013,1,1,3.55,1224,248,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"A recently discovered novel written by Pearl S. Buck at the end of her life in 1973, <i>The Eternal Wonder</i> tells the coming-of-age story of Randolph Colfax (Rann for short), an extraordinarily gifted young man whose search for meaning and purpose leads him to New York, England, Paris, on a mission patrolling the DMZ in Korea that will change his life forever—and, ultimately, to love.<br /><br />Rann falls for the beautiful and equally brilliant Stephanie Kung, who lives in Paris with her Chinese father and has not seen her American mother since she abandoned the family when Stephanie was six years old. Both Rann and Stephanie yearn for a sense of genuine identity. Rann feels plagued by his voracious intellectual curiosity and strives to integrate his life of the mind with his experience in the world. Stephanie struggles to reconcile the Chinese part of herself with her American and French selves. Separated for long periods of time, their final reunion leads to a conclusion that even Rann, in all his hard-earned wisdom, could never have imagined.<br /><br />A moving and mesmerizing fictional exploration of the themes that meant so much to Pearl S. Buck in her life, this final work is perhaps her most personal and passionate, and will no doubt appeal to the millions of readers who have treasured her novels for generations."
93528,704,All Men Are Brothers,1559213035,9781559213035,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,1,1,eng,Moyer Bell and its subsidiaries,false,540222,95,7238,7735,1869,159,5:833|4:603|3:319|2:87|1:27|total:1869,1370,,,4.14,52,7,"['5058690', '5847865', '48298', '100376']","[""Shi Nai'an"", 'Luo Guanzhong', 'Lin Yutang', 'Miguel Covarrubias']","['4.08', '4.31', '4.09', '4.13']",['704'],['Pearl S. Buck'],['3.98'],"This translation of a Chinese classic (14th Century) is the epic tale of a band of patriots in China during the latter part of Sung Dynasty and is considered by most to be one to the three or four greatest novels in Chinese literature. Shui hun chuan (water margin chronicles) is the adventure of a band of 108 outlaws (105 men and 3 women) struggling to help the Emperor rid himself of the despotic prime minister. Like Robin Hood, the bandit kings refer to themselves as the gallant fraternity. They come out to harass the authorities and to attempt to solicit followers to overthrow a corrupt government in the name of the Emperor. Chocked full of ghosts, innkeepers who make hamburgers of their guests, giants of superhuman strength, beautiful women in distress, wily intellectuals and crafty merchants, this is a timeless tale of love and adventure."
18868334,704,"The Good Earth Trilogy: The Good Earth, Sons, and A House Divided",,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,90167,19,4677,6552,1483,86,5:849|4:449|3:145|2:36|1:4|total:1483,1935,1,1,4.42,945,53,['704'],['Pearl S. Buck'],['3.98'],[],[],[],
40669785,704,The Hidden Flower,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530287392l/40669785._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530287392l/40669785._SY75_.jpg,2013,5,21,eng,Open Road Media,true,1239122,39,4519,6431,1602,122,5:601|4:557|3:337|2:80|1:27|total:1602,1952,,,4.01,508,39,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Pearl S. Buck's The Hidden Flower centers on the relationship between a Japanese student and an American soldier stationed in post-war Japan. The Japanese student's father worked in the United States as a doctor, but had to flee to Kyoto to avoid imprisonment in an internment camp. The American soldier has inherited his family's estate in Virginia, where interracial marriage is forbidden. Against such forces, and without the help of their families, how can the love between the young pair — and the future of their child — flourish? The Hidden Flower is an emotionally astute and moving exploration of a taboo love across cultures."
40363243,704,The Living Reed: A Novel of Korea,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527967264l/40363243._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527967264l/40363243._SY75_.jpg,2012,8,21,eng,Open Road Media,true,414939,30,4275,5657,1377,144,5:557|4:496|3:253|2:58|1:13|total:1377,1963,,,4.11,348,35,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"The Living Reed follows four generations of one family, the Kims, beginning with Il-han and his father, both advisors to the royal family in Korea. When Japan invades and the queen is killed, Il-han takes his family into hiding. In the ensuing years, he and his family take part in the secret war against the Japanese occupation. Pearl S. Buck's epic tells the history of Korea through the lives of one family. She paints an amazing portrait of the country, and makes us empathize with their struggle for sovereignty through her beautifully drawn characters."
25994,704,Three Daughters of Madame Liang,1559210400,9781559210409,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,eng,Moyer Bell and its subsidiaries,false,1548845,33,3104,5524,1425,113,5:367|4:603|3:374|2:74|1:7|total:1425,1969,,,3.88,1279,96,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"After her husband takes a concubine, Madame Liang sets out on her own, starting an upscale restaurant and sending her daughters to America to be educated. At the restaurant, the leaders of the People's Republic wine and dine and Madame Liang must keep a low profile for her daughters' sake. Soon her two eldest daughters are called back to serve the People's Republic. Her oldest daughter, Grace, now a doctor, finds meaning through her work. Things are not as easy for her daughter Mercy, a musician who is not in demand in the People's Republic, nor for her new husband who she has brought back to China with her. Watching her two daughters grow apart and knowing that her youngest daughter will never return, Madame Liang must also face the challenges The Cultural Revolution, and how to keep herself and the restaurant, alive."
209285,704,Letter from Peking,0854566945,9780854566945,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331027429l/209285._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331027429l/209285._SX50_.jpg,1969,7,1,eng,Ulverscroft,false,207251,38,2485,4378,1092,92,5:365|4:433|3:244|2:39|1:11|total:1092,1957,1,1,4.01,763,70,['704'],['Pearl S. Buck'],['3.98'],[],[],[],
1556387,704,The Angry Wife,0727806904,9780727806901,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327600107l/1556387._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327600107l/1556387._SY75_.jpg,1980,11,,eng,Severn House,false,1548855,15,2840,4160,1040,85,5:382|4:372|3:206|2:64|1:16|total:1040,1946,,,4.00,320,39,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"<b>A novel of a Southern woman trapped in the past and two brothers divided by the Civil War, from the New York Times–bestselling author of The Good Earth.</b><br /> <br />Lucinda Delaney is a southern belle ruled by a vision of life that no longer exists. The Civil War has come and gone and her side has lost, yet she is determined to proceed as if nothing has changed—a denial that stokes the flames of her irrational angers. Despite her returned husband’s devotion, Lucinda is sure he is having an affair with one of their slaves. After all, his Union-sympathizing brother, Tom, did just that, scandalously running away with the woman and settling into contented family life in Philadelphia. Over the years, her racist feelings and fears only intensify, and when it’s time for her own daughter to marry, her chief concern is the color of the children.<br /> <br /><i>The Angry Wife</i> is a memorable and impassioned dissection of prejudice, as well as a riveting portrait of post­–Civil War America."
1456411,704,Portrait of a Marriage,067178966X,9780671789664,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329970322l/1456411._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329970322l/1456411._SY75_.jpg,,,,,,false,2176417,30,2145,3373,859,52,5:279|4:320|3:194|2:50|1:16|total:859,1940,1,1,3.93,524,35,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Buck follows one woman's journey through a long-term marriage; its romanticized beginning, jolts of disillusionments and losses, and peace through acceptance and faith; as a metaphor for life."
93516,704,Mandala,1559210370,9781559210379,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,1,1,eng,Moyer Bell and its subsidiaries,false,90157,29,2068,3371,936,92,5:188|4:320|3:310|2:103|1:15|total:936,1970,,,3.60,868,75,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"News reaches Maharana Prince Jagat and his wife, Moti, that their only son, Jai, has been killed by the Chinese in a border skirmish. An inconsolable Moti sends Jagat out to bring the boy's spirit home. On the journey, the prince becomes involved with a beautiful and mysterious young American woman. Thus begins the fatal attraction between Eastern and Western ways, one bound by rigid custom, the other temptingly ripe with freethinking."
40669824,704,Kinfolk,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530287762l/40669824._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530287762l/40669824._SY75_.jpg,2012,8,21,eng,Open Road Media,true,1595962,23,2052,3296,788,53,5:312|4:333|3:122|2:17|1:4|total:788,1949,,,4.18,101,3,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Kinfolk is the story of a Chinese family. Dr. Liang moves to America in search of a better life, but his children long to return to China. Each responds to their new life in China differently, providing rich insight into the struggles between Eastern and Western culture, and the differences between generations."
425883,704,The Time Is Noon,0671781065,9780671781064,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,414941,22,2034,2817,710,67,5:246|4:261|3:144|2:52|1:7|total:710,1966,,,3.97,297,42,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"<i>The Time is Noon</i> is the richly hued portrait of a woman as daughter, sister, wife and mother. It is the story of Joan Richards in quest of herself as she grows into womanhood in an American town, between the two world wars."
32920239,704,The Good Earth (Graphic Adaptation),1501132768,9781501132766,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495386161l/32920239._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495386161l/32920239._SX50_.jpg,2017,7,4,eng,Simon  Schuster,false,57800034,5,2187,2507,637,77,5:217|4:227|3:139|2:43|1:11|total:637,2017,7,4,3.94,611,71,"['272333', '704']","['Nick Bertozzi', 'Pearl S. Buck']","['3.58', '3.98']",[],[],[],
813350,704,This Proud Heart,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1938,,,,John Day Co.,false,441466,25,1424,2429,602,67,5:241|4:193|3:126|2:32|1:10|total:602,1938,,,4.03,280,43,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"As her second marriage approaches, a brilliant and independent sculptor faces tensions between her art and everyday life<br /><br />This Proud Heart narrates the experience of a gifted sculptor and her struggle to reconcile her absorbing career with society’s domestic expectations. Susan Gaylord is talented, loving, equipped with a strong moral sense, and adept at anything she puts her hand to, from housework to playing the piano to working with marble and clay. But the intensity of her artistic calling comes at a price, isolating her from other people—at times, even from her own family. When her husband dies and she remarries, she finds herself once again comparing the sacrifice of solitude to that of commitment. With a heroine who is naturalistic yet compellingly larger than life, This Proud Heart is incomparable in its sympathetic study of character. <br /> <br />This ebook features an illustrated biography of Pearl S. Buck including rare images from the author’s estate."
93519,704,The Child Who Never Grew,0933149492,9780933149496,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1992,1,1,eng,Woodbine House,false,1548860,18,1676,2294,590,73,5:189|4:200|3:156|2:36|1:9|total:590,1969,1,1,3.89,369,60,"['704', '7995']","['Pearl S. Buck', 'James A. Michener']","['3.98', '4.13']",[],[],[],"Originally published in 1950, Buck's account of her struggle to help and understand her daughter with mental retardation was perhaps the first disclosure of its kind by a public figure. New material written for this edition amplifies her story and gives the book a historical perspective."
469220,704,Come My Beloved,0671800841,9780671800840,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427507212l/469220._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427507212l/469220._SY75_.jpg,,,,eng,,false,2799337,24,1729,2273,574,52,5:197|4:219|3:115|2:24|1:19|total:574,1953,,,3.96,218,24,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"Touched by the poverty he encounters in Bombay, self-made millionaire David MacArd establishes a seminary for Christian missionary workers, and in so doing shapes the fates of his son and grandson. The choices made by each generation parallel one another, distinctly marked by the passage of time--though the patriarch remains in New York, the second David becomes a missionary in India himself, while his own son, Ted, goes even further, opting to live in a remote village--and these choices come with unforeseen sacrifices. Nor does their religious journey necessarily mean any growing harmony with their surroundings--something that is powerfully brought home when Ted refuses to let his daughter marry across racial lines."
93520,704,The Promise,1559212098,9781559212090,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,1,1,eng,Moyer Bell and its subsidiaries,false,202553,22,1104,1502,375,28,5:123|4:154|3:83|2:7|1:8|total:375,1943,1,1,4.01,288,24,['704'],['Pearl S. Buck'],['3.98'],[],[],[],"In another triumphant cultural and historical novel from Pearl S. Buck, The Promise chronicles a band of Chinese soldiers who are sent to rescue a British-American platoon, pinned down in Burma, while the Japanese army attacks Burma Road during World War II. The dangers that await the brave soldiers are heightened, as they encounter unthankfulness and ingratitude from the foreign soldiers that they hadn't expected. Confronted with an impending attack from the Japanese, growing tension from the Anglo-American forces, the Chinese soldiers must make a difficult choice: abandon their posts or continue on with a suicidal mission."
