id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
16791832,128607,Die Enden der Parabel,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355551023l/16791832._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355551023l/16791832._SX50_.jpg,1989,,,,Rowohlt,false,866393,79,142351,138044,34481,3042,5:15871|4:9132|3:5094|2:2495|1:1889|total:34481,1973,2,28,4.00,0,0,['235'],['Thomas Pynchon'],['3.85'],"['128607', '665157']","['Elfriede Jelinek', 'Thomas Piltz']","['3.53', '3.41']","Winner of the 1973 National Book Award, Gravity's Rainbow is a postmodern epic, a work as exhaustively significant to the second half of the 20th century as Joyce's Ulysses was to the first. Its sprawling, encyclopedic narrative and penetrating analysis of the impact of technology on society make it an intellectual tour de force."
1025968,128607,Der Tod und das Mädchen I - V,383330233X,9783833302336,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,9,30,,Berliner Taschenbuch Verlag,false,1012212,8,228,321,89,9,5:20|4:32|3:25|2:6|1:6|total:89,2004,9,30,3.61,55,5,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
1025964,128607,Michael.,3499158809,9783499158803,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1012208,6,175,265,83,4,5:10|4:26|3:26|2:12|1:9|total:83,1972,1,1,3.19,65,1,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],"Elfrīde Jelineka ir dzimusi 1946. gada 20. oktobrī Štīrijas Mircušlāgā un uzaugusi Vīnē, studējusi teātra zinātni, mākslas vēsturi un müziku. Kaut arī viņas darbi tiek vērtēti ļoti pretrunīgi, 1986. gadā viņa saņēmusi Heinriha Bella balvu un 1998. gadā vācvalodīgās literatūras nozīmīgāko apbalvojumu – Georga Bihnera prēmiju, kā arī daudzas citas balvas gan par dzeju, gan dramaturģiju, gan prozu.<br /><br />2004. gadā Elfrīde Jelineka saņēmusi Nobela prēmiju literatūrā «par muzikālo balsu un pretbalsu plūdumu romānos un lugās, kas ar neparastu dedzību atklāj sabiedrības klišeju absurdumu un nomācošo spēku».<br />Mihaels ir viens no populārākajiem vācu personvārdiem jaundzimušo reģistrā un kino biznesā. Elfrīdes Jelinekas grāmatā šis vārds apzīmē ideoloģisku mēslu čupu, uz kuras zeļ tikai sabiedriski vēlami un politiski izmantojami sapņi. Pietiekami agri aizsāktas selekcijas rezultātā rodas gandrīz vai nereāli mākslīgo sapņu cilvēki, kurus šeit pārstāv divas jaunas meitenes. Tās ieved apziņas šausmenē, ārprātīgā ainavā, kuru veido vieni vienīgi identificēšanās piedāvājumi, varbūt viskļūmīgākie, kādus masu mediji iepotējuši dezorientētajam indivīdam… Elfrīde Jelineka radikāli pakļauj savus jaunos personāžus mākslīgajai pasaules lielvarai, šādi padarot viņus aizvien nespējīgākus noteikt, kas īsti ir realitāte."
1956219,128607,"wir sind lockvögel, baby!",349912341X,9783499123412,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367916101l/1956219._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367916101l/1956219._SY75_.jpg,1988,1,1,ger,Rowohlt Tb.,false,1959176,3,164,232,77,3,5:10|4:19|3:23|2:12|1:13|total:77,1988,1,1,3.01,66,2,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
15957395,128607,Sports Play,1849434026,9781849434027,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367339710l/15957395._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367339710l/15957395._SY75_.jpg,2013,2,26,,Oberon Books,false,14247475,8,149,165,54,2,5:7|4:14|3:16|2:9|1:8|total:54,1998,,,3.06,26,1,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],"The first English translation of Nobel laureate Elfriede Jelinek's astonishing, provocative play, a post-dramatic theatrical exploration of the making, marketing and sale of the human body. It explores contemporary society's obsession with fitness and body culture, bringing into sharp focus our need to belong to a group, team, and nation."
461562,128607,Isabelle Huppert: Woman of Many Faces,0810959909,9780810959903,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,10,18,eng,Harry N. Abrams,false,450015,3,133,157,35,3,5:21|4:11|3:2|2:1|1:0|total:35,1991,1,1,4.49,32,2,"['17655555', '128607', '5770643']","['Ariel Ronald Chammah', 'Elfriede Jelinek', 'Serge Toubina']","['4.50', '3.53', '4.50']",[],[],[],"Isabelle Huppert stands out among actresses due to her audacious choices of roles, both for films (I Heart Huckabees, 8 Women, The Piano Teacher) and theatre. Her intelligence and intuition are evident in the parts she plays."
6153847,128607,Bambiland,3939444251,9783939444251,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353501412l/6153847._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353501412l/6153847._SX50_.jpg,,,,,,false,1959174,6,104,155,48,1,5:9|4:11|3:14|2:10|1:4|total:48,2004,,,3.23,35,0,"['128607', '1158876', '731610', '749651', '2805133', '2805134']","['Elfriede Jelinek', 'Lukas Resetarits', 'Ilja Richter', 'Marion Breckwoldt', 'F.S.K.', 'Helmut Stange']","['3.53', '3.26', '3.31', '3.32', '3.28', '3.26']",[],[],[],
998080,128607,Theaterstücke,3499129965,9783499129964,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453316431l/998080._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453316431l/998080._SY75_.jpg,1992,8,1,ger,Rowohlt,false,983573,2,95,140,45,1,5:5|4:13|3:14|2:8|1:5|total:45,1992,8,1,3.11,28,1,"['128607', '5359497', '5359498']","['Elfriede Jelinek', 'Ute Nyssen', 'Regine Friedrich']","['3.53', '3.29', '3.29']",[],[],[],"Elfriede Jelinek, die unerschrockene Autorin des vielgelesenen Antipornos «Lust», über ihre Bühnenwerke: «Ich bemühe mich nicht um abgerundete Menschen mit Fehlern und Schwächen, sondern um Polemik, starke Kontraste; eine Art Holzschnitttechnik. Ich schlage sozusagen mit der Axt drein, damit kein Gras mehr wächst, wo meine Figuren hingetreten sind.»"
15999973,128607,Her Not All Her: On/With Robert Walser,0956992048,9780956992048,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352963449l/15999973._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352963449l/15999973._SY75_.jpg,2013,3,15,,Sylph Editions,false,21761054,2,175,140,33,5,5:14|4:13|3:6|2:0|1:0|total:33,1998,,,4.24,28,5,"['128607', '322493']","['Elfriede Jelinek', 'Damion Searls']","['3.53', '3.76']",[],[],[],"<i>Her Not All Her</i> is a play about, from, and to the great Swiss writer Robert Walser, by the great Austrian writer and Nobel Prize winner Elfriede Jelinek. It highlights what Jelinek calls ‘the fundamental fragmentation’ of Walser’s voice, revealing Walser as ‘one of those people who, when they said “I”, did not mean themselves’. Presented here in a prize-winning translation by Damion Searls, it shows Jelinek to be an impassioned virtuoso reader of classic European writers. <br /><br />The cahier contains an essay by the Director of the Robert Walser Centre, Reto Sorg, and thirteen paintings by the British artist Thomas Newbolt."
2480354,128607,Wolken. Heim.,3882431474,9783882431476,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403852070l/2480354._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403852070l/2480354._SY75_.jpg,,,,ger,Steidl,false,2487555,4,67,115,36,1,5:4|4:10|3:15|2:3|1:4|total:36,1991,1,1,3.19,23,0,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
2010185,128607,Ce qui arriva quand Nora quitta son mari,2851813218,9782851813213,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453661834l/2010185._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453661834l/2010185._SY75_.jpg,1997,6,13,,L'Arche,false,2487553,4,42,85,25,2,5:4|4:8|3:8|2:4|1:1|total:25,1992,,,3.40,17,1,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],"Théâtre avec treize personnages principaux: cinq femmes, huit hommes et des ouvrières."
6515966,128607,"Die Kontrakte des Kaufmanns, Rechnitz (Der Würgeengel), Über Tiere",3499249847,9783499249846,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327858775l/6515966._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327858775l/6515966._SX50_.jpg,2009,6,,,Rowohlt Taschenbuch Verlag,false,6707792,1,47,84,26,0,5:5|4:6|3:8|2:4|1:3|total:26,2009,6,2,3.23,26,0,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
26240437,128607,Charges (The Supplicants),0857423304,9780857423306,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445053050l/26240437._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445053050l/26240437._SY75_.jpg,2017,4,15,,Seagull Books,false,46232652,4,172,83,25,7,5:5|4:10|3:2|2:4|1:4|total:25,2013,,,3.32,13,5,"['128607', '53162']","['Elfriede Jelinek', 'Gitta Honegger']","['3.53', '3.45']",[],[],[],"In recent years, the refugee problem has become impossible to ignore, as multiple crises in the Middle East and Africa have driven thousands of desperate people to attempt Mediterranean crossings in hopes of reaching Europe, and safety. Many have died en route, and those who make it face a far from certain future, as European governments have proved reluctant to fully acknowledge, let alone commit to ameliorating, their plight.<br /><br /> In <i>Charges (The Supplicants)</i>, Nobel Prize–winning writer Elfriede Jelinek offers a powerful analysis of the plight of refugees, from ancient times to the present. She responds to the immeasurable suffering among those fleeing death, destruction, and political suppression in their home countries and, drawing on sources as widely separated in time and intent as up-to-the-minute blog postings and Aeschylus’s “The Supplicants,” Jelinek asks what refugees want, how we as a society view them, and what political, moral, and personal obligations they impose on us. Looking at the global refugee crisis of our current moment, she analyzes challenges to the political, social, and psychological realities in safe, comfortable Western countries, exploring what everyday language and media coverage reveal about Western perceptions of refugees. In a world where insecurity seems to spread by the day, <i>Charges (The Supplicants)</i>is a timely, unflinching account of how we treat those who come to us in need.<br />"
2480353,128607,"Krankheit, oder: Moderne Frauen",3922009883,9783922009887,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327325070l/2480353._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327325070l/2480353._SX50_.jpg,1987,9,,ger,Prometh,false,2487554,3,59,81,21,0,5:8|4:5|3:6|2:1|1:1|total:21,1987,,,3.86,21,0,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
1025966,128607,er nicht als er,3518457268,9783518457269,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,false,1012210,2,42,75,18,2,5:8|4:5|3:5|2:0|1:0|total:18,1998,11,30,4.17,17,2,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
2173669,128607,Totenauberg: ein Stück,3498033263,9783498033262,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403852306l/2173669._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403852306l/2173669._SY75_.jpg,1991,,,ger,Rowohlt,false,2179323,3,31,74,20,0,5:6|4:6|3:5|2:2|1:1|total:20,1991,,,3.70,18,0,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
1025969,128607,"Stecken, Stab und Stangl. Raststätte. Oder, Sie Machens Alle. Wolken, Heim: Neue Theaterstücke",3499222760,9783499222764,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,12,1,ger,Rowohlt,false,1012213,1,45,69,20,2,5:3|4:9|3:4|2:2|1:2|total:20,1997,,,3.45,20,2,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
1041892,128607,Macht nichts. Eine kleine Trilogie des Todes,3499231611,9783499231612,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,8,1,ger,Rowohlt Taschenbuch,false,1028285,2,53,64,27,3,5:2|4:2|3:7|2:9|1:7|total:27,1999,,,2.37,25,3,['128607'],['Elfriede Jelinek'],['3.53'],[],[],[],
23564857,128607,La pianiste,2866423186,9782866423186,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416049764l/23564857._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416049764l/23564857._SX50_.jpg,2001,8,23,fre,Cahiers du Cinema Livres,false,43163991,1,33,53,15,2,5:4|4:5|3:2|2:3|1:1|total:15,2001,8,23,3.53,15,2,"['855810', '128607']","['Michael Haneke', 'Elfriede Jelinek']","['4.30', '3.53']",[],[],[],Screenplay of the film La Pianiste (The Piano Teacher) by Michael Haneke (based on the novel Die Klavierspielerin of Elfriede Jelinek)
