id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
10766861,570804,Le Rime Di Francesco Petrarca Di Su Gli Originali,1143306686,9781143306686,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,15501745,246,4983,11134,2824,126,5:1002|4:936|3:662|2:170|1:54|total:2824,1336,,,3.94,3,0,"['72460', '570804', '4459969']","['Francesco Petrarca', 'Giosuè Carducci', 'Severino Ferrari']","['3.93', '3.54', '3.00']",[],[],[],
9733888,570804,Le opere: Poesia - Prosa. Nobel 1906,880201910X,9788802019109,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419008578l/9733888._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419008578l/9733888._SX50_.jpg,1997,1,1,ita,UTET,false,14622917,1,7,12,3,0,5:0|4:3|3:0|2:0|1:0|total:3,1997,,,4.00,3,0,"['570804', '11004055']","['Giosuè Carducci', 'Guido Di Pino']","['3.54', '4.00']",[],[],[],
16158663,570804,"Rime, ritmi e sogni d'ombre",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353314952l/16158663._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353314952l/16158663._SX50_.jpg,2012,11,15,ita,RCS Quotidiani S.p.A. Milano,false,21999097,1,8,11,3,0,5:0|4:2|3:1|2:0|1:0|total:3,2012,11,15,3.67,3,0,"['570804', '4461361']","['Giosuè Carducci', 'Ezio Savino']","['3.54', '3.96']",[],[],[],"La poesia è un gioco di prestigio di accenti: dieci anni, Giosue scartabellava le Metamorfosi di Ovidio e le Satire di Persio, scandendo i cembali e i sistri di dattili e cesure. Nell’orecchio, il cantico di una favella toscana, quella di nonna Lucia, forte e soave, mesta come un sirventese del Trecento. Da adulto, si prendeva un bagno nelle strofe degli stilnovisti a ogni risveglio. La rima e il ritmo sono la sua religione. Le parole danzano,<br />si concertano, virtuose del controcanto. La pagina è uno spartito, in battere e in levare. Ogni composizione è un’opera lirica in miniatura, con fragranze d’Ottocento, scenografico pathos che tra<br />il lirismo degli archi e lo strepito dei fiati si affaccia, pericolosamente, al baratro del ridicolo. La melodia martellante gli ha spianato l’erta al trono di vate della nuova nazione.<br /><br />Dall’introduzione di Ezio Savino"
17655960,570804,Poesie e prose,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363633447l/17655960.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363633447l/17655960._SX50_.jpg,1974,,,ita,EDIPEM,false,24634078,3,8,9,3,0,5:0|4:2|3:0|2:0|1:1|total:3,1974,1,1,3.00,2,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
6961557,570804,Opere di Giosuè Carducci: Giambi ed epodi e Rime nuove,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,11,28,ita,Adamant Media Corporation,false,7198804,2,4,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,2001,,,4.50,1,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],"This Elibron Classics book is a facsimile reprint of a 1894 edition by Nicola Zanichelli, Bologna."
40884473,570804,miNatura 87,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532112104l/40884473._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532112104l/40884473._SX50_.jpg,,,,spa,,true,63713931,1,4,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,,,,4.00,2,0,"['10768374', '8185720', '4624490', '18218139', '7979023', '477658', '18218140', '8050', '18218141', '104728', '5831358', '9876', '18218142', '5031312', '18218097', '285217', '18200116', '605183', '18218143', '13847', '10366', '18218099', '3873', '8265509', '570804', '18212606', '6654121', '18209397', '16888916']","['Ricardo Acevedo Esplugas', 'Carmen Rosa Signes Urrea', 'Edgar Allan Poe', 'María del Mar Gutiérrez', 'Lin Carbajales', 'José Antonio Ramos Sucre', 'Roberto Alan Aguilar Bautista', 'Ira Levin', 'Jorge Óscar Rossi', 'William Peter Blatty', 'Alexis Brito Delgado', 'John Milton', 'Alejandro Cafiero', 'Dante Alighieri', ""Alexander O'Farrill"", 'Johann Wolfgang von Goethe', 'Abraham David Zaracho', 'Luis Vélez de Guevara', 'María Sierra Boris Castro', 'Charles Baudelaire', 'Clive Barker', 'Juan Carlos Garcés', 'Mikhail Bulgakov', 'Ibeth Arceo', 'Giosuè Carducci', 'Mercedes Pajarón Pajarón', 'Jose Miguel Jimenez', 'Déborah Fernández Muñoz', 'Darío Lavia']","['3.95', '4.27', '4.17', '4.00', '3.91', '4.39', '4.00', '3.94', '4.00', '4.13', '3.81', '3.85', '4.00', '4.02', '4.00', '3.80', '3.00', '3.23', '4.00', '4.21', '4.09', '4.00', '4.23', '4.20', '3.54', '4.00', '4.00', '4.00', '4.19']",[],[],[],"Revista Digital miNatura 87 Dossier: El diablo<br /><br />Director: Ricardo Acevedo E. <br />Portada: El Diablo por Carmen R. Signes (España)<br />Colaboración y Críticas: minaturacu@yahoo.es<br />Descargarlo en:<a target=""_blank"" href=""http://www.cubaunderground.com"" rel=""nofollow"">http://www.cubaunderground.com</a><br /><br />Sumario:<br />3/ El Demonio de la Perversidad/ E. A. Poe. <br />4/ Artículo: El nombre del Diablo en la literatura medieval del siglo XIII / Mª del Mar Gutiérrez. <br />10/ Vómito/ Luís Carbajales.<br />11/ La vida del Maldito/ José Antonio Ramos Sucre. <br />12/ Del arte del procedimiento/ Roberto Alan Aguilar Bautista. <br />13/ La semilla del Diablo/ Ira Levin. <br />13/ Fábula desmoralizadora/ Jorge Oscar Rossi. <br />14/ El Exorcista/ William Peter Blatty. <br />15/ El ángel caído/ Alexis Brito Delgado.<br />16/ El Paraíso Perdido / John Milton. <br />16/ Grande, Duro, Rojo y Vigoroso/ Alejandro Cafiero. <br />17/ La Divina Comedia/ Dante Alighieri. <br />19/ Encuentro/ Alexander O´farill. <br />19/ Fausto/ Goethe.<br />20/ Venga a nosotros tu reino/ Abrahan David Zaracho. <br />20/ El Diablo Cojuelo/ Luis Vélez de Guevara. <br />21/ Pacto olvidado / Mª Sierra Boris Castro. <br />22/ Letanías de Satán/Charles Baudelaire. <br />23/ Lucifer/ Carmen Rosa Signes Urrea. <br />24/ ¡Abajo Satán!/ Clive Barker. <br />25/ La prematura muerte de un inventor/Juan Carlos Garcés. <br />26/ El Maestro y Margarita/ Mijaíl Bulgákov. <br />27/ Pactos/ Ibeth Arceo.<br />27/ Himno a Satán/ Giosue Carducci. <br />27/ 667/Mercedes Pajarón Pajarón. <br />28/ Artículo: Breve historia del rock satánico / José Miguel Jiménez. <br />31/ Yo, el Diablo / Carlos Daminsky<br />32/ El alma al Diablo/ Déborah Fernández Muñoz.<br />33/ Artículo: El Diablo en el cine / Darío Lavia."
37493466,570804,A Hymn to Satan & Other Translated Poems,1943687013,9781943687015,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579293532l/37493466._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579293532l/37493466._SY75_.jpg,2017,12,5,eng,Underworld Amusements,false,59103232,1,10,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,2017,12,5,4.00,2,0,"['570804', '4416602']","['Giosuè Carducci', 'Robert Merciless']","['3.54', '4.36']","['1227708', '5014716']","['Geoffrey Bickersteth', 'Emily A. Tribe']","['4.33', '3.75']","In 1906 the Nobel Prize for literature was awarded to Giosue Carducci of Italy for extraordinary lifelong accomplishment in the field of poetry. He was a Satanist. By the time he won the Nobel, Carducci had firmly established himself as one of the world's most well-known and influential literary figures with a large body of distinguished work and a long career of artistic achievement, political activism and religious agitation. He had published several volumes of poetry attracting worldwide critical acclaim... Carducci's credentials as a Satanist include not only his worldly successes and overt opposition to Christianity but his writing of the highly controversial poem, Inno a Satana or ""Hymn to Satan."" In writing, publicly reciting and twice publishing this astounding poem, he stepped firmly beyond his paganism and even his anti-clericalism into the realm of modern Satanism by embracing the mythic character of Satan as an exemplary role model and heroic archetypal symbol. Indeed, it is this taking of Satan as an exemplar symbol that is the defining characteristic of the Modern Satanist. -R.Merciless, from his introduction."
11285050,570804,Il canto dell'amore,,2940038812405,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,16212361,3,3,8,2,0,5:0|4:2|3:0|2:0|1:0|total:2,,,,4.00,2,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
19475213,570804,Della canzone di Legnano (Italian Edition),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,27560303,1,3,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,2011,11,14,3.50,2,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
22725025,570804,Nobelpristagare: Dikter,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025._SX50_.jpg,1966,,,swe,Svalans lyrikklubb/Bonniers,false,41915312,2,10,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,1964,1,1,3.50,1,0,"['8307097', '4420496', '3119996', '648081', '966415', '570804', '6989', '142051', '36913', '599498', '337113', '18317', '29963', '1545124', '140617', '1113469', '18540', '89330', '36635', '7902', '599188', '275175', '16853363']","['Sven Lindner', 'Anders Österling', 'Sully Prudhomme', 'Bjørnstjerne Bjørnson', 'Frédéric Mistral', 'Giosuè Carducci', 'Rudyard Kipling', 'Maurice Maeterlinck', 'Rabindranath Tagore', 'Verner von Heidenstam', 'Carl Spitteler', 'Knut Hamsun', 'W.B. Yeats', 'Johannes V. Jensen', 'Gabriela Mistral', 'Hermann Hesse', 'T.S. Eliot', 'Pär Lagerkvist', 'Juan Ramón Jiménez', 'Boris Pasternak', 'Salvatore Quasimodo', 'Saint-John Perse', 'George Seferis']","['3.67', '3.27', '3.32', '3.38', '3.54', '3.54', '3.93', '3.79', '4.13', '3.16', '3.42', '4.00', '4.16', '3.74', '4.00', '4.05', '4.16', '3.80', '3.82', '4.03', '4.09', '3.87', '4.27']","['5396262', '6578711', '1041592', '37086', '621106', '1073815', '5554612', '8386595', '1276808', '6361322', '8307135', '3068025', '6221898', '1701137', '4138077', '6452831', '4588769', '446692', '8386596', '4732315', '2984275', '7204991', '97178', '6362619', '4577631', '3153474', '8386597']","['Sten Selander', 'Emil Zilliacus', 'Karl Asplund', 'Karin Boye', 'Bo Bergman', 'Gunnar Ekelöf', 'Andrea Butenschön', 'Nils Svanberg', 'Erik Blomberg', 'Johannes Edfelt', 'Petter Bergman', 'Hjalmar Gullberg', 'Bertil Malmberg', 'Erik Mesterton', 'Arne Häggqvist', 'Ebbe Linde', 'Björn Julén', 'Tomas Tranströmer', 'Magda Lagerman', 'Nils Åke Nilsson', 'Ralf Parland', 'Leo Lindeberg', 'Östen Sjöstrand', 'Sture Axelson', 'Göran O. Eriksson', 'Erik Lindegren', 'Börje Knös']","['3.20', '3.48', '4.33', '3.79', '3.37', '3.94', '4.00', '4.00', '3.41', '3.52', '3.00', '3.56', '3.42', '4.05', '3.54', '3.57', '3.07', '4.08', '2.75', '3.71', '3.26', '3.62', '3.57', '3.64', '3.41', '3.65', '3.00']",
18481921,570804,NOBEL PRIZE LIBRARY CARDUCCI 1906,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378919376l/18481921._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378919376l/18481921._SX50_.jpg,1970,,,eng,CRM,false,26157464,1,9,6,2,1,5:0|4:0|3:2|2:0|1:0|total:2,1970,1,1,3.00,2,1,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],POEMS
11934584,570804,"Selections From Carducci, Prose And Poetry: With Introduction, Notes And Vocabulary",1103820842,9781103820849,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,16895407,8,3,6,2,0,5:0|4:1|3:0|2:1|1:0|total:2,,,,3.00,2,0,['570804'],['Giosuè Carducci'],['3.54'],[],[],[],
