id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6217,4203,"Kristin Lavransdatter (Kristin Lavransdatter, #1-3)",0143039164,9780143039167,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,9,27,eng,Penguin Books,false,1370150,74,29959,36890,8612,1140,5:4511|4:2557|3:1122|2:319|1:103|total:8612,1920,,,4.28,7342,945,"['4203', '204796']","['Sigrid Undset', 'Brad Leithauser']","['4.17', '3.88']",['163203'],['Tiina Nunnally'],['3.79'],"In her great historical epic <i>Kristin Lavransdatter</i>, set in fourteenth-century Norway, Nobel laureate Sigrid Undset tells the life story of one passionate and headstrong woman. Painting a richly detailed backdrop, Undset immerses readers in the day-to-day life, social conventions, and political and religious undercurrents of the period. Now in one volume, Tiina Nunnally's award-winning definitive translation brings this remarkable work to life with clarity and lyrical beauty. <p> As a young girl, Kristin is deeply devoted to her father, a kind and courageous man. But when as a student in a convent school she meets the charming and impetuous Erlend Nikulaussøn, she defies her parents in pursuit of her own desires. Her saga continues through her marriage to Erlend, their tumultuous life together raising seven sons as Erlend seeks to strengthen his political influence, and finally their estrangement as the world around them tumbles into uncertainty. </p><p> With its captivating heroine and emotional potency, <i>Kristin Lavransdatter</i> is the masterwork of Norway's most beloved author, one of the twentieth century's most prodigious and engaged literary minds and, in Nunnally's exquisite translation, a story that continues to enthrall.</p>"
12588051,4203,Ida Elisabeth,158617424X,9781586174248,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,9,15,eng,Ignatius Press,false,14088376,12,641,849,221,27,5:61|4:86|3:55|2:16|1:3|total:221,1932,,,3.84,167,21,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"In an effort to redeem her reputation, Ida Elisabeth imprudently marries her teenage sweetheart, Frithjof. Early in their marriage, she realizes that her charming husband is too irresponsible to support the family and sews dresses to make ends meet. When Frithjof becomes involved with another woman, Ida Elisabeth divorces him. The single mother moves with her children to a small town. Still young and good looking, the admirably hardworking Ida Elisabeth attracts the attention of a successful lawyer, who possesses the manly virtues that her husband lacked. As she contemplates marrying again, Frithjof, now gravely sick, reenters her life. Unlike Undset's famous historical novels, which are set in medieval Norway, the story of Ida Elisabeth unfolds in the 1920s. As in Undset's other fiction, however, Ida Elisabeth poignantly illustrates how poor choices affect the course of a person's life and how the suffering endured because of grievous mistakes can become the means by which a love is purified. Even in her historical novels, the Nobel Prize-winning Undset tackled contemporary themes. With its setting in modern times, Ida Elisabeth examines the difficulties inherent in male-female relationships as they are experienced in contemporary society. Undset's descriptions of the Norwegian people and countryside coupled with her profound understanding of the human heart won her worldwide literary acclaim. Both are powerfully displayed in this compelling drama about fidelity and forgiveness."
18778004,4203,Marta Oulie,0816692521,9780816692521,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407813626l/18778004._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407813626l/18778004._SY75_.jpg,2014,3,15,eng,Univ Of Minnesota Press,false,2059302,6,786,840,224,47,5:44|4:101|3:63|2:11|1:5|total:224,1907,,,3.75,137,37,"['4203', '163203']","['Sigrid Undset', 'Tiina Nunnally']","['4.17', '3.79']",[],[],[],"<br />“I have been unfaithful to my husband.” <i>Marta Oulie</i>’s opening line scandalized Norwegian readers in 1907. And yet, Sigrid Undset had a gift for depicting modern women “sympathetically but with merciless truthfulness,” as the Swedish Academy noted in awarding her the Nobel Prize for Literature in 1928. At the time she was one of the youngest recipients and only the third woman so honored. It was Undset’s honest story of a young woman’s love life—“the immoral kind,” as she herself bluntly put it—that made her first novel an instant sensation in Norway.<br /><br /><i>Marta Oulie</i>, written in the form of a diary, intimately documents the inner life of a young woman disappointed and constrained by the conventions of marriage as she longs for an all-consuming passion. Set in Kristiania (now Oslo) at the beginning of the twentieth century, Undset’s book is an incomparable psychological portrait of a woman whose destiny is defined by the changing mores of her day—as she descends, inevitably, into an ever-darker reckoning. Remarkably, though Undset’s other works have attracted generations of readers, <i>Marta Oulie </i>has never before appeared in English translation. Tiina Nunnally, whose award-winning translation of Undset’s <i>Kristin Lavransdatter</i> captured the author’s beautifully clear style, conveys the voice of Marta Oulie with all the stark poignancy of the original Norwegian.<br />"
983079,4203,The Master of Hestviken,0394435559,9780394435558,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438546271l/983079._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438546271l/983079._SX50_.jpg,1977,11,28,eng,Random House Inc. (NY),false,25476,10,538,694,161,15,5:86|4:48|3:21|2:3|1:3|total:161,1927,,,4.31,135,10,['4203'],['Sigrid Undset'],['4.17'],[],[],[],
6630215,4203,Happy Times in Norway,0313212678,9780313212673,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1979,1,1,,Greenwood Press,false,6824565,13,265,387,99,15,5:27|4:42|3:24|2:6|1:0|total:99,1942,,,3.91,58,10,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"<br />""Happy Times""""in Norway"" is a moving and delicately humorous picture of Undset's own blissful home life before her nation fell to the Nazi occupation. Captured here is the excitement of a Norwegian Christmas, the Seventeenth of May, and summer in the idyllic mountains, as well as the chaotic adventure of raising two energetic boys. With vivid detail and illuminating descriptions of the landscape, ""Happy Times in Norway"" is infused with the wish that those cherished days could come again. <br />"
6468023,4203,The Garland/The Mistress of Husaby (Kristin Lavransdatter #1-2),1444627988,9781444627985,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,false,6825981,5,167,317,74,7,5:40|4:20|3:11|2:1|1:2|total:74,1920,,,4.28,50,5,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork."
6224,4203,The Unknown Sigrid Undset: Jenny and Other Works,1586420216,9781586420215,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,12,31,eng,Steerforth Press,false,9533,1,149,208,50,11,5:18|4:24|3:6|2:2|1:0|total:50,2001,5,10,4.16,50,11,"['4203', '53014']","['Sigrid Undset', 'Tim Page']","['4.17', '4.00']","['163203', '229978']","['Tiina Nunnally', 'Naomi Walford']","['3.79', '4.11']","Sigrid Undset's Kristin Lavransdatter trilogy is an internationally best-selling classic, but her earlier work has long been out of print. In this new collection, readers finally have a window into Undset's views on women's sexuality, the relationship between motherhood and art, and the complex dynamic between women and men. The book includes two short stories, ""Simonsen"" and ""Tjodolf"", which capture the lives of people living in Christiana (now Oslo) in 1900; a novel, Jenny, which tells the story of a disenchanted painter; and an assortment of letters written between 1900 and 1922."
6630210,4203,Printemps,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388351519l/6630210._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388351519l/6630210._SY75_.jpg,2002,1,20,,Stock,false,6580102,20,131,194,54,6,5:13|4:16|3:17|2:6|1:2|total:54,1914,,,3.59,20,1,['4203'],['Sigrid Undset'],['4.17'],[],[],[],
6630202,4203,Olav Audunssoen 1-2 (Olav Audunssøn #1-2),8474906423,9788474906424,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,1,14,spa,Ediciones Encuentro Sa,false,16321833,11,100,193,48,0,5:14|4:22|3:11|2:1|1:0|total:48,1925,,,4.02,34,0,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"Olav Audunsson växer upp som fosterson hos storbonden Steinfinn på Frettastein. Redan när han är sju år blir han trolovad med Steinfinns dotter Ingunn - kanske bara ett skämt för de vuxna men för Olav djupt allvar. ""Det var det enda vissa i hans liv, att han och Ingunn voro oupplösligt bundna vid varann och skulle följas åt."" Men när de har vuxit upp tycker omgivningen inte att det är lika självklart.<br /><br />Olavs och Ingunns livshistoria utspelas i en tid och en miljö - det slutande 1100-talets Norge - där motsättningar naturligt och av hävd utmynnar i våldsdåd men där också den unga kyrkan kraftfullt hävdar sin makt över den enskilde. Med samma betvingande inlevelse som i ""Kristin Lavransdotter"" återskapar Sigrid Undset här medeltidens oroliga och konfliktfyllda samhälle, och liksom i den tidigare romanen gestaltar hon människans eviga livsfrågor i pregnant tecknade individer. Olav Audunsson i Hästviken är en roman om skuld och försoning, obeveklig i sin klarsyn, befriande genom sin varma förståelse och medkänsla."
6225,4203,Return to the Future,1886627126,9781886627123,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392567090l/6225._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392567090l/6225._SY75_.jpg,,,,eng,,false,9534,3,162,178,48,13,5:8|4:23|3:13|2:3|1:1|total:48,1953,1,1,3.71,45,13,"['4203', '5822596']","['Sigrid Undset', 'Henriette C.K. Naeseth']","['4.17', '3.71']",[],[],[],"This is the passionate journal of the author’s perilous flight from Norway to Sweden, across Russia to Japan, and finally of the United States during World War II."
6604998,4203,The Wild Orchid,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379817557l/6604998._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379817557l/6604998._SX50_.jpg,1931,,,eng,Alfred A. Knopf,false,6798902,9,130,171,46,7,5:11|4:20|3:8|2:5|1:2|total:46,1929,,,3.72,35,5,['4203'],['Sigrid Undset'],['4.17'],[],[],[],"Romaan käsitleb noore mehe Paul Selmeri teed vabamõtlemisest katoliikluseni, aga enne kui ta selleni jõuab, elab ta oma elus läbi mitu etappi: vanemate lahutuse, isa uue abielu, teeb läbi arengu üliõpilasest küpseks meheks. Pealkiri on võetud peategelase ema aiast – see on valge lõhnav orhidee, ladinakeelse nimega gymnadenia. Pauli lummab poisina see nimi ja ta on pettunud, kui näeb lille, mille õied on väikesed ja silmapaistmatud. Pauli esimene armastus on Lucy, tütarlaps lillekauplusest, kuid klassivahe ja kultuurilised vastuolud komplitseerivad suhet – Paul abiellub hoopis teisega."
983086,4203,Stages on the Road,0836910680,9780836910681,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335252096l/983086._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335252096l/983086._SX50_.jpg,1969,,,eng,Ayer Co Publ.,false,967975,5,171,143,36,7,5:11|4:18|3:2|2:5|1:0|total:36,1934,6,1,3.97,19,3,"['4203', '1119654']","['Sigrid Undset', 'Arthur G. Chater']","['4.17', '4.20']",[],[],[],
1527586,4203,The Burning Bush,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535759177l/1527586._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535759177l/1527586._SY75_.jpg,1932,,,eng,Alfred A. Knopf (NYC),false,1519554,10,134,127,31,6,5:14|4:10|3:3|2:4|1:0|total:31,1930,,,4.10,24,5,['4203'],['Sigrid Undset'],['4.17'],[],[],[],
2469837,4203,La Femme fidèle,2070373800,9782070373802,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1982,5,1,fre,Gallimard Education,false,2477034,8,65,107,29,6,5:5|4:15|3:5|2:3|1:1|total:29,1936,,,3.69,10,3,['4203'],['Sigrid Undset'],['4.17'],[],[],[],=The Faithful wife
