id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
52036,1113469,Siddhartha,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036._SY75_.jpg,1981,12,1,eng,Bantam Books,false,4840290,1435,921821,2218671,551235,16356,5:220265|4:181593|3:105008|2:31581|1:12788|total:551235,1922,,,4.02,471821,11156,['1113469'],['Hermann Hesse'],['4.05'],['8463'],['Hilda Rosner'],['4.01'],"Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning."
34352,1113469,Gertrude,0312424639,9780312424633,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312004459l/34352._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312004459l/34352._SX50_.jpg,2005,8,1,,Picador,false,21561503,90,9459,19554,5071,238,5:1349|4:2001|3:1400|2:284|1:37|total:5071,1910,,,3.86,4071,144,['1113469'],['Hermann Hesse'],['4.05'],['8463'],['Hilda Rosner'],['4.01'],"With <i>Gertrude</i>, Herman Hesse continues his lifelong exploration of the irreconcilable elements of human existence. In this fictional memoir, the renowned composer Kuhn recounts his tangled relationships with two artists--his friend Heinrich Muoth, a brooding, self-destructive opera singer, and the gentle, self-assured Gertrude Imthor. Kuhn is drawn to Gertrude upon their first meeting, but Gertrude falls in love with Heinrich, to whom she is introduced when Kuhn auditions them for the leads in his new opera. Hopelessly ill-matched, Gertrude and Heinrich have a disastrous marriage that leaves them both ruined. Yet this tragic affair also becomes the inspiration for Kuhn's opera, the most important success of his artistic life."
24854,1113469,Knulp,3518380710,9783518380710,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299235505l/24854._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299235505l/24854._SY75_.jpg,1988,,,ger,Suhrkamp Verlag,false,3127679,93,7681,17277,4482,238,5:1161|4:1792|3:1283|2:209|1:37|total:4482,1915,,,3.85,3369,118,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"Die drei Geschichten aus dem Leben des Landstreichers Knulp, einem Nachfahren von Eichendorffs Taugenichts, zählen zu den reizvollsten Stücken der frühen Prosa Hermann Hesses. In der Folge seiner Werke gehören sie zum großen Zyklus seiner Gerbersau-Erzählungen, der uns das Leben in einer schwäbischen Kleinstadt um die Jahrhundertwende am Beispiel zahlreicher charakteristischer und größtenteils authentischer Einzelschicksale überliefert."
13514,1113469,The Fairy Tales of Hermann Hesse,0553377760,9780553377767,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428709957l/13514._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428709957l/13514._SY75_.jpg,1995,10,,eng,Bantam Books,false,1486566,79,10033,15677,3928,201,5:1329|4:1470|3:934|2:155|1:40|total:3928,1919,1,,3.99,3313,147,"['1113469', '202629']","['Hermann Hesse', 'David Frampton']","['4.05', '3.85']",['41878'],['Jack D. Zipes'],['4.09'],"To read Hermann Hesse's fairy tales is to enter a fabulous world of dreams and visions, philosophy and passion. This landmark collection contains twenty-two of Hesse's finest stories in this genre, most translated into English here for the first time. Full of visionaries and seekers, princesses and wandering poets, his fairy tales speak to the place in our psyche that inspires us with deep spiritual longing; that compels us to leave home, and inevitably to return; and that harbors the greatest joys and most devastating wounds of our heart. <br /><br />Containing all the themes common in Hesse's great novels <i>Siddhartha</i>, <i>Steppenwolf</i>, and <i>Demian</i>—and mirroring events in his own life, these exquisite short pieces exhibit the same mystical and romantic impulses that contribute to the haunting brilliance of his major works. Several stories, including ""The Poet,"" ""The Fairy Tale About the Wicker Chair,"" and ""The Painter,"" examine the dilemma of the artist, torn between the drive for perfection and the temptations of pleasure and social success. Other tales reflect changes and struggles within society: in ""Faldum,"" a city is irrevocably transformed when each resident is granted his or her fondest wish; in ""Strange News from Another Planet,"" ""If the War Continues,"" and ""The European,"" nightmarish landscapes convey Hesse's devastating critiques of nationalism, barbarism, and war.<br /> <br />Illuminating and inspiring, <i>The Fairy Tales of Hermann Hesse</i> will challenge and enchant readers of all ages. A distinguished and historic publication, this fine translation by Jack Zipes captures their subtlety and elegance for decades nto come."
10064,1113469,Rosshalde,9500725959,9789500725958,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,Sudamericana,false,1372779,77,7686,14915,3981,240,5:861|4:1580|3:1243|2:264|1:33|total:3981,1914,,,3.75,3104,125,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"<p><i>Rosshalde </i>is the classic story of a man torn between obligations to his family and his longing for a spiritual fulfillment that can only be found outside the confines of conventional society.</p><p>Johann Veraguth, a wealthy, successful artist, is estranged from his wife and stifled by the unhappy union. Veraguth’s love for his young son and his fear of drifting rootlessly keep him bound within the walls of his opulent estate, Rosshalde. Yet, when he is shaken by an unexpected tragedy, Veraguth finally finds the courage to leave the desolate safety of Rosshalde and travels to India to discover himself anew.</p>"
336304,1113469,Klingsors letzter Sommer,345834098X,9783458340980,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,4,1,ger,"Insel, Frankfurt",false,2115268,93,3912,7462,2120,180,5:395|4:691|3:720|2:249|1:65|total:2120,1919,,,3.52,955,22,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"Geschildert werden die letzten Lebensmonate eines Malers, dessen Lebensgier und Schaffensrausch an die Intensität Vincent van Goghs erinnern: ""Die Natur hat zehntausend Farben, wir aber haben uns in den Kopf gesetzt, die Skala auf zwanzig zu reduzieren."" (Amazon)"
100793,1113469,Wandering,0224008048,9780224008044,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369039806l/100793._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369039806l/100793._SX50_.jpg,1972,,,eng,"Farrar, Straus, and Giroux, Inc. (NY)",false,97189,31,4497,6144,1523,195,5:585|4:523|3:313|2:86|1:16|total:1523,1920,,,4.03,800,69,"['1113469', '66244']","['Hermann Hesse', 'James Wright']","['4.05', '4.24']",[],[],[],"On May 2, 1919, Hesse wrote to Romain Rolland: ""I have had to bear a very heavy burden in my personal life in recent years. Now I am about to go to Ticino once again, to live for a while as a hermit in nature and in my work."" In 1920, after settling in the Ticino mountain village of Montagnola, he published Wandering, a love letter to this magic-garden world that can be read as a meditation on his attempt to begin a new life. His pure prose, his heartfelt lyricism, and his love for the old earth, for its blessings that renew themselves, all sing in this serene book. <br /><br />The first German edition of Wandering included facsimiles of fourteen watercolor landscapes. Hesse's painting had blossomed in the southern countryside and he even toyed with the idea ""that I might still succeed in escaping literature entirely and making a living at the more appealing trade of painter."" Unfortunately, his original pictures for Wandering have disappeared; this edition reproduces in black-and-white the full-color reproductions of the 1920 edition."
879252,1113469,Strange News from Another Star,0140181032,9780140181036,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374680722l/879252._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374680722l/879252._SY75_.jpg,1976,,,eng,Penguin,false,518668,35,3367,5442,1422,163,5:404|4:506|3:393|2:100|1:19|total:1422,1919,,,3.83,723,45,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"In 1919, the same year Demian was published, seven of these stories appeared as a book entitled Märchen (lit. Fairy Tales). This 1st edition in English has followed the arrangement Hesse made for the final collected edition of his works, where he added an 8th story, ""Flute Dream"". <br /> The new note so clear in Demian was 1st sounded, Hesse believed, in some of these tales written during 1913-18, the period that brought him into conflict with supporters of the war, with his country &amp; its government, with conventional intellectual life, with every form of orthodoxy both in the world &amp; in himself. Unlike his earlier work, from Peter Carmenzind thru Knulp, the stories in Strange News from Another Star don't allow for an essentially realistic interpretaion. They are concerned with dream worlds, the subconscious, magical thinking &amp; the numinous experience of the soul. Their subject is the distilling of wisdom. The stories are ""Augustus"", ""The Poet"", ""Flute Dream"", ""Strange News from Another Star"", ""The Hard Passage"", ""A Dream Sequence"", ""Faldum"" &amp;--perhaps the masterpiece of the collection--""Iris""."
36617153,1113469,Viaggio in Italia,8804672013,9788804672012,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511006198l/36617153._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511006198l/36617153._SY75_.jpg,2016,11,15,ita,Mondadori,false,1444774,52,4332,4615,1193,95,5:373|4:417|3:304|2:71|1:28|total:1193,1816,,,3.87,5,1,"['285217', '873670', '4802540', '1113469']","['Johann Wolfgang von Goethe', 'Herbert von Einem', 'Roberto Fertonani', 'Hermann Hesse']","['3.80', '3.82', '3.75', '4.05']",['4714479'],['Emilio Castellani'],['3.84'],"Il volume ripercorre una delle esperienze fondamentali della vita di Goethe e dell'intera cultura del suo tempo. Quel soggiorno nel nostro paese (durato circa due anni) diede allo scrittore tedesco un nuovo senso della realtà e una nuova serenità, aprendogli la via verso il recupero del classicismo. In un'esperienza che coinvolse tutti i suoi sensi, i monumenti dell'antichità, che aveva sempre studiato, e il paesaggio mediterraneo parlarono al suo cuore, fino ad ispirargli una nuova concezione di bellezza."
4194,1113469,Poems,0374508445,9780374508449,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,,,,Farrar Straus Giroux,false,1732757,5,1661,2934,766,45,5:215|4:280|3:204|2:60|1:7|total:766,1971,,,3.83,663,34,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"Few American readers seem to be aware that Hermann Hesse, author of the epic novels <i>Steppenwolf</i> and <i>Siddhartha</i>, among many others, also wrote poetry, the best of which the poet James Wright has translated and included in this book. This is a special volume—filled with short, direct poems about love, death, loneliness, the seasons—that is imbued with some of the imagery and feeling of Hesse’s novels but that has a clarity and resonance all its own, a sense of longing for love and for home that is both deceptively simple and deeply moving."
137085,1113469,Klein und Wagner,3518366165,9783518366165,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ger,,false,2686579,11,1274,2625,666,50,5:221|4:240|3:157|2:41|1:7|total:666,1919,,,3.94,472,29,['1113469'],['Hermann Hesse'],['4.05'],[],[],[],"Friedrich Klein, der ehrbare Beamte, treusorgende Ehegatte und Familienvater, durchbricht plötzlich, belastet mit einem imaginären Verbrechen, dem vierfachen Mord an Frau und Kindern, mit falschem Paß, einem Revolver und unterschlagenem Geld in der Tasche, seine hausbackene Respektabilität. Die Figur des Beamten Klein mit dem beziehungsreichen Decknamen Wagner ist eine erste Inkarnation von Hesses Steppenwolf."
9217433,1113469,La cura,884590346X,9788845903465,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451232463l/9217433._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451232463l/9217433._SY75_.jpg,1978,9,,ita,Adelphi,false,1913767,31,1299,2511,679,52,5:143|4:268|3:202|2:52|1:14|total:679,1924,,,3.70,217,7,['1113469'],['Hermann Hesse'],['4.05'],['1599586'],['Italo Alighiero Chiusano'],['3.71'],"Una pausa di due settimane nella vita di un intellettuale che aspira alla saggezza lo spinge – attraverso piccoli fatti in apparenza irrilevanti – a dubitare con buone ragioni di sé: e quell’intellettuale è Hesse stesso, che ironizza stupendamente sulla propria persona. Questo conflitto silenzioso, involontariamente comico ma non perciò meno duro, si svolge entro la cornice antiquata di una stazione termale: su tale pretesto, Hesse ha costruito una delle sue più perfette parabole, <i>La cura</i> (1925), che segue di poco a <i>Siddharta</i> (1922) e in certo modo ne è «l’altra parte». Come lì si assisteva a un itinerario verso l’illuminazione, qui si ‘smonta’ un illuminato occidentale troppo sicuro di sé, che viene messo in crisi da piccoli incidenti quotidiani – e da ciò è condotto a rivedere certe sue convinzioni troppo tranquille. Ma il punto di arrivo è lo stesso: in quella «psicologia dell’occhio cosmico» che è il grande dono di Hesse e davanti alla quale «non c’è più nulla di piccolo, di sciocco, di brutto, di malvagio, ma tutto è santo e venerabile»."
13515,1113469,Pictor's Metamorphoses and Other Fantasies,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405456066l/13515._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405456066l/13515._SX50_.jpg,2003,12,1,en-US,St. Martins Press-3pl,false,15660,16,1387,2239,592,32,5:156|4:202|3:192|2:33|1:9|total:592,1922,,,3.78,468,25,"['1113469', '13997']","['Hermann Hesse', 'Theodore Ziolkowski']","['4.05', '4.11']",['36502'],['Rika Lesser'],['4.04'],"Selected and with an Introduction by Theodore Ziolkowski.<br /><br />In the spring of 1922, several months after completing <i>Siddhartha</i>, Hermann Hesse wrote a fairy tale that was also a love story, inspired by the woman who was to become his second wife. That story, <i>Pictor's Metamorphoses</i>, is presented here along with a half century of Hesse's other short writings. Inspired by the Arabian Nights and the tales of the Brothers Grimm, these nineteen stories display the full range of Hesse's lifetime fascination with fantasy--as dream, fairy tale, folktale, satire, and allegory."
1525484,1113469,If The War Goes On: Reflections On War And Politics,0374509255,9780374509255,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1971,6,1,en-GB,Farrar Straus & Giroux (NY),false,1132723,21,1592,2168,551,58,5:174|4:211|3:130|2:28|1:8|total:551,1946,,,3.93,404,28,"['1113469', '38449']","['Hermann Hesse', 'Ralph Manheim']","['4.05', '4.11']",[],[],[],"""One of the most astonishing aspects of Hesse's career is the clear-sightedness and consistency of his political views, his passionate espousal of pacifism and internationism from the start of World War I to the end of his life. The earliest essay in this book was written in September, 1914 and was followed by a stream of letters, essays, and pamphlets that reached its hight point with ""Zarathustra's Return"" (published anonymously in 1919, the year that also saw the publication of 'Demian'), in which Hesse exhorted German youth to shake off the false gods of nationalism and militarism that had led their country into the abyss. Such views earned him the labels 'traitor' and 'viper' in Germany, but after World War II he was moved to reiterate his beliefs in another series of essays and letters. Hesse arranged his anti-war writings for publication in one volume in 1946; an amplified edition appeared 1n 1949 and that text has been followed for this first Engish language Edition."""
