id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
12116,7702,The Late Mattia Pascal,1590171152,9781590171158,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,11,30,eng,NYRB Classics,false,3102727,119,26895,58727,14570,406,5:4992|4:5954|3:2852|2:623|1:149|total:14570,1904,,,4.03,6331,111,"['7702', '25415']","['Luigi Pirandello', 'Charles Simic']","['3.96', '4.05']",['6921'],['William Weaver'],['4.00'],"Mattia Pascal endures a life of drudgery in a provincial town. Then, providentially, he discovers that he has been declared dead. Realizing he has a chance to start over, to do it right this time, he moves to a new city, adopts a new name, and a new course of life—only to find that this new existence is as insufferable as the old one. But when he returns to the world he left behind, it's too late: his job is gone, his wife has remarried. Mattia Pascal's fate is to live on as the ghost of the man he once was.<br /><br />An explorer of identity and its mysteries, a connoisseur of black humor, Nobel Prize winner Luigi Pirandello is among the most teasing and profound of modern masters. <i>The Late Mattia Pascal</i>, here rendered into English by the outstanding translator William Weaver, offers an irresistible introduction to this great writer's work"
237714,7702,The Notebooks of Serafino Gubbio,0946626588,9780946626588,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,11,1,,Hippocrene Books,false,44607844,46,1017,1873,504,22,5:116|4:186|3:154|2:39|1:9|total:504,1925,,,3.72,186,4,"['7702', '645954']","['Luigi Pirandello', 'Nicoletta Simborowski']","['3.96', '3.95']",[],[],[],"Serafino Gubbio has the perfect job for this: he is, in the language of the early twentieth-century, ""a cinematograph operator."" He watches. He is the impersonal tool of a new industry based on make believe, and he turns the crank of the camera, noting, uncomprehendingly, the cruel and strange displays before him. In Rome of 1915, Serafino Gubbio plods through his life and its romances, always mindful of the frame, always ready to shoot."
540667,7702,Novelle per un anno,0719004691,9780719004698,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,1,1,ita,St. Martin's Press,false,528041,32,1041,1859,442,13,5:203|4:146|3:77|2:13|1:3|total:442,1937,,,4.21,367,3,"['7702', '2512605']","['Luigi Pirandello', 'C.A. McCormick']","['3.96', '4.21']",[],[],[],"Nelle ""Novelle per un anno"", che Pirandello iniziò a riunire in volume nel 1922, lo sguardo penetrante dello scrittore agrigentino si annida nel grigiore della normalità, nell'esistenza quotidiana, squarcia le cortine del perbenismo, frantuma le rigide maschere che nascondono i veri, incerti lineamenti, si muove in una varietà multiforme di ambienti, sonda le profondità della psiche, incrina le false certezze. E libero, imprevedibile come la vita, mosso dal suo particolare umorismo, trascrive, senza aderire a moduli esterni, la sofferenza dell'individuo destituito di ogni orgoglio, in confitto con se stesso e con gli altri, disorientato da una sorte sempre mutevole. Il volume riunisce le raccolte di novelle ""Scialle nero"", ""La vita nuda"", ""La rallegrata"", ""L'uomo solo"", ""La mosca"", ""In silenzio"", ""Tutt'e tre"", ""Dal naso al cielo"", ""Donna Mimma"", ""II vecchio Dio"", ""La giara"", ""II viaggio"", ""Candelora"", ""Berecche e la guerra"", ""Una giornata""."
12114,7702,The Oil Jar and Other Stories,048628459X,9780486284590,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,4,3,eng,Dover Publications,false,14457,51,960,1737,450,34,5:121|4:174|3:129|2:23|1:3|total:450,1917,,,3.86,217,19,['7702'],['Luigi Pirandello'],['3.96'],['41570'],['Stanley Appelbaum'],['3.91'],"While best known for his plays, Pirandello also distinguished himself as a writer of short stories. This collection includes the celebrated title tales plus ""Little Hut,"" ""Mrs. Frola and Mr. Ponza, Her Son-in-Law,"" ""Citrons from Sicily,"" ""With Other Eyes,"" ""A Voice,"" and five others by the winner of the 1934 Nobel Prize for literature.<br /><br />Little hut --<br />Citrons from Sicily --<br />With other eyes --<br />A voice --<br />The fly --<br />The oil jar --<br />It's not to be taken seriously --<br />Think it over, Giacomino! --<br />A character's tragedy --<br />A prancing horse --<br />Mrs. Frola and Mr. Ponza, her son-in-law"
1410564,7702,Naked Masks: Five Plays,0452010829,9780452010826,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1957,,,,Plume,false,14465,8,925,1441,351,14,5:132|4:147|3:54|2:13|1:5|total:351,1952,,,4.11,324,11,"['7702', '5222']","['Luigi Pirandello', 'Eric Bentley']","['3.96', '3.82']",[],[],[],"This special one-volume edition features five great plays by one of the most celebrated and fascinating dramatists of the twentieth century.<br /><br />Pirandello, awarded the Nobel Prize in 1934, was the playwright <i>par excellence</i> of the conflict between illusion and reality. His modern and sensationally original plays dramatize with force and eloquence the isolation of the individual from society and from himself.<br /><br />The editor, Eric Bentley, is an international theater authority. In addition to the Introduction and the biographical and bibliographical material in the Appendices, Mr. Bentley has prepared for this volume the first English translations of the play <i>Liol�</i> and Pirandello's important ""Preface"" to <i>Six Characters in Search of an Author.</i><br /><br />Included Plays: <br /><i>Liol�</i><br /><i>It Is So! (If You Think So)</i><br /><i>Henry IV</i><br /><i>Six Characters in Search of an Author</i><br /><i>Each in His Own Way</i>"
12364785,7702,The Best Horror Stories,1850521409,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442379204l/12364785._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442379204l/12364785._SY75_.jpg,1990,,,eng,Peerage Books,false,51978152,26,934,1368,384,44,5:53|4:160|3:130|2:32|1:9|total:384,1964,1,1,3.56,3,0,"['4624490', '6981879', '7702', '8734', '25413', '58932', '2533', '2768688', '12540', '1630', '13387', '4338', '228089', '3535', '22694', '4273', '229241', '7622', '2001717', '32499', '18791', '15905', '3345', '332340', '2448', '4314996', '565809']","['Edgar Allan Poe', ""Villiers de L'Isle-Adam"", 'Luigi Pirandello', 'Dorothy L. Sayers', 'Cornell Woolrich', 'Geoffrey Household', 'Graham Greene', 'C.M. Kornbluth', 'Robert Bloch', 'Ray Bradbury', 'John Collier', 'Robert Silverberg', 'Honoré de Balzac', 'William Faulkner', ""Flannery O'Connor"", 'Roald Dahl', 'Stanley Ellin', 'Patricia Highsmith', 'Daphne du Maurier', 'David Fletcher', 'Guy de Maupassant', 'Thomas Hardy', 'Joseph Conrad', 'Thomas Burke', 'Arthur Conan Doyle', 'Józef Kaden-Bandrowski', 'A.E. Coppard']","['4.17', '3.75', '3.96', '4.05', '3.92', '3.95', '3.89', '4.02', '4.10', '4.01', '3.95', '3.88', '3.80', '3.85', '4.16', '4.13', '3.84', '3.87', '4.14', '3.86', '3.86', '3.84', '3.50', '3.97', '4.20', '2.68', '4.05']",[],[],[],Over thirty chilling tales of gruesome evil—a man buried alive; a young girl dancing to her death; Jack the Ripper alive and well in modern Chicago and many more haunting terrors!
11148696,7702,قصص ايطالية,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ara,دار المدى,false,528098,15,1479,1293,332,37,5:121|4:106|3:72|2:15|1:18|total:332,1901,,,3.89,197,26,"['7702', '1966747']","['Luigi Pirandello', 'خليفة محمد التليسي']","['3.96', '3.76']",[],[],[],"Dal 1890 al 1936, anno della sua morte, Luigi Pirandello non ha mai smesso di scrivere racconti. Le varie raccolte via via pubblicate (che nel 1922 confluiranno, dopo opportune scelte d'autore, nelle <i>Novelle per un anno</i>) ne comprendono oltre duecentocinquanta. Questa antologia ne propone al lettore trentadue. È una scelta rigorosa, che ambisce offrire una chiave di lettura molto precisa dell'«archivio dell'inventività» pirandelliana, all'insegna dei conflitti non risolubili, delle istanze non conciliabili, dei valori contrapposti, che simultaneamente guidano le azioni dei protagonisti di questi racconti. Prima fra tutte, la contraddizione, sommersa e profonda, tra la vita e la morte."
7313125,7702,Con gli occhi chiusi,8817202932,9788817202930,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331581535l/7313125._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331581535l/7313125._SY75_.jpg,,,,,Rizzoli,false,8811935,39,851,1242,412,22,5:30|4:109|3:153|2:77|1:43|total:412,1919,,,3.01,288,12,"['620578', '7702']","['Federigo Tozzi', 'Luigi Pirandello']","['3.20', '3.96']",[],[],[],"Spunti autobiografici conferiscono al romanzo una sorta di vigoroso e talvolta tumultuoso lirismo, cui fa da contraltare un realismo capace di cogliere la pena e l'angoscia del vivere.<br /><br />Il romanzo fu pubblicato nel 1918. E' la storia, largamente autobiografica, di un'adolescenza, dei primi dolorosi incontri con la realtà e con l'amore. Pietro Rosi è un giovane fragile e sognatore, figlio di un oste rude e di una donna delicata. Pietro si innamora di una giovane contadina, Ghisola, sentimento che affronta ""ad occhi chiusi"". Quando a Firenze Ghisola, dopo essere stata l'amante di un uomo maturo, rimasta incinta, decide di sfruttare il sentimento di Pietro e di attribuirgli la paternità del figlio che aspetta, si trova costretta a sfuggirgli, perchè Pietro la ""rispetta"" e fa sfumare il suo piano. Scoperta improvvisamente la verità Pietro ""apre"" gli occhi e termina così la sua adolescenza. Con una nota critica di Luigi Pirandello."
22806255,7702,Elegie Romane,1500508675,9781500508678,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2014,7,13,,Createspace,false,50788677,94,839,1061,302,30,5:60|4:97|3:90|2:48|1:7|total:302,1795,,,3.51,2,1,"['285217', '4613122', '7702']","['Johann Wolfgang von Goethe', 'Ugo Fleres', 'Luigi Pirandello']","['3.80', '3.06', '3.96']",[],[],[],"Luigi Pirandello (Agrigento, 28 giugno 1867 - Roma, 10 dicembre 1936) e stato un drammaturgo, scrittore e poeta italiano, insignito del Premio Nobel per la letteratura nel 1934. Ugo Fleres (Messina, 11 dicembre 1858 - Roma, 29 dicembre 1939) e stato un poeta, giornalista e critico letterario italiano. Ugo Vincenzo Fleres nasce a Messina da Mariano Fleres, procuratore legale originario di Savoca, e dalla baronessa palermitana Felicia Costagiorgiano. Johann Wolfgang von Goethe, (Francoforte sul Meno, 28 agosto 1749 - Weimar, 22 marzo 1832) e stato uno scrittore, poeta e drammaturgo tedesco. Considerato da George Eliot uno dei piu grandi letterati tedeschi e l'ultimo uomo universale a camminare sulla terra, viene solitamente reputato uno dei casi piu rappresentativi nel panorama culturale europeo. La sua attivita fu rivolta alla poetica, al dramma, alla letteratura, alla teologia, alla filosofia, all'umanismo e alle scienze, ma fu prolifico anche nella pittura, nella musica e nelle arti. Il suo magnum opus e il Faust; un'opera monumentale alla quale lavoro per oltre sessant'anni. Goethe fu l'originario inventore del concetto di Weltliteratur (letteratura mondiale), derivato dalla sua approfondita conoscenza ed ammirazione per molti capisaldi di diverse realta culturali nazionali (inglese, francese, italiana, greca, persiana e araba). Ebbe grande influenza anche sul pensiero filosofico del tempo, in particolare sulla speculazione di Hegel, Schelling e, successivamente, Nietzsche."""
540739,7702,Liolà - Così è (se vi pare),8804354712,9788804354710,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373379680l/540739._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373379680l/540739._SX50_.jpg,,,,ita,Mondadori,false,528121,6,503,1027,272,7,5:73|4:97|3:76|2:20|1:6|total:272,1916,9,13,3.78,181,4,['7702'],['Luigi Pirandello'],['3.96'],[],[],[],
10045167,7702,Questa sera si recita a soggetto,8879832530,9788879832533,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348522780l/10045167._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348522780l/10045167._SY75_.jpg,1993,9,25,ita,Newton Compton,false,221735,12,571,1003,274,8,5:52|4:110|3:85|2:21|1:6|total:274,1930,,,3.66,209,5,"['7702', '4558829', '4783220']","['Luigi Pirandello', 'Italo Borzi', 'Maria Argenziano']","['3.96', '3.83', '3.85']",[],[],[],"E' questa, insieme a <i>Sei personaggi in cerca di autore</i>, la più famosa opera teatrale di Pirandello. Terza della <i>Trilogia del teatro nel teatro</i>, rappresenta i contrasti tra Attori e Regista, con il coinvolgimento del pubblico, durante la rappresentazione della novella di Pirandello ""Leonora addio!"", messa in scena come spettacolo a soggetto, cioè senza copione prestabilito. Il regista Hinkfuss la traduce in quadri e scene di smaccato gusto spettacolare, ma gli Attori rifiutano di assoggettarsi a lui e reclamano il primato della spontaneità sul freddo gioco scenico. Si sviluppa così una fitta polemica sulla regia del Novecento. Il dramma può procedere solo quando gli attori possono recitare liberamente, facendosi interpreti appassionati della drammatica trama."
11858172,7702,L'uomo dal fiore in bocca,8877990449,9788877990440,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1995,,,ita,La Vita Felice,false,16814604,11,402,944,229,15,5:81|4:103|3:38|2:6|1:1|total:229,1923,,,4.12,192,9,"['7702', '4989658', '1844180']","['Luigi Pirandello', 'Gerardo Mastrullo', 'Luigi Lunari']","['3.96', '4.21', '3.87']",[],[],[],
9697193,7702,Il turno,8879830562,9788879830560,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348426444l/9697193._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348426444l/9697193._SY75_.jpg,1993,3,1,ita,Newton Compton,false,14585360,40,574,942,270,23,5:29|4:107|3:105|2:25|1:4|total:270,1902,,,3.49,162,6,"['7702', '4558829', '4783220']","['Luigi Pirandello', 'Italo Borzi', 'Maria Argenziano']","['3.96', '3.83', '3.85']",[],[],[],"Scritto nel 1902, è questo il secondo romanzo di Pirandello. Protagonista dell'intera vicenda è, in fondo, il disegno bizzarro e imprevedibile di un caso che pare divertirsi a scompaginare dispettosamente i complicatissimi piani architettati da Marcantonio Ravì per la felicità della figlia Stellina. Come in gran parte della sua narrativa, quella che Pirandello si accinge qui a indagare con particolare ironia, è una realtà profondamente inconoscibile, che sfugge a ogni pretesa di deterministica previsione e delude ogni attesa: l'uomo si muove con passo incerto in questo labirinto e intravedendo, con sgomento nella propria coscienza un'altrettanto fitta oscurità, scopre rabbrividendo tutta l'inconsistenza e la labilità della propria povera, dispersa identità."
