id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
9440364,599188,Romeo e Giulietta,8804499397,9788804499398,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,7,,ita,Mondadori,false,3349450,4899,2708785,7442376,1986909,18642,5:593218|4:614737|3:529591|2:179202|1:70161|total:1986909,1595,,,3.75,769,24,"['947', '2995685', '1588908', '236']","['William Shakespeare', 'Anna Luisa Zazo', 'Paolo Bertinetti', 'Harold Bloom']","['3.87', '3.96', '4.00', '4.10']",['599188'],['Salvatore Quasimodo'],['4.09'],"<b>Testo inglese a fronte</b><br /><br />Ispirato, come molti testi elisabettiani, alla novellistica italiana, <i>Romeo e Giulietta</i> intreccia numerosi elementi nella vicenda dei due innamorati ""nati sotto contraria stella"". Dalla ""morta viva"", che affascinò e ispirò i preromantici e i romantici, al drammatico scontro tra due generazioni - la lotta tra le ragioni dell'odio e le ragioni dell'amore - il dramma si arricchisce di temi la cui complessità va oltre la vicenda d'amore.<br />Tuttavia è questa a fare di <i>Romeo e Giulietta</i> l'opera forse più celebre e più amata di Shakespeare; e nel contrasto tra la purezza, l'appassionata consapevolezza dell'amore (singolarmente quale si esprime nella figura di Giulietta, la prima elle ""grandi innamorate"" di Shakespeare) e l'inesorabile concatenarsi delle circostanze funeste va cercata la grandezza del dramma, la chiave della sua autentica dimensione tragica, annunciata nel Prologo grazie alla contrapposizione dei due termini <i>amore</i> e <i>contraria stella</i>. Qui infatti, forse per la prima volta in modo completo, il linguaggio shakespeariano si fa mirabilmente funzionale alla vicenda, trascorrendo dai preziosismi eufuistici di Romeo innamorato alla semplice immediatezza della passione di Giulietta fino al barocco, drammatico splendore delle scene finali."
42184093,599188,Poesie,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,Einaudi,true,26762059,12,326,578,138,6,5:67|4:40|3:23|2:6|1:2|total:138,1952,,,4.19,0,0,['4026'],['Pablo Neruda'],['4.31'],['599188'],['Salvatore Quasimodo'],['4.09'],"Nato a Parral (Cile) nel 1904, morto a Santiago nel 1973, diplomatico di carriera, esule per lunghi anni, Pablo Neruda ha contrassegnato le diverse fasi del suo discorso di poeta con vitalità, irruenza, e con una ininterrotta tensione.<br /> Questa raccolta, che uscì per la prima volta nel 1952, segna l'incontro tra la sua personalità e quella di Salvatore Quasimodo, l'uno e l'altro vigili, in quegli anni, ad una poesia che «testimoniasse» di una condizione dell'uomo calata nel reale. Oggi l'antologia poetica di Pablo Neruda, comprendente poesie di varie epoche e i brani più celebri del <i>Canto general de Chile</i>, ripropone un itinerario di vita e di sentimenti che, intessuto con la storia del nostro secolo, ci fa scoprire colorazioni forti e accese."
1239562,599188,Tutte le poesie,8804394749,9788804394747,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329228119l/1239562.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329228119l/1239562._SY75_.jpg,,,,ita,Mondadori,false,1228228,16,356,533,126,10,5:57|4:45|3:21|2:2|1:1|total:126,1960,7,,4.23,82,2,"['599188', '1273401']","['Salvatore Quasimodo', 'Gilberto Finzi']","['4.09', '3.88']",[],[],[],Antologia completa di uno dei principali esponenti dell'ermetismo.
8959336,599188,Ed è subito sera,8804347678,9788804347675,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327943204l/8959336._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327943204l/8959336._SY75_.jpg,1991,,,ita,Mondadori,false,13836149,10,262,477,113,5,5:51|4:39|3:20|2:3|1:0|total:113,1942,,,4.22,86,3,['599188'],['Salvatore Quasimodo'],['4.09'],[],[],[],"In questo libro si trova raccolta la produzione poetica di Quasimodo fino al 1942, così come egli stesso l'aveva riorganizzata; alla prima sezione, ""Nuove poesie"" (1936-42), seguono tre sezioni che corrispondono a tre raccolte precedenti: ""Erato e Apollion"" (1936), ""Oboe sommerso"" (1932), ""Acque e terre"" (1930). Sono qui presenti i caratteri ""ermetici"" della sua poesia: frequente uso dell'analogia e dell'ellissi, marcata dissoluzione dei legami sintattici, che permette di affidare i valori espressivi alla parola, evidenziata nella sua singolarità. Questa raccolta - forse quella che ebbe maggiore successo fra le sue opere insieme ai ""Lirici greci"" - rappresenta un testo fondamentale per avvicinarsi alla figura di Quasimodo, e insieme un testo classico della poesia contemporanea."
16411572,599188,Salvatore Quasimodo: Selected Poetry,5551455408,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,7,1,,Italica Press,true,22599009,6,113,176,46,10,5:14|4:15|3:12|2:5|1:0|total:46,1965,1,1,3.83,27,6,"['599188', '845757']","['Salvatore Quasimodo', 'Patrick    Barron']","['4.09', '3.70']",[],[],[],"Alla mia terra - To My Earth; Cavalli di luna e di vulcani - Horses of Moon and of Volcanoes; Ride la gazza, Nera sugli aranci - The Magpie Laughs, Black upon the Orange Trees; Preghiera alla Pioggia - Prayer to the Rain; Ed subito sera - And Suddenly It's Evening; with brief biographical and bibliographical introduction."
3166669,599188,The Selected Writings,030860072X,9780308600720,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431099987l/3166669._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431099987l/3166669._SX50_.jpg,1969,,,eng,Funk & Wagnalls Co,false,3198550,8,181,166,44,7,5:13|4:16|3:7|2:8|1:0|total:44,1954,,,3.77,26,5,['599188'],['Salvatore Quasimodo'],['4.09'],[],[],[],
11764481,599188,Lirici greci tradotti da Salvatore Quasimodo,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1945,8,,ita,Mondadori,false,16715403,3,62,124,29,1,5:12|4:14|3:2|2:1|1:0|total:29,1945,,,4.28,25,1,"['302833', '4961607', '4961608', '3149997', '3153037', '4641422', '4961610', '4961611', '4961612', '4961613', '292236', '4961614', '59712', '4961615', '176909', '4961616', '4961617', '4961618']","['Anacreon', 'Alcmane', 'Stesicoro', 'Mimnermo', 'Íbico', 'Archiloco', 'Simonide di Ceo', 'Teognide', 'Praxilla', 'Licofronide', 'Luciano Anceschi', 'Jone di Ceo', 'Sappho', 'Licimnio', 'Alcaeus', 'Melanippide', 'Erinna', 'Ibria']","['3.90', '4.19', '4.19', '4.15', '4.12', '4.24', '4.24', '4.15', '3.75', '4.24', '4.12', '4.24', '4.21', '4.24', '3.91', '4.24', '4.06', '4.24']",['599188'],['Salvatore Quasimodo'],['4.09'],
11457484,599188,Lirici greci,8804422912,9788804422914,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306342751l/11457484._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306342751l/11457484._SX50_.jpg,1994,,,ita,Mondadori,false,16391563,5,54,100,23,0,5:13|4:6|3:3|2:1|1:0|total:23,1994,,,4.35,18,0,['5481957'],['Various'],['3.98'],['599188'],['Salvatore Quasimodo'],['4.09'],
11247507,599188,Donner à voir,8877101032,9788877101037,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989,,,ita,SE,false,122610,3,34,58,14,0,5:6|4:5|3:2|2:1|1:0|total:14,1939,5,25,4.14,9,0,['708489'],['Paul Éluard'],['4.05'],['599188'],['Salvatore Quasimodo'],['4.09'],
11457242,599188,"Città, città di fuoco, resisti: 24 poesie",8804421460,9788804421467,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306341280l/11457242._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306341280l/11457242._SX50_.jpg,1996,,,ita,Mondadori,false,16391321,1,43,56,15,0,5:2|4:8|3:4|2:1|1:0|total:15,1996,,,3.73,15,0,['4026'],['Pablo Neruda'],['4.31'],['599188'],['Salvatore Quasimodo'],['4.09'],
12627257,599188,Poesie,888183314X,9788881833146,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351330486l/12627257._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351330486l/12627257._SY75_.jpg,,,,ita,Newton Compton,false,17681368,2,32,54,14,0,5:3|4:7|3:3|2:1|1:0|total:14,,,,3.86,13,0,"['599188', '2008909']","['Salvatore Quasimodo', 'Cesare Milanese']","['4.09', '3.94']",[],[],[],
35019667,599188,Περί ποιήσεως,9603255750,9789603255758,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493591758l/35019667._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493591758l/35019667._SY75_.jpg,2005,3,,gre,Άγρα,false,56304298,3,15,42,11,1,5:3|4:4|3:3|2:1|1:0|total:11,1995,1,1,3.82,3,0,"['7333', '247576', '266360', '599188', '14880633']","['Eugenio Montale', 'Giuseppe Ungaretti', 'Umberto Saba', 'Salvatore Quasimodo', 'Νίκος Αλιφέρης']","['4.07', '4.30', '3.83', '4.09', '3.44']",[],[],[],"Oι Mοντάλε, Oυνγκαρέττι, Kουαζίμοντο και Σάμπα είναι εκείνοι που θα αλλάξουν, στον εικοστό αιώνα, το τοπίο της ιταλικής ποίησης. Aν και μέλη του ίδιου κινήματος, που θα συγκρουστεί μετωπικά με την παραδοσιακή ρητορεία, συχνά πρεσβεύουν εκ διαμέτρου αντίθετες απόψεις για σημαντικά πνευματικά ζητήματα, τα οποία απασχολούν την εποχή ή την τέχνη. <br />H ρητορεία, ο ερμητισμός, η σχέση ποιήσεως και ιστορίας, η στρατευμένη τέχνη, το ανορθολογικό στοιχείο στην ποίηση, το ποίημα αντικείμενο: τα βασικά ζητήματα που πραγματεύονται τα κείμενα του παρόντος τόμου, τα οποία διαδραμάτισαν οπωσδήποτε σημαίνοντα ρόλο στην πνευματική ιστορία της γείτονος χώρας. <br />Διαφαίνεται άλλωστε σ' αυτά ένα στοιχείο απρόσβλητο από την αναπόφευκτη φθορά του χρόνου: η αυθεντική και αγωνιώδης πνευματική προσπάθεια του ποιητή να ορίσει την τέχνη του εν σχέσει προς τον κόσμο και την ιστορία. Kείμενα, προπάντων, συνδεδεμένα με σπουδαία ποιήματα της ευρωπαϊκής λογοτεχνίας - πράγμα που τους προσδίδει ένα ξεχωριστό ενδιαφέρον."
15709562,599188,Ja äkkiä on ilta,9512632551,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339935437l/15709562._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339935437l/15709562._SY75_.jpg,1988,,,fin,Kirjayhtymä,false,21375253,1,18,35,11,0,5:2|4:2|3:4|2:2|1:1|total:11,1988,1,1,3.18,11,0,['599188'],['Salvatore Quasimodo'],['4.09'],[],[],[],
2576997,599188,هفت چهره از شاعران معاصر ايتاليا,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1974,,,mul,کتاب‌های جیبی، فرانکلین ،Istituto Italiano di Cultura,false,2590380,1,15,34,9,0,5:3|4:3|3:2|2:0|1:1|total:9,1974,,,3.78,9,0,"['427221', '266360', '247576', '599188', '7333', '76241', '37893', '208040', '18139788', '17998342', '18139831']","['Aldo Palazzeschi', 'Umberto Saba', 'Giuseppe Ungaretti', 'Salvatore Quasimodo', 'Eugenio Montale', 'Cesare Pavese', 'Pier Paolo Pasolini', 'نادر نادرپور', 'Gina Caruso', 'بیژن اوشیدری', 'Fernando Caruso']","['3.80', '3.83', '4.30', '4.09', '4.07', '3.83', '3.91', '3.53', '3.78', '3.80', '3.78']",[],[],[],پیشگفتاری فارسی به قلم جینا لابریولا کاروزو با عناوین: ایتالیا در سدۀ بیستم - پیشاهنگان شعر جدید ایتالیایی - دانون زیو و فوتوریزم - آلدو پالاتسسکی - اومبرتو سابا - جوزپ په اونگارت تی - ائوجنیو مونتاله - ارمتیزم - سالواتوره کوازی مودو - رئالیزم - جزاره پاوزه - پی یر پائولو پازولینی<br /><br />و برگردان ها توسط نادرپور و اوشیدری در مقابل اصل ایتالیایی، به ترتیب: هفت شعر از آلدو پالاتسسکی، هشت شعر از اومبرتو سابا، بیست و سه شعر از جوزپ په اونگارت تی، نُه شعر از ائوجنیو مونتاله، چهارده شعر از سالواتوره کوازی مودو، چهار شعر از جزاره پاوازه و دو شعر نیز از پائولو پازولینی
10443102,599188,Antologia Palatina,8804356235,9788804356233,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346597889l/10443102._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346597889l/10443102._SY75_.jpg,,,,,,false,15347776,1,34,33,8,2,5:4|4:2|3:1|2:1|1:0|total:8,1992,1,1,4.12,8,2,['599188'],['Salvatore Quasimodo'],['4.09'],[],[],[],
28590549,599188,Giorno dopo giorno,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453061630l/28590549._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453061630l/28590549._SY75_.jpg,1959,,,ita,Mondadori,false,48758127,1,11,31,8,0,5:3|4:2|3:2|2:1|1:0|total:8,,,,3.88,8,0,"['599188', '784925']","['Salvatore Quasimodo', 'Carlo Bo']","['4.09', '3.78']",[],[],[],"Giorno dopo giorno edito per Mondadori nella Collana I poeti dello “Specchio” nel febbraio del 1947 con introduzione di Carlo Bo. La stessa raccolta era stata pubblicata nel 1946 da Giancarlo Vigorelli, con due poesie di meno, con il titolo Con il piede straniero sopra il cuore.<br /><br />Contiene:<br /><i>Alle fronde dei salici<br />Lettera<br />19 gennaio 1944<br />Neve<br />Giorno dopo giorno<br />Forse il cuore<br />La notte d’inverno<br />Milano, agosto 1943<br />La muraglia<br />O miei dolci animali<br />Scritto forse su una tomba<br />A me pellegrino<br />Dalla rocca di Bergamo alta<br />Presso l'Adda<br />S’ode ancora il mare<br />Elegia<br />Di un altro Lazzaro<br />Il traghetto<br />Il tuo piede silenzioso<br />Uomo del mio tempo</i>"
34816543,599188,Oboe Sommerso,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1971,,,ita,Einaudi,false,56036035,2,10,28,8,0,5:2|4:2|3:2|2:2|1:0|total:8,,,,3.50,8,0,['599188'],['Salvatore Quasimodo'],['4.09'],[],[],[],
18780902,599188,Och plötsligt är det afton,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384207694l/18780902.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384207694l/18780902._SX50_.jpg,1959,,,swe,FiB:s Lyrikklubb,false,26690321,2,8,28,8,0,5:1|4:3|3:3|2:1|1:0|total:8,1957,,,3.50,7,0,"['599188', '7389491']","['Salvatore Quasimodo', 'Arne Lundgren']","['4.09', '3.73']",[],[],[],
