id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1355677,275175,Anabasis,0156074060,9780156074063,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1970,10,21,eng,Mariner Books,false,1345392,23,881,896,229,30,5:80|4:78|3:51|2:11|1:9|total:229,1924,,,3.91,175,21,['275175'],['Saint-John Perse'],['3.87'],['18540'],['T.S. Eliot'],['4.16'],"This internationally famous poem by the 1960 Nobel laureate was introduced to English-language readers in this translation by T. S. Eliot. In this definitive edition, French and English texts appear on facing pages. Preface by T. S. Eliot.<br />"
2431291,275175,Exile and Other Poems,0691097402,9780691097404,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1953,2,21,,Princeton University Press,false,2438479,3,98,51,15,2,5:2|4:6|3:5|2:0|1:2|total:15,1953,6,,3.40,11,1,['275175'],['Saint-John Perse'],['3.87'],[],[],[],"The description for this book, Exile and Other Poems, will be forthcoming."
1783418,275175,Pájaros y otros poemas,8475220649,9788475220642,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559385170l/1783418._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559385170l/1783418._SY75_.jpg,1996,,,,,false,1782281,2,10,32,7,0,5:4|4:3|3:0|2:0|1:0|total:7,,,,4.57,7,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
9625006,275175,Poésies,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1964,1,12,fre,Gallimard,false,6535532,3,29,26,7,0,5:2|4:3|3:0|2:2|1:0|total:7,1964,1,12,3.71,1,0,"['329121', '275175']","['Léon-Paul Fargue', 'Saint-John Perse']","['3.89', '3.87']",[],[],[],
3917705,275175,Exil,0485147068,9780485147063,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1973,1,1,,Athlone Press,false,2438582,4,14,24,7,1,5:1|4:2|3:3|2:1|1:0|total:7,1963,1,1,3.43,6,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],Franse tekst met Nederlandse vertaling .
2431307,275175,Canto Para Un Equinoccio,980010996X,9789800109960,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,12,1,,Monte Avila Editores Latinoamericana,false,2438495,5,8,23,6,1,5:2|4:1|3:3|2:0|1:0|total:6,1999,12,,3.83,3,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
2431392,275175,Birds,0691097135,9780691097138,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1966,5,21,,Princeton University Press,false,481411,4,51,21,6,0,5:1|4:2|3:2|2:1|1:0|total:6,1994,4,1,3.50,3,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
32851864,275175,Habitarei O Meu Nome - Antologia,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478013158l/32851864._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478013158l/32851864._SX50_.jpg,2016,9,,por,Assírio & Alvim,false,53453521,1,20,15,4,0,5:1|4:2|3:0|2:1|1:0|total:4,,,,3.75,4,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],"Autor de fôlego épico, dicção hínica e vocação enciclopédica, a poesia de Saint-John Perse perde certamente alguma inteligibilidade, mas não o seu fulgor, com as cesuras que uma antologia desta natureza comporta. Salvo raras excepções, e ao contrário do preconizado antes dele por Poe e Baudelaire, Perse manifestou desde o seu primeiro poema a sua preferência por composições longas, privilegiando a continuidade temática dentro de cada obra, em detrimento do clarão breve de sentido fechado do poema curto. Por essa razão, uma antologia que se quer representativa de toda a produção do poeta não será capaz de reproduzir a continuidade ou o desdobramento de imagens dentro de cada conjunto, realçar os seus leitmotivs ou esclarecer a sua ténue trama dramática ou narrativa. Uma vista panorâmica como a que se pretendeu dar sobre uma das poesias mais originais e, ao mesmo tempo, mais representativas do século XX tem obrigatoriamente de se constituir sob a égide de uma diacronia prejudicial à sincronia. Mas precisamente devido à inconfundível e inimitável genialidade destes poemas, cada versículo, cada linha aqui antologiados são um espelho tão fiel como fulgurante de uma obra que não conhece limitações tanto ao nível macroscópico como microscópico."
1291261,275175,Anselm Kiefer Merkaba,1880154838,9781880154830,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,4,2,,Gagosian Gallery,false,1280351,1,6,13,3,0,5:2|4:0|3:1|2:0|1:0|total:3,2003,4,2,4.33,3,0,"['202998', '275175']","['Anselm Kiefer', 'Saint-John Perse']","['4.29', '3.87']",[],[],[],"According to the Kabbala, the Merkaba and Hechaloth literature deals specifically with the ascent to the seven heavenly palaces or temples, which represent the seven attainments of divine spirituality. Kiefer's spiritual architecture of the heavenly palaces bring the seas and land, heavens and earth back together. His poetry of images unites NASA's cosmological ordering of the stars with the mystical ordering of the ascent."
899075,275175,St John Perse: Letters (Bollingen Ser. : Lxxxvii : 2),0691018367,9780691018362,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1979,5,1,,Princeton Univ Pr,false,884261,6,12,12,3,0,5:1|4:1|3:1|2:0|1:0|total:3,1979,5,,4.00,3,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
30983927,275175,I večno ritam: Iz francuske poezije XX veka,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468177339l/30983927._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468177339l/30983927._SX50_.jpg,1973,,,srp,"Obod, Cetinje",false,51607302,1,3,10,2,0,5:2|4:0|3:0|2:0|1:0|total:2,1955,,,5.00,2,0,"['7065988', '66522', '15957', '84973', '23993', '315225', '143226', '275175', '236037', '107564', '70618', '367981', '29677', '204004', '1122948', '385112', '329121', '45688', '310304', '54133', '7045520', '341972', '708489', '461661', '39344', '4319316']","['Nikola Trajković', 'Guillaume Apollinaire', 'Raymond Queneau', 'Paul Claudel', 'Jean Cocteau', 'André Pieyre de Mandiargues', 'Henri Michaux', 'Saint-John Perse', 'Francis Ponge', 'Jacques Prévert', 'Pierre Reverdy', 'Jean Rousselot', 'Louis Aragon', 'Blaise Cendrars', 'Pierre Seghers', 'Jules Supervielle', 'Léon-Paul Fargue', 'Tristan Tzara', 'René Char', 'André Breton', 'Eugène Guillevic', 'Robert Desnos', 'Paul Éluard', 'Pierre Emmanuel', 'Max Jacob', 'Edmond Humeau']","['4.28', '3.85', '3.93', '3.74', '3.81', '4.09', '3.97', '3.87', '3.91', '4.21', '4.20', '3.83', '3.92', '3.79', '4.24', '3.76', '3.89', '4.21', '4.18', '3.73', '4.02', '4.11', '4.05', '3.56', '3.97', '5.00']",[],[],[],"Гијом Аполинер, Луј Арагон, Андре Бретон, Ежен Гијевик, Робер Деснос, Пол Елијар, Пјер Еманијел, Макс Жакоб, Едмон Имо, Рејмон Кено, Пол Клодел, Жан Кокто, Андре-Пјер Мандијарг, Анри Мишо, Сен-Џон Перс, Франсис Понж, Жак Превер, Пјер Реверди, Жан Русло, Блез Сандрар, Пјер Сегерс, Жил Сипервјел, Леон-Пол Ферг, Тристан Цара, Рене Шар."
20572534,275175,Lofzangen,9064810281,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390083823l/20572534._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390083823l/20572534._SX50_.jpg,1984,,,nl,Kwadraat,false,39840016,1,3,9,2,1,5:1|4:1|3:0|2:0|1:0|total:2,1911,,,4.50,2,1,['275175'],['Saint-John Perse'],['3.87'],['2994873'],['Hans van Pinxteren'],['3.88'],Tweetalige ed. Frans en Nederlands
24169239,275175,Chronique/Krönika,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515067503l/24169239._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515067503l/24169239._SX50_.jpg,1960,,,swe,Albert Bonniers Förlag,false,43758137,5,4,9,3,0,5:1|4:0|3:0|2:2|1:0|total:3,1960,,,3.00,1,0,['275175'],['Saint-John Perse'],['3.87'],['946904'],['Dag Hammarskjöld'],['4.18'],Tvåspråksupplaga franska/svenska
28524483,275175,Ljóðastund á Signubökkum: Þýðingar og ágrip af franskri ljóðsögu á nítjándu og tuttugustu öld,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452621994l/28524483._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452621994l/28524483._SY75_.jpg,1988,,,isl,Menningarsjóður,false,48682612,1,3,8,2,0,5:0|4:2|3:0|2:0|1:0|total:2,,,,4.00,2,0,"['103384', '45688', '341972', '107564', '3119996', '13847', '153341', '72605', '66522', '204004', '275175', '708489']","['Théophile Gautier', 'Tristan Tzara', 'Robert Desnos', 'Jacques Prévert', 'Sully Prudhomme', 'Charles Baudelaire', 'Comte de Lautréamont', 'Arthur Rimbaud', 'Guillaume Apollinaire', 'Blaise Cendrars', 'Saint-John Perse', 'Paul Éluard']","['3.88', '4.21', '4.11', '4.21', '3.32', '4.21', '4.22', '4.33', '3.85', '3.79', '3.87', '4.05']",['6903380'],['Jón Óskar'],['3.43'],
22725025,275175,Nobelpristagare: Dikter,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405374054l/22725025._SX50_.jpg,1966,,,swe,Svalans lyrikklubb/Bonniers,false,41915312,2,10,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,1964,1,1,3.50,1,0,"['8307097', '4420496', '3119996', '648081', '966415', '570804', '6989', '142051', '36913', '599498', '337113', '18317', '29963', '1545124', '140617', '1113469', '18540', '89330', '36635', '7902', '599188', '275175', '16853363']","['Sven Lindner', 'Anders Österling', 'Sully Prudhomme', 'Bjørnstjerne Bjørnson', 'Frédéric Mistral', 'Giosuè Carducci', 'Rudyard Kipling', 'Maurice Maeterlinck', 'Rabindranath Tagore', 'Verner von Heidenstam', 'Carl Spitteler', 'Knut Hamsun', 'W.B. Yeats', 'Johannes V. Jensen', 'Gabriela Mistral', 'Hermann Hesse', 'T.S. Eliot', 'Pär Lagerkvist', 'Juan Ramón Jiménez', 'Boris Pasternak', 'Salvatore Quasimodo', 'Saint-John Perse', 'George Seferis']","['3.67', '3.27', '3.32', '3.38', '3.54', '3.54', '3.93', '3.79', '4.13', '3.16', '3.42', '4.00', '4.16', '3.74', '4.00', '4.05', '4.16', '3.80', '3.82', '4.03', '4.09', '3.87', '4.27']","['5396262', '6578711', '1041592', '37086', '621106', '1073815', '5554612', '8386595', '1276808', '6361322', '8307135', '3068025', '6221898', '1701137', '4138077', '6452831', '4588769', '446692', '8386596', '4732315', '2984275', '7204991', '97178', '6362619', '4577631', '3153474', '8386597']","['Sten Selander', 'Emil Zilliacus', 'Karl Asplund', 'Karin Boye', 'Bo Bergman', 'Gunnar Ekelöf', 'Andrea Butenschön', 'Nils Svanberg', 'Erik Blomberg', 'Johannes Edfelt', 'Petter Bergman', 'Hjalmar Gullberg', 'Bertil Malmberg', 'Erik Mesterton', 'Arne Häggqvist', 'Ebbe Linde', 'Björn Julén', 'Tomas Tranströmer', 'Magda Lagerman', 'Nils Åke Nilsson', 'Ralf Parland', 'Leo Lindeberg', 'Östen Sjöstrand', 'Sture Axelson', 'Göran O. Eriksson', 'Erik Lindegren', 'Börje Knös']","['3.20', '3.48', '4.33', '3.79', '3.37', '3.94', '4.00', '4.00', '3.41', '3.52', '3.00', '3.56', '3.42', '4.05', '3.54', '3.57', '3.07', '4.08', '2.75', '3.71', '3.26', '3.62', '3.57', '3.64', '3.41', '3.65', '3.00']",
23267496,275175,Ποίηση,,9789605760779,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411564305l/23267496._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411564305l/23267496._SX50_.jpg,2014,,,gre,Γαβριηλίδης,false,42808132,1,3,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,2014,1,1,3.50,2,0,"['66011', '310304', '275175']","['Pierre Jean Jouve', 'René Char', 'Saint-John Perse']","['3.50', '4.18', '3.87']",['8595594'],['Νίκος Λεβέντης'],['3.50'],
35830979,275175,Gedichten,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501071167l/35830979._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501071167l/35830979._SX50_.jpg,1971,,,,Heideland,false,57337196,1,1,5,1,1,5:1|4:0|3:0|2:0|1:0|total:1,,,,5.00,1,1,"['599188', '275175', '13359163']","['Salvatore Quasimodo', 'Saint-John Perse', 'Yorgos Seferis']","['4.09', '3.87', '4.38']",[],[],[],
16058678,275175,Lettres à l'Étrangère,2070710785,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1987,,,fre,Gallimard,false,21845140,1,3,5,1,1,5:1|4:0|3:0|2:0|1:0|total:1,1987,,,5.00,1,1,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
40772710,275175,Oeuvre poétique II. Vents - Amers - Chronique,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531207860l/40772710._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531207860l/40772710._SX50_.jpg,1960,,,fre,Gallimard,false,63465197,1,1,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,,,,5.00,1,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
18104226,275175,Poesías,9788426427,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371660405l/18104226._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371660405l/18104226._SY75_.jpg,2006,,,spa,Lumen,false,25422376,3,3,5,1,1,5:1|4:0|3:0|2:0|1:0|total:1,1969,,,5.00,1,1,"['275175', '1688738']","['Saint-John Perse', 'Enrique Moreno Castillo']","['3.87', '5.00']",[],[],[],
27067357,275175,Two Addresses by St.-John Perse:: On Poetry,0691098344,9780691098340,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1966,10,21,,Princeton University Press,false,47108150,1,3,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,1966,10,21,4.00,1,0,"['275175', '233593', '573688']","['Saint-John Perse', 'W.H. Auden', 'Robert Fitzgerald']","['3.87', '4.17', '3.94']",[],[],[],"The description for this book, Two Addresses by St.-John Perse:: On Poetry, will be forthcoming."
39698976,275175,Şiirler,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522613856l/39698976._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522613856l/39698976._SX50_.jpg,1981,,,tur,Tan Kitap,false,61333122,2,4,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,['275175'],['Saint-John Perse'],['3.87'],['6154801'],['Sait Maden'],['4.08'],"Perse’in bu ciltte yer alan yapıtları:<br />Övgüler,<br />Crusoe’ye Görüntüler,<br />Kırallar Görkemi,<br />Prens Dostluğu,<br />Anabase<br />Sürgün,<br />Yağmurlar"
23954958,275175,Elogi - La gloria dei re - Anabasi - Esilio - Venti - Cronaca - Uccelli - Segnali di mare. Nobel 1960,8802015252,9788802015255,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419008390l/23954958._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419008390l/23954958._SX50_.jpg,1979,1,1,ita,UTET,false,43558855,1,7,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,1979,,,4.00,1,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],
28404262,275175,El mar y el hombre - Antología,,9786074900439,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451515852l/28404262._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451515852l/28404262._SY75_.jpg,,,,spa,Instituto Mexiquense de Cultura (col. Raíz del Hombre / Biblioteca Mexiquense del Bicentenario),false,48501927,1,3,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,['275175'],['Saint-John Perse'],['3.87'],[],[],[],"Una voz de ardientes temblores, con la misma proporción de ternura y de impulsos destructivos, impregna la poesía de Saint-John Perse. Este escritor francés, traductor de tempestades y silencios, construyó una obra esencial para la poesía francesa del siglo XX, cuyo resplandor también han alcanzado el horizonte de la literatura latinoamericana. Por estas razones, el Instituto Mexiquense de Cultura se ha encargado de la reedición de El mar y el hombre, una breve antología seleccionada y prologada por Raúl Cáceres Carenzo, quien también destaca como uno de los poetas y dramaturgos más memorables de nuestra entidad.<br /><br />Incluido en Raíz del Hombre y la Biblioteca Mexiquense del Bicentenario, este libro reúne una sucesión de textos del también diplomático galo, algunos extraídos de volúmenes tan trascendentales como Exilio, Elogios, Anábasis, Mares, Lluvias, Vientos, Marcas y Crónica. Con traducciones de Jorge Zalamea, José Lezama Lima, Rosario Castellanos, Lorenza Fernández del Valle, Juan Carvajal y Lysandro Z. D. Galtier, sus versos retratan un mundo en renovación y destrucción incesante, teñido de un idealismo profético que, a semejanza de poetas como Arthur Rimbaud, Paul Verlaine y Charles Baudelaire, aspira a crear estremecimientos nuevos, a conectar sensibilidades mediante un profundo trayecto por la geografía de otros continentes. De este modo, el Caribe, Asia, América, Provenza, entre otros parajes, se transforman en la sede del descubrimiento y la aventura; la soledad y el exilio."
