id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7624502,749461,1984,3763228551,9783763228553,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340109498l/7624502._SY75_.jpg,,,,ger,Büchergilde Gutenberg,false,153313,1485,4597605,12303187,2942180,65096,5:1373395|4:964597|3:429393|2:114850|1:59945|total:2942180,1949,6,8,4.18,56,0,"['3706', '410686', '749461', '7182211', '8788', '101894']","['George Orwell', 'Iring Fetscher', 'Günter Grass', 'Adolf Muschg', 'Erich Fromm', 'Heinz Ludwig Arnold']","['4.07', '3.92', '3.83', '3.38', '4.09', '3.90']",[],[],[],"Among the seminal texts of the 20th century, <i>Nineteen Eighty-Four</i> is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmare vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written."
7791929,749461,The Box: Tales from the Darkroom,0547245033,9780547245034,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,11,10,en-US,Houghton Mifflin Harcourt,false,41111306,48,1225,1897,602,74,5:62|4:148|3:238|2:127|1:27|total:602,2008,,,3.15,367,39,['749461'],['Günter Grass'],['3.83'],['15736'],['Krishna Winston'],['3.73'],"“Once upon a time there was a father who, because he had grown old, called together his sons and daughters—four, five, six, eight in number—and finally convinced them, after long hesitation, to do as he wished. Now they are sitting around a table and begin to talk . . .”<br /><br /><br /><br />In an audacious literary experiment, Günter Grass writes in the voices of his eight children as they record memories of their childhoods, of growing up, of their father, who was always at work on a new book, always at the margins of their lives. Memories contradictory, critical, loving, accusatory—they piece together an intimate picture of this most public of men. To say nothing of Marie, Grass’s assistant, a family friend of many years, perhaps even a lover, whose snapshots taken with an old-fashioned Agfa box camera provide the author with ideas for his work. But her images offer much more. They reveal a truth beyond the ordinary detail of life, depict the future, tell what might have been, grant the wishes in visual form of those photographed. The children speculate on the nature of this magic: was the enchanted camera a source of inspiration for their father? Did it represent the power of art itself? Was it the eye of God?<br /><br />Recalling J. M. Coetzee’s <i>Summertime</i> and Umberto Eco’s <i>The Mysterious Flame of Queen Loana, The Box</i> is an inspired and daring work of fiction. In its candor, wit, and earthiness, it is Grass at his best."
46286,749461,Local Anaesthetic,0156529408,9780156529402,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330367081l/46286._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330367081l/46286._SX50_.jpg,1989,10,16,,Mariner Books,false,3019,30,1093,1691,498,37,5:85|4:147|3:168|2:76|1:22|total:498,1969,,,3.40,378,25,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"Starusch, a 40-year-old teacher of German and history, undergoes protracted dental treatment in an office where TV is used to distract the patients. Under local anesthesia, the patient projects onto the screen his past and present with the fluidity and visual quality of the movies. A satirical portrait of social confusions. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />"
23453300,749461,Dile Kolay,,9789944396653,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414368219l/23453300._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414368219l/23453300._SX50_.jpg,2009,,,tur,Pan Yayıncılık,false,1821934,13,1140,1611,446,49,5:88|4:152|3:158|2:41|1:7|total:446,2004,,,3.61,2,0,"['55397', '8051', '602599', '3439713', '15496', '3299', '1285555', '174045', '9599', '29901', '6878', '61946', '10356', '3472', '749461', '13081', '36438', '13450', '8120', '8055741']","['Nadine Gordimer', 'Chinua Achebe', 'Njabulo S. Ndebele', 'Kenzaburō Ōe', 'Amos Oz', 'Salman Rushdie', 'José Saramago', 'Ingo Schulze', 'Paul Theroux', 'Michel Tournier', 'John Updike', 'Christa Wolf', 'Woody Allen', 'Margaret Atwood', 'Günter Grass', 'Hanif Kureishi', 'Claudio Magris', 'Gabriel García Márquez', 'Arthur  Miller', ""Es'kia Mphahlele""]","['3.57', '3.69', '3.79', '3.78', '3.86', '3.83', '4.02', '3.29', '3.82', '3.73', '3.80', '3.77', '3.91', '4.03', '3.83', '3.57', '3.80', '3.97', '3.58', '3.73']",[],[],[],"Böylesine farklı ve seçkin dünya yazarlarının aynı derlemede bir araya gelmesi pek sık rastlanan bir durum değil. Bu yazarların öyküleri insanlık âlemimize özgü çeşitli halleri ve duyguları sergiliyor: trajedi, komedi, fantezi, yergi, farklı kıtalarda ve kültürlerde cinsel aşk ve savaşa özgü dramlar... Ancak hiçbiri HIV/AIDS hakkında değil.<br /><br />Seçkiye katkıda bulunan yazarlar hayatları boyunca üretmiş oldukları eserlerin en iyileri arasından kendi seçtiklerini herhangi bir ücret ya da telif talep etmeden sunmuş bulunuyor."
117000,749461,The Danzig Trilogy: The Tin Drum / Cat and Mouse / Dog Years,1567313744,9781567313741,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,11,1,,MJF Books,false,35674,8,1012,1110,257,22,5:129|4:89|3:32|2:6|1:1|total:257,1987,,,4.32,220,19,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"In 1999, Günter Grass was awarded the Nobel Prize for Literature. The Danzig Trilogy contains three of the author's most acclaimed works.<br /><br />The Tin Drum<br />Acclaimed as the greatest German novel written since the end of World War II, The Tin Drum is the autobiography of thirty-year-old Oskar Matzerath, who has lived through the long Nazi nightmare and who, as the novel begins, is being held in a mental institution. Willfully stunting his growth at three feet for many years, wielding his tin drum and piercing scream as anarchistic weapons, he provides a profound yet hilarious perspective on both German history and the human condition of the modern world.<br /><br />Cat and Mouse<br />The provocative story centers on the narrator's vivid recollection of a boyhood scene in which a black cat is provoked to pounce on his friend Mahlke's ""mouse""--his prominent Adam's apple. This incident sets off a wild series of utterly ""Grassian"" events that ultimately leads to Mahlke's becoming a national hero. Because of Grass's singular storytelling virtuosity, ICat and Mouse/I is marvelously entertaining, powerful, and full of funny episodes.<br /><br />Dog Years<br />In this vast novel, packed with incident, Günter Grass traces the dark labyrinth of the German mentality as it developed during the rise, fall, and aftermath of the Third Reich."
781823,749461,The Call of the Toad,0156153408,9780156153409,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1993,11,18,,Mariner Books,false,767841,31,826,1108,361,32,5:27|4:92|3:145|2:73|1:24|total:361,1992,,,3.07,200,10,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],A German art historian and a Polish art restorer find adventure and love in the cemetery business. Their vision is to offer plots in Gdansk to those Germans who had been exiled after World War II. A New York Times Notable Book of the Year. Line drawings by the Author. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />
136447,749461,Headbirths: or The Germans Are Dying Out,0156399954,9780156399951,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,10,29,,Mariner Books,false,131500,18,518,877,272,23,5:38|4:68|3:99|2:51|1:16|total:272,1980,,,3.22,214,16,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"Harm and Dörte Peters, the quintessential couple, are on vacation in Asia. But wherever they are, they can't get away from the political upheaval back home. With irony and wit, Grass takes aim at capitalism, communism, religion-even reproduction; nothing escapes unscathed. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />"
682037,749461,The Meeting at Telgte,0156585758,9780156585750,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,10,29,,Mariner Books,false,999826,22,536,811,269,25,5:26|4:57|3:102|2:63|1:21|total:269,1979,,,3.01,162,16,['749461'],['Günter Grass'],['3.83'],[],[],[],A group of leading intellectuals from all parts of Germany gather in 1647 for the purpose of strengthening the last remaining bond within a divided nation-its language and literature-as the Thirty Years' War comes to an end. Afterword by Leonard Forster. Translated by Ralph Manheim. A Helen and Kurt Wolff Book<br />
26164193,749461,Vonne Endlichkait,3958290426,9783958290426,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440522226l/26164193._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440522226l/26164193._SX50_.jpg,2015,8,28,ger,Steidl,false,46124265,19,478,785,211,50,5:43|4:89|3:61|2:13|1:5|total:211,2015,8,28,3.72,30,4,['749461'],['Günter Grass'],['3.83'],[],[],[],"Allen Zumutungen des Alterns und der 'Endlichkait' zum Trotz, plötzlich erscheint erneut fast alles möglich: Liebesbriefe, Selbstgespräche, Eifersuchtsdramen, Schwanengesänge, Gesellschaftssatiren und Augenblicke des Glücks drängen aufs Papier. Plötzlich findet rhythmisierte Kurzprosa ein vielstimmiges Echo in episch wuchernden oder pointiert zugespitzten Gedichten. Plötzlich entstehen sinnenfrohe Doppelstücke, die vom Zeichner ins Bild gesetzt, weitererzählt oder auf den Doppelpunkt gebracht werden. So traurig und gewitzt, so lebensklug und doch kämpferisch kann nur ein in die Jahre gekommener Künstler ans Werk gehen, der dem Tod wiederholt von der Schippe gesprungen ist. Zahlreiche berührende Geschichten bringt er hervor, verdichtet sie zu kunstvollen Miniaturen, die hier und jetzt spielen. In 'Vonne Endlichkait' schafft der Literaturnobelpreisträger in einem beeindruckenden Wechselspiel aus Lyrik, Prosa und Illustration sein letztes Gesamtkunstwerk."
35741,749461,Too Far Afield,0156014165,9780156014168,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876395l/35741._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876395l/35741._SY75_.jpg,2001,10,5,,Mariner Books,false,94095,22,704,648,204,26,5:30|4:51|3:65|2:41|1:17|total:204,1995,,,3.18,123,14,['749461'],['Günter Grass'],['3.83'],"['15736', '3864827']","['Krishna Winston', 'John Hargraves']","['3.73', '3.43']","From the Nobel Prize-winning author of <i>My Century</i> and <i>The Tin Drum</i>, a novel of broad historical proportions set in Berlin during the years of German reunification.<br /><br />Two old men roam through Berlin observing life in the former German Democratic Republic after the fall of the Wall in 1989. Theo Wuttke, a former East German functionary, is a keen observer and a gifted speaker. Ludwig Hoftaller is a mid-level spy whose loyalties shift with each new regime. Together, both men see what the future is bringing as they try to save what they can from the past and understand the meaning of being German.<br /><br />A complex and challenging exploration of what Germany's reunification will mean-for Germans, for Europe, and for the world-Too Far Afield is a masterwork from one of Europe's greatest writers. Written with the wit, fantasy, literary erudition, and political acerbity for which Grass is celebrated, it is a deeply human story laced with pain and humor in equal measure.<br /><br />"
1159493,749461,From the Diary of a Snail,0156339501,9780156339506,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1976,3,15,,Harvest Books,false,1164948,21,442,508,148,10,5:24|4:43|3:61|2:13|1:7|total:148,1972,,,3.43,100,4,['749461'],['Günter Grass'],['3.83'],['38449'],['Ralph Manheim'],['4.11'],"The German novelist's experiences campaigning for Willy Brandt provide a portrait of Grass the family man, writer, and concerned citizen, and a meditation on his nation's history and civilization's progress. Translated by Ralph Manheim. A Helen and Kurt Wolff Book.<br />"
