id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
4148167,268329,A History of Rome (Abridged),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,,,eng,The Folio Society,false,4195413,124,1410,931,212,24,5:125|4:56|3:23|2:5|1:3|total:212,1855,,,4.39,158,12,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],"The classical historian Theodor Mommsen (1817 1903) published his monumental History of Rome between 1854 and 1856. His work was received with widespread acclaim by the scholarly community and the reading public. In 1902 Mommsen was awarded the Nobel Prize for Literature and acclaimed as 'the greatest living master of the art of historical writing'. Mommsen rejected traditional Enlightenment accounts, which glorified ancient Rome; instead, guided by a new and rigorous criticism of sources, Mommsen began the demythologisation of Roman history. In a vivacious and engaging style, Mommsen drew bold parallels between the nineteenth century and classical Rome. <br /><br />Information about this Folio Society edition (taken from the Editorial Note):<br /><br />Theodor Mommsen’s <i>Römische Geschichte</i> was first published in three volumes between 1854 and 1856, and was subsequently revised several times. The text of the present volume is derived from William Purdie Dickson’s translation, first published in four volumes by Richard Bentley in London in 1868, of the fourth German edition.<br /><br />The text printed in the ensuing pages preserves slightly less than half of the 1868 edition’s three-quarters of a million words. In abridging a work of such magnitude, strict guiding principles tend to be honoured as much in their breach as in their observance. With that caveat in mind, therefore, the intention in this edition has been to provide, within a single volume, a continuous narrative of the history of Rome, from the origins of the city down to the Civil War that resulted in the sole rule of Julius Caesar (c.753—46BC). At the same time, it is hoped that the selection represents the essential character of Mommsen’s historical vision, and can be read with both pleasure and profit by a non-specialist audience.<br /><br />In pursuit of these goals, the relative amount of space devoted to each of the main periods of Roman history has been preserved, and Mommsen’s own book divisions and titles retained. Similarly, the original chapter titles and breaks—and indeed even the paragraphing—has been followed as closely as possible. Wirth some obvious exceptions, marginal precedence has been given to social and constitutional developments, and to political events and conflicts in Rome and Italy, over foreign policy and the detailed narration of overseas wars. Consequently, the significant amount of background information that Mommsen provided concerning the foreign nations with which Rome came into violent contact—Etruscans, Celts, Carthaginians and the peoples of the Hellenistic eastern Mediterranean among them—has been almost entirely excised. And the summaries on literature and the arts that were tacked on to the end of each book have also had to be omitted. Within these broad parameters, however, every effort has been made to ensure that the full spectrum of Mommsen's themes, methodology, and style is portrayed.<br /><br />So that the text retains its readability, all cuts have been made silently, without the distraction of frequent ellipses. Where it has proved impossible to provide a continuous narrative in Mommsen’s own words, then editorial linking passages, printed in smaller type than the rest of the text, have been supplied. These confine themselves to the bare essentials and take a deliberately conservative line in order to sit more comfortably with the main narrative. the new maps and extensive chronology are also intended to compensate for information otherwise excised. A handful of editorial footnotes and other brief interpolations have been added where essential for sense. All such additions to the original text, as well as any other localised rewordings necessitated by the cuts, are contained within square brackets. Most of Mommsen’s analogies to subsequent historical events, which are one of the many delights of his work, require no explanation for an educated readership.<br /><br />Any attempt to update Mommsen’s scholarship would be presumptuous, if not completely foolhardy, and so all points of fact and interpretation have been allowed to stand without comment. thus, for example, Mommsen’s belief that Caesar was probably born in 102BC—rather than 100 BC, as is now generally accepted—has not been amended. Nor has it been deemed necessary to bring into line with current accepted norms either the spelling of proper nouns or Disckon’s faithful equivalents of Mommsen’s deliberately idiosyncratic and anachronistic rendition of Latin terms. Of these, the most noticeable is undoubtedly the word ‘burgess’ instead of ‘citizen’. While proving that few things date faster than modernity, they also provide an important reminder that Mommsen wrote his history with the pressing political and national issues facing both pre-unification Germany and the rest of the mid-nineteenth0century Europe directly in mind."
813221,268329,A History of Rome under the Emperors,0415206472,9780415206471,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,4,22,,Routledge,false,17667513,9,80,49,14,1,5:4|4:3|3:4|2:2|1:1|total:14,1992,,,3.50,10,1,"['268329', '104075']","['Theodor Mommsen', 'Thomas Wiedemann']","['4.15', '3.80']",['3401424'],['Clare Krojzl'],['3.58'],"<em>A History of Rome Under the Emperors</em> provides an authoritative survey of four centuries of Roman history, and a unique window on German thought in the last century. It caused a sensation when it was published in Germany in 1992, and was front page news in many newspapers. Now in an English paperback edition, this book represents the great lost work of Theodor Mommsen (d. 1903) -- one of the greatest Roman historians of the nineteenth century, and the only one ever to be awarded the Nobel Prize for Literature.<br /><em>A History of Rome Under the Emperors</em> is the work that would have concluded Mommsen's history of Rome, but was never completed. This transcript of his lectures given from 1863 to 1886, made by two of his students, was discovered in 1980. It has now been edited to provide the authoritative reconstruction of the book Mommsen never wrote."
20526772,268329,The History of the Ancient World: Volume II,,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,eng,,true,37248667,1,17,18,4,0,5:3|4:0|3:1|2:0|1:0|total:4,2013,12,22,4.50,4,0,"['207882', '7762148', '268329']","['Edward Shepherd Creasy', 'Demetrious Bulger', 'Theodor Mommsen']","['3.76', '4.50', '4.15']",[],[],[],"The second volume of the History of the Ancient World, fully formatted for Kindle devices and the Kindle for iOS apps. <br /> <br />Contents include: <br /> <br />INSTITUTION AND FALL OF THE DECEMVIRATE IN ROME <br />PERICLES RULES IN ATHENS <br />GREAT PLAGUE AT ATHENS <br />DEFEAT OF THE ATHENIANS AT SYRACUSE <br />CONDEMNATION AND DEATH OF SOCRATES <br />BRENNUS BURNS ROME <br />TARTAR INVASION OF CHINA BY MEHA <br />ALEXANDER REDUCES TYRE: LATER FOUNDS ALEXANDRIA <br />THE BATTLE OF ARBELA <br />FIRST BATTLE BETWEEN GREEKS AND ROMANS <br />THE PUNIC WARS <br />SCIPIO AFRICANUS CRUSHES HANNIBAL AT ZAMA AND SUBJUGATES CARTHAGE <br />THE GRACCHI AND THEIR REFORMS <br />CAESAR CONQUERS GAUL <br />ROMAN INVASION AND CONQUEST OF BRITAIN <br />ASSASSINATION OF CÆSAR <br />ROME BECOMES A MONARCHY; DEATH OF ANTONY AND CLEOPATRA <br />GERMANS UNDER ARMINIUS REVOLT AGAINST ROME <br />"
26047423,268329,Historia de Roma. Libro IV. La revolución: 3 (Biblioteca Turner),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,45977094,1,7,14,3,0,5:2|4:1|3:0|2:0|1:0|total:3,2012,3,29,4.67,3,0,"['268329', '402044', '8343909']","['Theodor Mommsen', 'Luis Alberto Romero', 'F. Fernández y González']","['4.15', '3.43', '4.33']",['8343908'],['A. García Moreno'],['4.41'],
26047424,268329,Historia de Roma. Libro III. Desde la reunión de Italia hasta la sumisión de Cartago y de Grecia: 2 (Biblioteca Turner),,,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,45977095,1,9,12,3,0,5:0|4:3|3:0|2:0|1:0|total:3,2012,3,29,4.00,3,0,"['268329', '402044', '8343909']","['Theodor Mommsen', 'Luis Alberto Romero', 'F. Fernández y González']","['4.15', '3.43', '4.33']",['8343908'],['A. García Moreno'],['4.41'],
9753537,268329,Storia di Roma antica vol 1\1. Dalle origini sino all'Unione d'italia,8838318794,9788838318795,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,1,1,ita,Sansoni,false,14642793,1,11,11,3,1,5:0|4:2|3:1|2:0|1:0|total:3,2001,1,1,3.67,3,1,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
36685530,268329,Historia de Roma VI,9686138064,,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511975713l/36685530._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511975713l/36685530._SY75_.jpg,1986,,,spa,Ediciones Helios,false,58495585,7,2,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,,,,4.50,2,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
1447237,268329,El mundo de los cesares,9681677242,9789681677244,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355147181l/1447237._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355147181l/1447237._SY75_.jpg,,,,spa,,false,1437939,5,7,9,3,0,5:0|4:1|3:1|2:1|1:0|total:3,1955,,,3.00,1,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
20914217,268329,Corpus Iuris Civilis,1108071252,9781108071253,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396833121l/20914217._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396833121l/20914217._SX50_.jpg,2014,4,17,,Cambridge University Press,false,40278638,19,20,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,529,1,14,4.50,2,0,"['15305203', '17072442', '268329']","['Tribonian', 'Paul Krueger', 'Theodor Mommsen']","['4.50', '4.00', '4.15']",[],[],[],"The most famous legal work of the ancient world was compiled at the order of the emperor Justinian (c.482 565) and issued in the period 529 34. It was intended to be a complete codification of all law, to be used as the only source of law in all the courts of the empire. The work was divided into three parts: the Codex Justinianus contained all of the extant imperial enactments from the time of Hadrian; the Digesta compiled the writings of great Roman jurists; and the Institutiones was intended as a textbook for law schools. However, Justinian later found himself obliged to create more laws, and these were published as the Novellae. This three-volume Latin edition of 1872 95, prepared by the great classical historian Theodor Mommsen (1817 1903) and his colleagues, is the culmination of centuries of palaeographical and legal studies. Volume 1 contains the Institutiones and Digesta."""
20695665,268329,Figuras de la historia de Roma,,9788415177883,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391342388l/20695665._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391342388l/20695665._SX50_.jpg,2013,9,6,spa,Ediciones Espuela de Plata,false,40015234,1,10,8,3,1,5:0|4:1|3:0|2:2|1:0|total:3,2013,9,6,2.67,3,1,"['268329', '6217841']","['Theodor Mommsen', 'Francisco Socas']","['4.15', '3.93']",[],[],[],"Nadie puede dejar de reconocer que Roma es inmensa, ejemplar, decisiva. Y en su dilatado paisaje histórico destacan irremediablemente algunas figuras singulares. Triunfantes con el favor de los acontecimientos o enfrentados a ellos y aplastados por el fracaso, se le imponen al lector con fuerza irresistible. Por eso era ca si forzoso que alguien extrajera del vasto relato del sabio alemán algunas viñetas biográficas y las publicara por separado formando un pequeño libro de fácil y amena lectura como el que el lector tiene en sus manos [...]. Una galería de retratos como la que aquí se recoge suscita al punto en el lector una meditación sobre el papel del individuo en la historia�. (Del prólogo de Francisco Socas)<br /><br />Theodor Mommsen (Garding, 1817-Charlottenburg, 1903) llevó una intensa vida entregada al estudio del mundo antiguo, aunque no faltaron en su trayectoria experiencias periodísticas, políticas y, de algún modo revolucionarias, que dieron fe de un hombre que participó activamente del tiempo que le tocó vivir: el siglo XIX y en concreto todo el proceso de la reunificación de Alemania. Sus obras, muy numerosas, estudian principalmente todo lo referente a la antigüedad romana: derecho, historia, filología, epigrafía, numismática, etc. Como filólogo cabe señalar su Estudio sobre los dialectos de la baja Italia (1850) y sus ediciones de Plinio el Joven. Como numismático su obra fundamental es el Tratado sobre el sistema monetario de los romanos. Pero el gran legado de Mommsen es y será la Historia de Roma, obra aparecida entonces en tres volúmenes, entre los años 1854 y 1856, y donde confluyen en toda su grandeza, genialidad y esplendor la figura del escritor, historiador, periodista, político y pensador que fue Mommsen. Por este libro le concedieron en 1902 el Premio Nobel de Literatura, y se ha convertido hoy en todo un clásico, un referente y un hito de la historiografía romana.<br /><br />Francisco Socas ha sido profesor de Lenguas Clásicas en la Universidad de Sevilla. Ha publicado numerosos trabajos sobre el mundo antiguo, entre los que destacan su tesis sobre la Fortuna en la novela antigua y versiones de poetas latinos (Lucrecio, Ovidio, Juvenal y Marcial). También ha llevado a cabo ediciones de obras heterodoxas o mal conocidas, como el De pulchro et de amore (1531) de Agostino Nifo, Mi vida (1575) y Mis libros (1562) de Girolamo Cardano, el texto irreligioso clandestino Symbolum sapientiae (1668), las novelescas Memorias (1542) de Francisco de Enzinas, el Sueño (1630) del astrónomo Johannes Kepler o Los remedios de amor del poeta sevillano Pedro Venegas de Saavedra. Se ha ocupado de crónicas y descripciones geográficas como la Europa de mi tiempo y la Descripción de Asia, obras ambas de Enea Silvio Piccolomini (s. XV)."
18536420,268329,NOBEL PRIZE LIBRARY MOMMSEN 1902,,,US,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379957353l/18536420._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379957353l/18536420._SX50_.jpg,1971,,,eng,CRM,false,26259057,2,6,8,2,1,5:1|4:0|3:1|2:0|1:0|total:2,1971,1,1,4.00,2,1,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],THE HISTORY OF ROME
10301231,268329,"The History of Rome, 4 Vols in 5 Paperback Parts (Library Collection-Classics)",1108009832,9781108009836,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,4,8,eng,Cambridge University Press,false,44061985,1,18,8,2,1,5:1|4:0|3:1|2:0|1:0|total:2,,,,4.00,2,1,"['268329', '5694301']","['Theodor Mommsen', 'Mommsen Theodor']","['4.15', '4.00']",['3142857'],['William Purdie Dickson'],['4.11'],"The classical scholar and historian Theodor Mommsen (1817-1903) published his monumental History of Rome between 1854 and 1856. His work was received with widespread acclaim by the scholarly community and the reading public. In 1902 Mommsen was awarded the Nobel Prize for Literature and acclaimed as 'the greatest living master of the art of historical writing'. Mommsen rejected traditional Enlightenment critiques, which glorified ancient Rome; instead, guided by a new and rigorous criticism of sources, Mommsen began the demythologisation of Roman history. In a vivacious and engaging style, employing modern terms to render classical ideas, Mommsen drew bold parallels between the nineteenth century and classical Rome. This English translation of his History appeared in five volumes between 1862 and 1866. In this reissue, the final volume also contains the index to the entire work, originally published separately in 1875, nine years after the translation itself was completed."
8087206,268329,Von der Abschaffung des römischen Königtums,3423060530,9783423060530,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,12824256,1,2,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,,,,3.50,2,0,['268329'],['Theodor Mommsen'],['4.15'],[],[],[],
9048418,268329,Fontes Iuris Romani Antiqui,1147917981,9781147917987,US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,13926315,1,2,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,2010,1,12,5.00,1,0,"['268329', '4264216', '4264217']","['Theodor Mommsen', 'Otto Gradenwitz', 'Carl Georg Bruns']","['4.15', '5.00', '5.00']",[],[],[],
