id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
6428259,112052,"À l'ouest, rien de nouveau",223406211X,9782234062115,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459783749l/6428259._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459783749l/6428259._SX50_.jpg,2009,3,11,fre,Stock,false,2662852,456,563539,1369324,344558,9923,5:129909|4:116387|3:67470|2:21029|1:9763|total:344558,1929,,,3.97,20,3,"['4116', '112052', '397537', '397538']","['Erich Maria Remarque', 'Patrick Modiano', 'Olivier Bournac', 'Alzir Hella']","['4.06', '3.51', '4.13', '4.13']",[],[],[],"""Quand nous partons, nous ne sommes que de vulgaires soldats, maussades ou de bonne humeur et, quand nous arrivons dans la zone où commence le front, nous sommes devenus des hommes-bêtes...""<br /><br />Témoignage d'un simple soldat allemand de la guerre de 1914-1918, A l'ouest rien de nouveau, roman pacifiste, réaliste et bouleversant, connut, dès sa parution en 1928, un succès mondial retentissant et reste l'un des ouvrages les plus forts dans la dénonciation de la monstruosité de la guerre."
323530,112052,Honeymoon,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412968792l/323530._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412968792l/323530._SX50_.jpg,1995,5,1,eng,David R. Godine,false,314235,36,2946,5095,1381,174,5:283|4:547|3:417|2:107|1:27|total:1381,1990,,,3.69,733,78,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Modiano, winner of the Prix Goncourt, constructs ""a haunting tale of quiet intensity"" (Review of Contemporary Fiction). It parallels the story of Jean B., a filmmaker who abandons his wife and career to hole up in a Paris hotel, with that of Ingrid and Rigaud, a refugee couple he'd met twenty years before, and whose mystery continues to haunt him."
25246901,112052,Paris Nocturne,0300215886,9780300215885,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437478986l/25246901._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437478986l/25246901._SY75_.jpg,2015,10,27,eng,Yale University Press,false,44966773,29,3091,4370,1300,215,5:176|4:409|3:482|2:175|1:58|total:1300,2003,,,3.36,525,99,"['112052', '13735432']","['Patrick Modiano', 'Phoebe Weston-Evans']","['3.51', '3.58']",[],[],[],"<b>An accident, a vanishing, a memory gap, a strange dream: a classic noir work of fiction by Nobel laureate Patrick Modiano</b><br /><br /> This uneasy, compelling novel begins with a nighttime accident on the streets of Paris. The unnamed narrator, a teenage boy, is hit by a car whose driver he vaguely recalls having met before. The mysterious ensuing events, involving a police van, a dose of ether, awakening in a strange hospital, and the disappearance of the woman driver, culminate in a packet being pressed into the boy’s hand. It is an envelope stuffed full of bank notes. The confusion only deepens as the characters grow increasingly apprehensive; meanwhile, readers are held spellbound.<br /><br /> Modiano’s low-key writing style, his preoccupation with memory and its untrustworthiness, and his deep concern with timeless moral questions have earned him an international audience of devoted readers. This beautifully rendered translation brings another of his finest works to an eagerly waiting English-language audience. <i>Paris Nocturne</i> has been named “a perfect book” by <i>Libération</i><i>,</i> while <i>L’Express</i> observes, “<i>Paris Nocturne</i> is cloaked in darkness, but it is a novel that is turned toward the light.”"
323527,112052,Villa triste,2070369536,9782070369539,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,10,1,fre,Gallimard Education,false,314232,37,2618,4100,1183,150,5:199|4:378|3:422|2:143|1:41|total:1183,1975,9,4,3.47,731,70,['112052'],['Patrick Modiano'],['3.51'],[],[],[],
25246845,112052,After the Circus,0300215894,9780300215892,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430190209l/25246845._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430190209l/25246845._SY75_.jpg,2015,10,27,en-GB,Yale University Press,false,847625,21,2244,3783,1068,181,5:183|4:388|3:355|2:109|1:33|total:1068,1992,,,3.54,395,80,"['112052', '14241565']","['Patrick Modiano', 'Mark Polizzotti']","['3.51', '3.76']",[],[],[],"One of the hallmarks of French author Patrick Modiano’s writing is a singular ability to revisit particular motifs and episodes, infusing each telling with new detail and emotional nuance. In this evocative novel the internationally acclaimed author takes up one of his most compelling themes: a love affair with a woman who disappears, and a narrator grappling with the mystery of a relationship stopped short.<br /> <br />Set in mid-sixties Paris, After the Circus traces the relationship between the narrator, a young man not quite of legal age, and the slightly older, enigmatic woman he first glimpses at a police interrogation. The two lovers make their uncertain way into each other’s hearts, but the narrator soon finds himself in the unsettling, ominous presence of others. Who are these people? Are they real, or simply evoked? Part romance, part detective story, this mesmerizing book fully demonstrates Modiano’s signature use of atmosphere and suggestion as he investigates the perils and the exhilaration of young love."
323498,112052,Une jeunesse,207037629X,9782070376292,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1985,3,13,fre,Gallimard,false,314203,37,1978,3492,984,104,5:171|4:342|3:347|2:104|1:20|total:984,1981,,,3.55,287,16,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Dans un Paris où ils sont livrés à eux-mêmes, deux très jeunes gens, Odile et Louis, font l'«apprentissage de la ville» et d'une vie de hasards, d'expédients et d'aventures.<br />Ils ont pour eux leur innocence et croisent sur leur route des individus singuliers, émouvants mais quelquefois peu recommandables qui les entraînent dans des chemins de traverse.<br />Mais, en définitive, aussi trouble et aussi chaotique que soit un début dans la vie, il se métamorphose, avec le temps, en un beau souvenir de jeunesse, que les deux héros de ce livre sont désormais seuls à partager."
7955709,112052,L'Horizon,2070128474,9782070128471,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496150427l/7955709._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496150427l/7955709._SX50_.jpg,2010,3,4,fre,Gallimard,false,11638806,35,1907,3468,1035,151,5:126|4:331|3:398|2:140|1:40|total:1035,2010,,,3.35,410,52,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Jean Bosmans, le personnage principal de L’horizon, a l’habitude de noter sur un carnet les bribes de souvenirs qui lui reviennent de sa jeunesse. À partir du nom de Mérovée, il fait ressurgir sa rencontre, vers la fin des années 60, avec Margaret Le Coz, une jeune femme qu’il a fréquentée pendant quelques mois et avec laquelle il partageait le sentiment d’être traqué. Elle, par un certain Boyaval. Lui, par sa mère et son amant.<br />On apprend ensuite la vie de Margaret Le Coz avant sa rencontre avec Bosmans. Elle est née à Berlin, n’a jamais connu son père, a été interne dans quelques pensionnats pendant son enfance, jusqu’à échouer à Annecy où elle rencontre dans un café Boyaval qui très vite la harcèle. Pour le fuir, elle passe en Suisse où elle est la gouvernante des enfants d’un certain Bagherian qui en fait sa maîtresse occasionnelle. Ce dernier la protège de Boyaval qui vient de ressurgir à Lausanne.<br />Retour à aujourd’hui : Bosmans cherche les traces de Boyaval sur Internet, et découvre un homonyme qui tient une agence immobilière dans les nouveaux quartiers de Bercy. Il s’y rend, la rencontre est troublante. Quelque temps après, il reconnaît dans un café une certaine Yvonne Gaucher. Il n’ose l’aborder, mais se rappelle alors le curieux couple qu’elle formait avec le docteur André Poutrel, lorsque Margaret gardait pour eux « le petit Peter ». L’histoire avait mal tourné car Poutrel, un occultiste impliqué quelques années auparavant dans de sombres histoires de mœurs, avait été arrêté avec sa compagne par la police, ce qui avait poussé, le même jour, Margaret le Coz à fuir Paris pour Berlin, sans plus jamais donner de nouvelles à Bosmans.<br />Quarante ans après la disparition de Margaret, Bosmans la retrouve en tapant son nom sur Internet. Il se rend à Berlin, un habitant du quartier lui confirme qu’elle tient bien une librairie à deux pas. Il part à sa rencontre…"
25074755,112052,Pedigree: A Memoir,0300215339,9780300215335,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427161576l/25074755._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427161576l/25074755._SY75_.jpg,2015,8,25,eng,Yale University Press,false,1981188,39,2015,3295,965,136,5:151|4:309|3:335|2:129|1:41|total:965,2005,,,3.41,266,47,"['112052', '14241565']","['Patrick Modiano', 'Mark Polizzotti']","['3.51', '3.76']",[],[],[],"<b>Nobel laureate Patrick Modiano has said that his many fictions are all variations of the same story. <i>Pedigree</i>, his memoir, is the theme.</b><br /><br />In this rare glimpse into the life of Nobel laureate Patrick Modiano, the author takes up his pen to tell his personal story. He addresses his early years—shadowy times in postwar Paris that haunt his memory and have inspired his world-cherished body of fiction. In the spare, absorbing, and sometimes dreamlike prose that translator Mark Polizzotti captures unerringly, Modiano offers a memoir of his first twenty-one years. Termed one of his “finest books” by the <i>Guardian</i>, <i>Pedigree</i> is both a personal exploration and a luminous portrait of a world gone by. <br /><br />Pedigree sheds light on the childhood and adolescence that Modiano explores in <i>Suspended Sentences</i>, <i>Dora Bruder</i>, and other novels. In this work he re-creates the louche, unstable, colorful world of his parents under the German Occupation; his childhood in a household of circus performers and gangsters; and his formative friendship with the writer Raymond Queneau. While acknowledging that memory is never assured, Modiano recalls with painful clarity the most haunting moments of his early life, such as the death of his ten-year-old brother. <i>Pedigree</i>, Modiano’s only memoir, is a gift to his readers, and a master key to the themes that have inspired his writing life."
323531,112052,Catherine Certitude,2070516083,9782070516087,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fre,,false,1981189,30,1513,3080,815,94,5:177|4:338|3:250|2:43|1:7|total:815,1988,,,3.78,361,36,"['112052', '42102']","['Patrick Modiano', 'Jean-Jacques Sempé']","['3.51', '4.16']",[],[],[],"Comme son papa, Catherine Certitude porte des lunettes. Et une paire de lunettes, cela complique parfois la vie : par exemple lorsqu'elle est obligée de les enlever au cours de danse. Car Catherine rêve de devenir une grande danseuse comme sa maman qui vit à New York. Mais ses lunettes lui offrent l'avantage de pouvoir vivre dans deux mondes différents : le monde réel, tel qu'elle le voit, quand elle les porte, et un monde plein de douceur, flou et sans aspérité si elle les ôte. Un monde où elle danse comme dans un rêve..."
192376,112052,Dimanches d'août,2070381307,9782070381302,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358133278l/192376._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358133278l/192376._SY75_.jpg,1989,4,1,fre,Gallimard Education,false,186015,24,2061,3051,865,113,5:155|4:319|3:258|2:93|1:40|total:865,1986,,,3.53,279,14,['112052'],['Patrick Modiano'],['3.51'],[],[],[],"Pourquoi le narrateur a-t-il fui les bords de la Marne avec Sylvia pour se cacher à Nice ? D'où vient le diamant la Croix du Sud, la seule chose dure et consistante de leur vie et qui, peut-être leur porte malheur ? De quoi est mort l'acteur populaire Aimos ? Qui sont les Neal, et pourquoi, de leur villa délabrée, s'intéressent-ils de si près à Sylvia, au narrateur, à la Croix du Sud ? Et Sylvia ? A-t-elle été l'épouse de Villecourt ? Et Villecourt ? Que vient-il faire à Nice, lui aussi, à l'heure de sa déchéance ? ... A travers toutes ces énigmes qui s'entrecroisent, un roman d'amour se dessine, empreint d'un charme qui hante le lecteur pendant longtemps."
323535,112052,La Place de l’Étoile,0785928820,9780785928829,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472890343l/323535._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472890343l/323535._SY75_.jpg,1975,1,1,fre,Gallimard,false,314240,22,1820,2940,939,119,5:112|4:230|3:345|2:173|1:79|total:939,1968,,,3.13,632,67,['112052'],['Patrick Modiano'],['3.51'],['6860409'],['Vilius Litvinavičius'],['3.38'],"Au mois de juin 1942, un officier allemand s'avance vers un jeune homme et lui dit: ""Pardon, monsieur, où se trouve la place de l'Etoile?"". Le jeune homme désigne le côté gauche de sa poitrine."
