id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
7335928,290845,Andrea Delfin,1409928136,9781409928133,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,1,2,,Dodo Press,false,12920818,17,205,269,77,3,5:11|4:25|3:33|2:7|1:1|total:77,1985,1,1,3.49,49,3,['290845'],['Paul von Heyse'],['3.44'],[],[],[],"Paul Johann Ludwig von Heyse (1830-1914) war ein deutscher Schriftsteller. 1847 beginnt Hyse mit dem Studium der klassischen Philologie in Berlin. Heyses erste Novelle Marion wird im Tunnel 1852 ausgezeichnet. Das spater mehrfach vertonte Spanische Liederbuch mit Ubersetzungen von Geibel und Heyse ist der Beginn einer lebenslangen Ubersetzertatigkeit, in der Heyse vor allem als Vermittler der italienischen Literatur hervorragendes leistet. 1854 trifft Heyse in Munchen ein. Bereits in seinem ersten Jahr in Munchen grundet Heyse mit Geibel die Dichtervereinigung Krokodil. Die beruhmteste seiner uber 150 Erzahlungen, L'Arrabiata, veroffentlicht Heyse 1855. Im Jahr 1865 entsteht sein popularstes Stuck Colberg. Heyse wird 1871 Mitglied des bayrischen Maximiliansorden fur Wissenschaft und Kunst. 1910 wurde er als erster deutscher Autor belletristischer Werke mit dem Nobelpreis fur Literatur ausgezeichnet. Zu Heyses Werke zahlen u. a. noch: Das Madchen von Treppi (1855), Die Einsamen (1857), Der Weinhuter (1862-63), Die Witwe von Pisa (1865), Beatrice (1867), Der Letzte Zentaur (1904) und Ein Ring (1904)."
21899232,290845,Мертвый гость,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397324197l/21899232._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397324197l/21899232._SY75_.jpg,1992,,,rus,Ренессанс,false,41192349,1,5,16,4,0,5:1|4:2|3:1|2:0|1:0|total:4,1992,1,1,4.00,4,0,"['3454032', '290845', '6504279', '986558', '3336037', '232971', '1140926', '434467', '8138868']","['Theodor Körner', 'Paul von Heyse', 'Carl Busse', 'Friedrich Gerstäcker', 'Johann August Apel', 'Richard Voss', 'Heinrich Seidel', 'Heinrich Zschokke', 'Yuri Tsvetaev']","['3.78', '3.44', '4.00', '3.54', '3.54', '3.40', '3.76', '3.44', '4.00']",['8138865'],['Vadim Busygin'],['4.00'],"Одно из самых загадочных явлений в мире таинственного — призраки. О встречах с ними — замечательные рассказы немецких, австрийских и швейцарских писателей, вошедшие в эту книгу.<br /><br />СОДЕРЖАНИЕ:<br /><br />Теодор Кёрнер. Арфа. К вопросу о вере в приведения <br />Пауль Хейзе. Прекрасная Абигайль (повесть, перевод В. Бусыгина), стр. 9-41<br />Пауль Хейзе. Колдовство средь бела дня<br />Пауль Хейзе. Маленькая Лизавета<br />Пауль Хейзе. Лесной смех<br />Карл Буссе. Причастие<br />Фридрих Герштеккер. Гермельсхаузен<br />Иоганн Август Апель. Пляска мертвецов<br />Иоганн Август Апель. Невеста мертвеца<br />Рихард Фосс. Камальдолянка<br />Генрих Зайдель. Старый бедный призрак<br />Генрих Цшокке. Ночь в Бжзвезмчисли <br />Генрих Цшокке. Мёртвый гость"
18664365,290845,The Donkey,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,26486886,1,7,15,5,0,5:0|4:0|3:5|2:0|1:0|total:5,,,,3.00,5,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
11662133,290845,"Stories by Foreign Authors: German, Volume 1",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327804324l/11662133._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327804324l/11662133._SX50_.jpg,,,,eng,,true,16607110,17,21,13,4,1,5:0|4:2|3:1|2:1|1:0|total:4,1898,,,3.25,1,0,"['290845', '4932502', '77556', '2786236', '7267068', '434467']","['Paul von Heyse', 'Rudolf Lindau', 'Leopold von Sacher-Masoch', 'Rudolf Baumbach', 'E.T.A. Hoffmann', 'Heinrich Zschokke']","['3.44', '3.33', '3.69', '4.00', '3.83', '3.44']","['2780287', '18936398', '161908']","['Helen B. Dole', 'J.T. Beally', 'Parke Godwin']","['3.93', '4.00', '4.03']","A collection of short stories, originally written in German, but here translated into English. The stories take us to Egypt and the shadow of Vesuvius, as well as the German homeland. We look into the world of books and that of music and we delve into the depths of the human heart in love and loss."
9043101,290845,Der Letzte Zentaur,1409928187,9781409928188,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,1,2,,Dodo Press,false,13920920,3,6,12,3,0,5:1|4:1|3:1|2:0|1:0|total:3,2009,1,2,4.00,2,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],"Paul Johann Ludwig von Heyse (1830-1914) war ein deutscher Schriftsteller. 1847 beginnt Hyse mit dem Studium der klassischen Philologie in Berlin. Heyses erste Novelle Marion wird im Tunnel 1852 ausgezeichnet. Das spater mehrfach vertonte Spanische Liederbuch mit Ubersetzungen von Geibel und Heyse ist der Beginn einer lebenslangen Ubersetzertatigkeit, in der Heyse vor allem als Vermittler der italienischen Literatur hervorragendes leistet. 1854 trifft Heyse in Munchen ein. Bereits in seinem ersten Jahr in Munchen grundet Heyse mit Geibel die Dichtervereinigung Krokodil. Die beruhmteste seiner uber 150 Erzahlungen, L'Arrabiata, veroffentlicht Heyse 1855. Im Jahr 1865 entsteht sein popularstes Stuck Colberg. Heyse wird 1871 Mitglied des bayrischen Maximiliansorden fur Wissenschaft und Kunst. 1910 wurde er als erster deutscher Autor belletristischer Werke mit dem Nobelpreis fur Literatur ausgezeichnet. Zu Heyses Werke zahlen u. a. noch: Das Madchen von Treppi (1855), Die Einsamen (1857), Der Weinhuter (1862-63), Die Witwe von Pisa (1865), Beatrice (1867), Der Letzte Zentaur (1904) und Ein Ring (1904)."
23398443,290845,Un hombre sin personalidad,8492979437,9788492979431,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414559407l/23398443._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414559407l/23398443._SY75_.jpg,2015,8,1,,Ediciones Barataria,false,42955066,1,6,12,4,1,5:0|4:1|3:2|2:1|1:0|total:4,2015,8,1,3.00,4,1,['290845'],['Paul von Heyse'],['3.44'],[],[],[],"Aesthetic concepts of classicism are merged with the prosperous middle class in this novel in a serene and bright way, as was the life of Heyse. This story exposes a man without a personality and is a narrative with merit that comes from its harmoniously chiseled shape and colorful descriptions. Heyse, in his naturally optimistic lifestyle, fought against the young generation of naturalism, filled with negativity."
21885170,290845,Paul Heyse: The Works,1304307336,9781304307330,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2013,8,8,,Lulu.com,true,41176819,1,9,10,3,0,5:0|4:2|3:0|2:1|1:0|total:3,2013,8,8,3.33,3,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],"Paul Johann Ludwig von Heyse was a distinguished German writer and translator. A member of two important literary societies, the Tunnel uber der Spree in Berlin and Die Krokodile in Munich, he wrote novels, poetry, 177 short stories, and about sixty dramas. The sum of Heyse's many and varied productions made him a dominant figure among German men of letters. He was awarded the Nobel Prize for Literature in 1910 ""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories."" Wirsen, one of the Nobel judges, said that ""Germany has not had a greater literary genius since Goethe."" Heyse is the fourth oldest laureate in literature, after Doris Lessing, Theodor Mommsen and Jaroslav Seifert. This book is Composed of the most noted novels, short stories and novellas."""
14637826,290845,L' Arrabbiata /Andrea Delfin,3866405103,9783866405103,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340837545l/14637826._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340837545l/14637826._SX50_.jpg,2008,6,23,,Contumax Gmbh & Co. Kg,false,20282859,2,7,10,2,0,5:2|4:0|3:0|2:0|1:0|total:2,2008,6,23,5.00,2,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
19257948,290845,Kleopatra (German Edition),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,27304440,1,3,10,3,1,5:0|4:1|3:2|2:0|1:0|total:3,2011,3,31,3.33,3,1,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
2871080,290845,"German Novellas of Realism: Ebner-Eschenbach, Heyse, Raabe, Storm, Meyer, Hauptmann: Volume Two",0826403204,9780826403209,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989,4,1,,Bloomsbury Academic,false,2897235,1,13,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,1989,4,1,4.00,2,0,"['39658', '54428', '6556', '290845', '87431', '364508', '529837']","['Jeffrey L. Sammons', 'Gerhart Hauptmann', 'Theodor Storm', 'Paul von Heyse', 'Conrad Ferdinand Meyer', 'Wilhelm Raabe', 'Marie von Ebner-Eschenbach']","['4.02', '3.32', '3.51', '3.44', '3.36', '3.22', '3.69']",[],[],[],"Ebner-Eschenbach, Heyse, Raabe, Storm, Meyer, and Hauptmann&gt;"
20769359,290845,In Paradise A Novel. Vol. I.,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,40107301,1,19,8,2,0,5:1|4:0|3:1|2:0|1:0|total:2,2011,3,24,4.00,2,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
14308282,290845,Barbarossa and Other Tales,1406895970,9781406895971,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,11,17,,Echo Library,false,19950066,5,6,7,3,0,5:0|4:0|3:1|2:2|1:0|total:3,2008,6,1,2.33,3,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],A collection of stories by the distinguished German writer who was awarded the Nobel Prize for Literature in 1910.
11233154,290845,A Divided Heart and Other Stories,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,17043991,4,5,7,2,0,5:0|4:1|3:1|2:0|1:0|total:2,2010,11,11,3.50,2,0,['290845'],['Paul von Heyse'],['3.44'],['4819037'],['CONSTANCE STEWART COPELAND'],['3.50'],
8174433,290845,The Young Girl of Treppi,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,3,7,,,true,13020829,4,8,7,2,1,5:0|4:1|3:1|2:0|1:0|total:2,2010,3,7,3.50,1,1,"['290845', '379374']","['Paul von Heyse', 'Brad K. Berner']","['3.44', '3.83']",[],[],[],
18894855,290845,The Children of the World,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,26899149,5,10,5,2,2,5:0|4:0|3:1|2:1|1:0|total:2,2011,3,24,2.50,2,2,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
3584155,290845,Novellen,3717519182,9783717519188,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,3626412,7,8,5,1,0,5:1|4:0|3:0|2:0|1:0|total:1,1998,1,1,5.00,1,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
17660302,290845,Gesammelte Werke,3846027782,9783846027783,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2013,3,11,,Salzwasser-Verlag Gmbh,false,24649573,44,4,4,2,0,5:0|4:0|3:0|2:2|1:0|total:2,2013,3,11,2.00,0,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],Paul Johann Ludwig von Heyse (1830-1914) war ein deutscher Schriftsteller und Nobelpreistrager der Literatur. Nachdruck des Originals von 1898.
18664356,290845,Auferstanden,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,26486873,2,2,4,1,0,5:0|4:1|3:0|2:0|1:0|total:1,,,,4.00,1,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
18896961,290845,L'Arrabbiata - Le Garde-vignes - Résurrection (French Edition),,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,26901373,2,5,4,2,1,5:0|4:0|3:1|2:0|1:1|total:2,2011,9,27,2.00,1,0,['290845'],['Paul von Heyse'],['3.44'],[],[],[],
