id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
45961,25708,Soul Mountain,0060936231,9780060936235,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,10,23,eng,Harper Perennial,false,45123,81,12793,15053,4198,495,5:1046|4:1342|3:1075|2:495|1:240|total:4198,1989,,,3.59,3360,374,['25708'],['Gao Xingjian'],['3.54'],['194394'],['Mabel Lee'],['3.56'],"In 1983, Chinese playwright, critic, fiction writer, and painter Gao Xingjian was diagnosed with lung cancer and faced imminent death. But six weeks later, a second examination revealed there was no cancer -- he had won ""a reprieve from death."" Faced with a repressive cultural environment and the threat of a spell in a prison farm, Gao fled Beijing and began a journey of 15,000 kilometers into the remote mountains and ancient forests of Sichuan in southwest China. The result of this epic voyage of discovery is <i>Soul Mountain</i>.<br /><br />Bold, lyrical, and prodigious, <i>Soul Mountain</i> probes the human soul with an uncommon directness and candor and delights in the freedom of the imagination to expand the notion of the individual self."
1082390,25708,Cold Literature: Selected Works,9629962454,9789629962456,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,11,16,,Chinese University Press,false,1069136,1,82,54,17,1,5:3|4:6|3:3|2:1|1:4|total:17,2005,,,3.18,17,1,['25708'],['Gao Xingjian'],['3.54'],"['410930', '194394']","['Gilbert C.F. Fong', 'Mabel Lee']","['3.61', '3.56']","Gao Xingjian is the first Chinese Nobel Laureate in Literature. The Swedish Academy summarized his achievements as follows: -An oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chines novel and drama.- The collection, which aims to present the diversity of Gao's literary talents, contains the highlights of his essays, stories, plays and poems."
207609,25708,Escape & the Man Who Questions Death,9629963086,9789629963088,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,4,3,,Chinese University Press,false,200940,2,47,29,11,0,5:1|4:3|3:2|2:1|1:4|total:11,2007,3,1,2.64,11,0,"['25708', '3916268']","['Gao Xingjian', 'Gilbert Chee Fun Fong']","['3.54', '2.85']",[],[],[],"Inspired by the author's personal trauma in Europe and Mao's China, these two plays scrutinize the psychology of self-proclaimed heroes and the consequences of dangerous revolutions that turn literature and art into hostages of politics, fashions, and trends."
13556391,25708,Letteratura e ideologia,,9788845268618,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332421996l/13556391._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332421996l/13556391._SY75_.jpg,2012,2,,ita,Bompiani,false,19127656,1,18,27,9,1,5:0|4:2|3:5|2:2|1:0|total:9,2012,2,,3.00,9,1,"['25708', '36438']","['Gao Xingjian', 'Claudio Magris']","['3.54', '3.80']",[],[],[],"Viviamo in un’epoca post-ideologica, ma ciò non significa che le ideologie non esistano più, anzi ci circondano in modo più o meno invadente, più o meno silenzioso: in questo scenario ancora incerto, che potere hanno gli scrittori e gli intellettuali? Quale il ruolo della letteratura in questo mondo fluido? Gao Xingjian e Claudio Magris, con due brevi e fulminanti interventi in un ideale dialogo tra Occidente e Oriente, prendono posizione a favore del ruolo centrale e insostituibile della letteratura contro ogni forma di potere ideologico. Due saggi insieme letterari e politici, distanti ma affini per profondità, aderenza alla vita, adesione personale."
36928837,25708,Wandering Mind and Metaphysical Thoughts,962996838X,9789629968380,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530804016l/36928837._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530804016l/36928837._SX50_.jpg,2018,3,6,,Chinese University Press,false,58687444,2,13,24,6,2,5:3|4:1|3:1|2:1|1:0|total:6,2011,,,4.00,4,2,['25708'],['Gao Xingjian'],['3.54'],[],[],[],"This English-Chinese bilingual edition is the complete first book of poems written by Nobel Prize winner Gao Xingjian. His poems offer an array of snapshots over various themes where politics, dreams, and metaphysical concerns are mixed. With original art works by Gao, this collection advances his innovative experiments in poetry across cultural boundaries."
11168863,25708,En Torno A La Literatura/Around Literature,849609524X,9788496095243,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365890007l/11168863._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365890007l/11168863._SY75_.jpg,,,,,,false,16093046,1,16,21,6,0,5:0|4:3|3:3|2:0|1:0|total:6,,,,3.50,6,0,['25708'],['Gao Xingjian'],['3.54'],[],[],[],
40673481,25708,Per un nuovo Rinascimento,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,63239179,2,7,17,4,2,5:2|4:1|3:1|2:0|1:0|total:4,,,,4.25,3,1,['25708'],['Gao Xingjian'],['3.54'],[],[],[],
13515033,25708,Nächtliche Wanderung: Reflektionen über das Theater,3934012086,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000,,,ger,Edition Mnemosyne,false,19071007,2,6,16,4,0,5:0|4:4|3:0|2:0|1:0|total:4,2000,1,1,4.00,2,0,['25708'],['Gao Xingjian'],['3.54'],[],[],[],"Für mich muß ich sagen, daß ich weder in politischer noch in literarischer Hinsicht einer Franktion oder Schule angehöre. Ich ordne mich keiner Theorie zu, d.h. auch nicht dem Nationalismus oder Patriotismus. Natürlich habe ich trotzdem meine politischen Ansichten und literarischeN Auffassungen, doch sehe ich keine Notwendigkeit, diese in irgendein politisches oder literarisches Raster einzuordnen. In Zeiten, da die Ideologien vor unseren Augen zusammenbrechen, kann der Mensch seine geistige Unabhängigkeit nur bewahren, wenn er sich zum Zweifel bekennt. Auch gegenüber dem jeweils Modischen halte ich mich daran. Denn die Erfahrungen, die ich in der Vergangenheit gemacht habe, sagen mir, daß man alles, was aus Massenbewegungen hervorgeht oder dem Massengeschmack entspricht, einschließlich dessen, was man das 'Ich' nennt, weder einstnehmen noch glauben kann.<br />Gao Xingjian"
207595,25708,高行健短篇小說集 [Gao Xingjian Duan Pian Xiao Shuo Ji],9575223411,9789575223410,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,,,zho,Lian he wen xue chu ban she,false,200926,2,20,16,5,1,5:1|4:1|3:2|2:0|1:1|total:5,1989,,,3.20,3,1,['25708'],['Gao Xingjian'],['3.54'],[],[],[],
6703471,25708,Contra los ismos,8496501201,9788496501201,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,spa,ElCobre Ediciones,false,6899219,1,11,16,5,0,5:1|4:1|3:1|2:2|1:0|total:5,,,,3.20,5,0,['25708'],['Gao Xingjian'],['3.54'],[],[],[],"La literatura es para Gao la voz de un individuo, la expresión de su sentimiento de existir, el resultado de una visión personal del mundo. El autor no pretende explicar el mundo: sencillamente, halla la libertad en la escritura. Entre los textos del presente libro se encuentran La huida –obra de teatro que provocó el rechazo del Partido Comunista chino– y tres ensayos sobre sus concepciones dramáticas, que combinan elementos del teatro tradicional chino e influencias de la dramaturgia occidental moderna (Artaud, Brecht y Beckett).<br /><br />La presente edición consta de textos que fueron escritos en chino y que hasta hoy sólo han sido traducidos al español. Presentamos, pues, una primicia en Occidente."
8708387,25708,Ballade Nocturne: Libretto For A Dance Performance,0955889693,9780955889691,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359084918l/8708387._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359084918l/8708387._SY75_.jpg,,,,,,false,13581226,1,24,15,4,1,5:1|4:1|3:2|2:0|1:0|total:4,2010,1,1,3.75,4,1,['25708'],['Gao Xingjian'],['3.54'],['1350762'],['Claire Conceison'],['4.32'],"""This cahier publishes for the first time Ballade Nocturne, the latest dramatic work by Nobel laureate Gao Xingjian. Written in French, and translated for the Cahiers Series by Claire Conceison, the full text is presented here of what is described by the author as a 'libretto for a dance performance'. The cahier contains an introduction by the translator, and reproductions of five ink and wash drawings by Gao Xingjian; it is completed by a booklet with the text in its original French version."" <a target=""_blank"" href=""http://www.sylpheditions.com/gx.html"" rel=""nofollow"">http://www.sylpheditions.com/gx.html</a>."
16291854,25708,Gao Xingjian: Aesthetics and Creation,1604978368,9781604978360,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356210357l/16291854._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356210357l/16291854._SY75_.jpg,2012,11,28,,Cambria Press,false,22418830,2,52,14,3,1,5:2|4:1|3:0|2:0|1:0|total:3,2012,11,28,4.67,3,1,"['25708', '194394']","['Gao Xingjian', 'Mabel Lee']","['3.54', '3.56']",[],[],[],"Nobel Laureate Gao Xingjian is amongst the most challenging writers of the present era. He has probed the dynamics of Chinese and European literature and developed unique strategies for the writing of seventeen plays, two novels, a collection of short stories and a collection of poems. He has also written two collections of criticism. The present collection takes the title Aesthetics and Creation from the name of the Chinese collection from which most of these essays are drawn, but it also includes some of Gao's most recent unpublished essays. University of Sydney academic Mabel Lee is the translator, and the book also includes her authoritative introductory essay that contextualizes Gao's significant position as an independent and uncompromising voice in the noisy hype of the globalized world of the present in which creative writers and artists are forced to conform with the demands of political and other group agendas, or with market forces, in order to survive. In incisive and cogently argued essays, he exposes the political dynamics of so-called ""modernity"" in Western literature and art, and how this has been enthusiastically embraced in China since the 1980s. In other essays he analyses traditional and modern European and Chinese notions of fiction, theatre and art, and elaborates on what aspects of writers and artists from both cultures have informed him in developing his own aesthetics in narration, performance and the visual arts. These essays testify to the extent of the cosmopolitanism of his aesthetics that both informs and are manifested in his literary and art creations. This book has importance and relevance to the general reader with an interest in literature and art as a creative human pursuit that is not demarcated by national or cultural boundaries. This book is both indispensable and inspiring reading for intellectuals and informed readers who regard themselves as citizen of the world. For academics, researchers and students engaged in the disciplines of literature and visual art studies, world literature studies, comparative literature studies, performance studies, theatre studies, cultural studies, narrative fiction studies, and studies in the history of literature and the visual arts in modern times, this book is essential and thought-provoking reading that will have many positive outcomes.This book is in the Cambria Sinophone World Series (General Editor: Victor H. Mair)."
