id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
26635536,304182,Vítr ve vrbách aneb žabákova dobrodružství,8000009609,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442569371l/26635536._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442569371l/26635536._SX50_.jpg,2001,,,cze,Albatros,false,1061285,2613,309094,679729,170417,5651,5:63351|4:57552|3:37210|2:8832|1:3472|total:170417,1908,10,8,3.99,4,2,"['3843', '14370073', '304182', '575312']","['Kenneth Grahame', 'Míla Grimmichová,', 'Jaroslav Seifert', 'Jindra Čapek']","['3.99', '4.25', '3.87', '3.93']",[],[],[],"Krtek a krysa, dva veselí, dobrosdrdeční braši, se seznámili na začátku jednoho jara a stali se nerozlučnými kamarády. Jejich společným přítelem je Žabák - ale ouvej, s ním je občas opravdu těžké pořízení.<br />Je velmi hodný i družný, trochu sice prostý - ostatně nemůžeme být všichni géniové - především však poněkud rozmazlený, chlubivý a domýšlivý. Bydlí na Žabím hrádku, nejkrásnějším sídle v celém okolí, má moře peněz, přepychové auto a spoustu jiných báječných věcí...<br />Ale protože s ním už není k vydržení a někdy dělá pěkné vylomeniny, rozhodnou se věrní přátelé spolu s Jezevcem přivést Žabáka k rozumu a na lepší cestu.<br />Co všechno musejí podniknout, co se jim při tom přihodí a jak to nakonec dopadne? To ví s jistotou vítr ve vrbách...<br />A také ten, kdo si přečte pohodová, humorná i moudrá dobrodružství pana Žabáka."
1009080,304182,"Jablko z klína ; Ruce Venušiny ; Jaro, sbohem",8020202145,9788020202147,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312177778l/1009080._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312177778l/1009080._SY75_.jpg,1990,,,cze,,false,995206,1,45,121,31,1,5:6|4:17|3:7|2:1|1:0|total:31,,,,3.90,31,1,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
12249321,304182,From a Terrace in Prague,,9788073083496,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2011,5,,eng,Litteraria Pragensia,false,17223760,2,118,114,26,5,5:18|4:4|3:2|2:0|1:2|total:26,2011,5,,4.38,23,5,"['3340372', '66522', '223615', '4261', '71441', '39150', '36912', '4026', '524702', '48357', '7906', '28353', '1732747', '304182', '1230', '746148', '745470', '5786093', '25000', '24320', '69377', '186767', '4127705', '157280', '5097095', '507478', '4552753', '185546', '1365399', '5097096', '3428431', '5097097', '86808', '165876', '1118420', '86816', '3011429', '29970', '1051792', '1061015', '7045094']","['Stephan Delbos', 'Guillaume Apollinaire', 'Carolyn Forché', 'Allen Ginsberg', 'Václav Havel', 'David Lehman', 'Robert Lowell', 'Pablo Neruda', 'James Ragan', 'Donald Revell', 'Rainer Maria Rilke', 'Ed Sanders', 'Michal Ajvaz', 'Jaroslav Seifert', 'Gary Snyder', 'Mark Terrill', 'Jáchym Topol', 'Marina Tsvetaeva', 'Anne Waldman', 'Yevgeny Yevtushenko', 'Adam Zagajewski', 'Vítězslav Nezval', 'Jason Mashak', 'Louis Armand', 'Kateřina Rudčenková', 'Jane Kirwan', 'Vera Chase', 'Justin Quinn', 'Christopher Crawford', 'Gil Fleishman', 'Marcela Sulak', 'Muhammad Mahdi Al-Jawahiri', 'John Berryman', 'Ivan Blatný', 'Egon Bondy', 'Paul Celan', 'Bei Dao', 'Lawrence Ferlinghetti', 'Vera Weislitzova', 'Nâzım Hikmet Ran', 'David   Shapiro']","['4.44', '3.85', '4.20', '4.04', '4.08', '3.75', '4.06', '4.31', '4.20', '4.08', '4.29', '3.90', '3.79', '3.87', '4.18', '3.91', '3.69', '4.28', '4.08', '3.92', '4.23', '3.86', '4.31', '3.69', '3.91', '4.04', '4.02', '3.53', '4.30', '4.30', '3.66', '4.33', '4.15', '3.95', '3.89', '4.34', '4.13', '4.16', '4.19', '4.35', '3.37']",[],[],[],"Prague has been the central, if unlikely, subject of some of the most important poetry of the last century. This diverse anthology gathers and translates into English 120 poems from 16 languages written between 1888 and 2010 which describe Prague or an event that took place there, and places those poems in a literary and historical context with a detailed critical introduction, a Prague poetry map and photos of the locations depicted. Intended as a poetic guidebook to the city of Prague for those who live on both sides of its borders, From a Terrace in Prague highlights the effects that literary movements, political beliefs and historic events have had on poets' descriptions of the city."
16055271,304182,Město v slzách,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497908228l/16055271._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497908228l/16055271._SX50_.jpg,,,,cze,,false,21840569,1,40,89,24,0,5:4|4:13|3:4|2:2|1:1|total:24,,,,3.71,24,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
30364537,304182,Deštník z Picadilly,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465258306l/30364537._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465258306l/30364537._SX50_.jpg,2013,,,cze,Vyšehrad,false,50874872,5,34,86,22,2,5:9|4:6|3:4|2:2|1:1|total:22,1979,,,3.91,10,1,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
35262265,304182,Býti básníkem,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496075087l/35262265._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496075087l/35262265._SY75_.jpg,1984,,,cze,,false,56615532,1,28,75,19,1,5:8|4:4|3:5|2:2|1:0|total:19,,,,3.95,19,1,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
2052673,304182,Ruce Venušiny,0887811388,9780887811388,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,,,cze,Sixty-Eight Publishers,false,2057731,3,30,74,20,2,5:5|4:6|3:7|2:2|1:0|total:20,1936,,,3.70,15,1,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],"Reprezentativní výbor z poezie, ilustrovaný fotografiemi z tvorby básníkova přítele."
30353487,304182,Šel malíř chudě do světa,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465113681l/30353487._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465113681l/30353487._SX50_.jpg,1952,,,cze,Československý spisovatel,false,50859467,2,25,63,17,3,5:5|4:4|3:6|2:2|1:0|total:17,1949,,,3.71,15,2,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
13337543,304182,Světlem oděná,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423783443l/13337543._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423783443l/13337543._SY75_.jpg,1962,,,cze,Československý spisovatel,false,18545869,2,34,60,16,0,5:5|4:5|3:3|2:3|1:0|total:16,1940,,,3.75,15,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
19212455,304182,Halleyova kometa,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1967,,,cze,SNDK - Státní nakladatelství dětské knihy,false,27256353,3,24,58,15,0,5:5|4:4|3:5|2:1|1:0|total:15,1967,,,3.87,13,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
23164730,304182,Chlapec a hvězdy,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410087346l/23164730._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410087346l/23164730._SX50_.jpg,1956,,,cze,Československý spisovatel,false,42710816,2,23,56,15,0,5:3|4:5|3:7|2:0|1:0|total:15,1956,1,1,3.73,9,0,"['304182', '608146']","['Jaroslav Seifert', 'Josef Lada']","['3.87', '4.08']",[],[],[],Verše k obrazům Josefa Lady
3010638,304182,Early Poetry of Jaroslav Seifert,0810113848,9780810113848,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,5,20,,Northwestern University Press,false,3041170,2,52,51,12,2,5:4|4:7|3:1|2:0|1:0|total:12,1997,5,20,4.25,11,2,['304182'],['Jaroslav Seifert'],['3.87'],['2078081'],['Dana Loewy'],['3.58'],"Nobel Prize winner Jaroslav Seifert's poetry is strongly situated within the Czech literary tradition of Poetism, which evolved into a playful, light-hearted refuge from world history while maintaining an edge of social consciousness. Called ""a living symbol of the continuity in modern Czech literature"" by Václav Havel, Seifert remains a towering figure in European poetry more than a decade after his death.<br />"
16055274,304182,Poštovní holub,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,cze,,false,21840574,1,18,45,12,0,5:3|4:6|3:1|2:1|1:1|total:12,,,,3.75,12,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
31277923,304182,Polibek na cestu,2200365,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469637597l/31277923._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469637597l/31277923._SX50_.jpg,1965,,,cze,Československý spisovatel,false,51934305,1,13,45,10,0,5:7|4:1|3:2|2:0|1:0|total:10,,,,4.50,10,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],"Verše vybrané z lyriky básníka, jenž sám o sobě vyznal, že ""láska k velikým věcem srdce unáší"" a ve svých básních shrnul všechno bohatství, štěstí i bolest lidského citu."
4111824,304182,Granta 14: Autobiography,0140075674,9780140075670,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1999,5,1,eng,Granta Books,false,4158999,1,42,44,11,1,5:3|4:5|3:3|2:0|1:0|total:11,1999,5,,4.00,11,1,"['2606', '16870582', '6534426', '35099', '12555', '61199', '304182', '210188', '85342', '4436', '7363', '39738', '50189', '7728', '761814', '16870583', '241374']","['Bill Buford', 'Eddie Liminov', 'William Boyd', 'Josef Škvorecký', 'Reinaldo Arenas', 'Christian McEwen', 'Jaroslav Seifert', 'Adam Mars-Jones', 'Bernard Crick', 'Norman Lewis', 'Raymond Carver', 'Beryl Bainbridge', 'Michael Ignatieff', 'Doris Lessing', 'Vladimir Rybakov', 'Breyten Bretenbach', 'Todd McEwen']","['3.94', '4.00', '3.93', '3.92', '4.07', '4.04', '3.87', '3.70', '4.09', '4.00', '4.20', '3.52', '3.76', '3.65', '3.84', '4.00', '3.73']",[],[],[],"The Americans call photography an art. But what I’m doing is not art. How can I talk of these photographs as art objects? These are real people. I have inhaled their suffering. Don McCullin, A Life in Photographs. Plus: Beryl Bainbridge, Michael Ignatieff, William Boyd, Eddie Limonov, Todd McEwen, Jaroslav Seifert, Doris Lessing, and others."
30118570,304182,Jaro sbohem,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462479941l/30118570._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462479941l/30118570._SY75_.jpg,1942,,,cze,Fr. Borový,false,50543679,2,16,44,11,0,5:4|4:4|3:2|2:1|1:0|total:11,1937,,,4.00,11,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
16055284,304182,Slavík zpívá špatně,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,cze,,false,21840588,2,20,44,14,1,5:1|4:4|3:6|2:2|1:1|total:14,,,,3.14,13,1,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
10865013,304182,"Dílo Jaroslava Seiferta, sv. 10: Koncert na ostrově - Halleyova kometa - Odlévání zvonů - Dodatky [1966-1970]",8073040581,9788073040581,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,,,cze,Akropolis,false,15780183,1,23,40,11,2,5:3|4:4|3:1|2:3|1:0|total:11,2004,,,3.64,11,2,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],"Desátý svazek Díla Jaroslava Seiferta mapuje autorovu básnickou tvorbu druhé poloviny šedesátých let. Páteř edice tvoří Seifertovy sbírky Koncert na ostrově (1965), Halleyova kometa (1967) a Odlévání zvonů (1967), k nimž je – podobně jako je tomu i u dalších svazků Díla J. Seiferta – připojeno různočtení, jež zpracovává bohatý rukopisný a strojopisný materiál, časopisecké otisky i další vydání těchto tří sbírek. V samostatném oddílu Básní do sbírek nezařazených jsou zcela poprvé otištěny básně z rukopisů, dále pouze časopisecky publikované básně a verše uveřejněné anonymně v srpnu 1968."
18457461,304182,Samá láska,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378331072l/18457461._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378331072l/18457461._SX50_.jpg,1923,,,,Večernice,false,26107181,2,16,39,11,0,5:4|4:1|3:4|2:1|1:1|total:11,1923,1,1,3.55,11,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
19479994,304182,Zhasněte světla,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423781500l/19479994._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423781500l/19479994._SY75_.jpg,1939,,,cze,Melantrich,false,27564811,1,22,39,10,0,5:3|4:3|3:4|2:0|1:0|total:10,1939,1,1,3.90,10,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
25484933,304182,Odlévání zvonů,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430836279l/25484933._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430836279l/25484933._SX50_.jpg,1967,,,cze,Československý spisovatel,false,45258564,1,11,39,9,0,5:5|4:2|3:2|2:0|1:0|total:9,1967,1,1,4.33,9,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
6105458,304182,Přilba hlíny,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1945,,,,Práce,false,6282794,1,14,38,9,0,5:3|4:5|3:1|2:0|1:0|total:9,1945,,,4.22,9,0,['304182'],['Jaroslav Seifert'],['3.87'],[],[],[],
894188,304182,8 Days: An Elegy for Thomas Garrigue Masaryk/Osm dni,0930370287,9780930370282,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312173534l/894188._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312173534l/894188._SX50_.jpg,,,,eng,,false,879393,1,14,35,8,1,5:3|4:5|3:0|2:0|1:0|total:8,1937,,,4.38,8,1,['304182'],['Jaroslav Seifert'],['3.87'],"['459070', '382400']","['Paul Jagasich', ""Tom O'Grady""]","['3.71', '3.72']","When Mr. Seifert won the Nobel Prize, he told us that the book he wished most to see in print in English was <i>Eight Days</i>, and he declined his <i>The Casting Of Bells</i> royalties for that purpose.<br /><br />Mr. Seifert won the Nobel Prize a year after we published his <i>The Casting Of Bells</i>.<br /><br />""Endowed with freshness, sensuality, and rich in inventiveness, his work provides a liberating image of the indomitable spirit and versatility of man."" <br />--The Nobel Committee"
2052675,304182,A Wreath of Sonnets/Věnec sonetů: An Authorized Poetic Rendition,0887811892,9780887811890,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531051148l/2052675._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531051148l/2052675._SX50_.jpg,,,,eng,,false,2057733,1,15,29,7,1,5:3|4:2|3:2|2:0|1:0|total:7,1952,3,,4.14,7,1,"['304182', '5092851']","['Jaroslav Seifert', 'Jan Kristofori']","['3.87', '4.42']","['5092848', '1011842', '5092850']","['J.K. Klement', 'Jan Křesadlo', 'Eva Stucke']","['4.14', '4.10', '4.14']",
