id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
894154,121407,Red Sorghum,0140168540,9780140168549,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945265l/894154._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327945265l/894154._SY75_.jpg,1994,4,1,eng,Penguin Books,false,460549,81,17128,19853,5299,654,5:1342|4:2031|3:1338|2:417|1:171|total:5299,1987,,,3.75,3527,384,['121407'],['Mo Yan'],['3.72'],['203371'],['Howard Goldblatt'],['3.75'],"Spanning three generations, this novel of family and myth is told through a series of flashbacks that depict events of staggering horror set against a landscape of gemlike beauty, as the Chinese battle both Japanese invaders and each other in the turbulent 1930s. A legend in China, where it won major literary awards and inspired an Oscar-nominated film, <i>Red Sorghum</i> is a book in which fable and history collide to produce fiction that is entirely new and unforgettable."
15735511,121407,L'uomo che allevava i gatti e altri racconti,8806140469,9788806140465,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349960659l/15735511._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349960659l/15735511._SY75_.jpg,1997,,,ita,Einaudi,false,21418398,5,395,688,177,21,5:44|4:82|3:40|2:9|1:2|total:177,1988,8,2,3.89,111,10,"['121407', '4820544']","['Mo Yan', 'Maria Rita Masci']","['3.72', '3.76']","['6553499', '6553500', '4550030']","['Daniele Turc-Crisà', 'Lara Marconi', 'Giorgio Trentin']","['3.93', '3.93', '3.84']","Figli di contadini, orfani, piccole creature senza famiglia: i bambini di Mo Yan sono al tempo stesso creature in carne e ossa e piccoli fantasmi che visitano le case degli adulti e le vaste campagne della Cina rurale. Anche se spesso sono schiacciati dalla violenza degli adulti e dalla brutalità delle regole sociali, e sembrano sempre sul punto di soccombere, conservano una loro leggerezza magica, una capacità di aprirsi dei varchi, delle linee di fuga, magari nel sogno e nella fantasia. La forza espressiva di questi racconti, che uniscono il realismo e la crudezza visionaria di ""Sorgo rosso"", sta nella loro capacità di dare rilievo drammatico allo scontro tra le due anime dell'uomo, quella misteriosa e incantata e quella miserabile e canagliesca."
17409509,121407,الحلم والأوباش,,9789774902086,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361616123l/17409509._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361616123l/17409509._SX50_.jpg,2013,,,ara,دار العين للنشر,false,24251819,2,478,620,184,50,5:31|4:44|3:79|2:22|1:8|total:184,1992,,,3.37,158,42,"['121407', '5308549']","['Mo Yan', 'محسن فرجاني']","['3.72', '3.40']",[],[],[],في عالم مويان الروائي، فإن الخلفية والحدث وفصول الكتابة وطبائع الشخصيات والتعيين الوصفي للبيئة، كل ذلك يتحول إلى سيرورة استجابة عفوية لأحاسيس ذاتية. الفرق بينه وبين باقي الكتاب يتمثل في عدم وقوفه طويلا أمام جذوره الثقافية القديمة يتأملها بلا نهاية، حرصًا على اكتشاف ونشر وتعميم طاقة الحياة المستمدة من الجدود الأقدمين، لذلك فهو يجعل من تاريخ حياة الذين مضوا منذ زمان بعيد، لحظة بينية تنقضي سريعا في حاضر من يتناولهم السرد؛ مما يخلق توترًا حادا بين الشخصية في القصة والراوي في الحكاية، ومن ثم فالوعي يمثل جسر انتقال، عبر الرؤية السحرية، بين الموتى والأحياء، بين الأولاد المعاقين والأبطال الراحلين؛ فيتخلّق عالم رابط بين نقيضين.
25640140,121407,Radish: China Penguin Special,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,45457165,4,469,605,197,44,5:20|4:54|3:61|2:44|1:18|total:197,2015,5,11,3.07,93,13,['121407'],['Mo Yan'],['3.72'],[],[],[],
487981,121407,The Columbia Anthology of Modern Chinese Literature,0231138415,9780231138413,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,1,1,eng,Columbia University Press,false,476254,5,400,446,105,6,5:46|4:42|3:14|2:3|1:0|total:105,1995,,,4.25,90,6,"['1351345', '203371', '5773912', '589037', '7509399', '4669112', '272559', '5773913', '5346250', '4449191', '1795259', '971296', '149049', '7812569', '8623268', '5773914', '5773915', '722078', '206544', '25708', '321663', '5773916', '1054259', '5773910', '121407', '3976026', '1061280', '3900286', '1113373', '5753087', '192095', '80637', '7258959', '5481722', '2737512', '346757', '5773918', '3462700', '5773919', '4833374', '5773920', '93509', '513404', '2130760', '5773921', '523870', '984644', '1046382', '5458838', '110226', '5506092']","['Joseph S.M. Lau', 'Howard Goldblatt', 'Ruowang Wang', 'Yingzhen Chen', 'Xun Lu', 'Pai Hsien-yung', 'Huang Chunming', 'Zhenhe Wang', '桐华 (Tong Hua)', 'Li Ang', 'Zengqi Wang', 'Wang Meng', 'Ba Jin', 'Chen Ruoxi', 'Xi Xi', 'Shaojun Ye', 'Yuan Qiongqiong', 'Li Rui', 'Xue Can', 'Gao Xingjian', 'Han Shaogong', 'Cun Chen', 'Heng Liu', 'Zhecun Shi', 'Mo Yan', 'Chu Tienwen', 'Dachun Zhang', 'Yu Dafu', 'Qingwen Zheng', 'Tie Ning', 'Yu Hua', 'Su Tong', 'Qiu Miaojin', 'Wang Anyi', 'Zhang Tianyi', 'Alai', 'Sue Chun', 'Xu Zhimo (徐志摩)', 'Yiduo Wen', 'Mao Dun', 'Jinfa Li', 'Lao She', 'Shen Congwen', 'Shuhua Ling', 'He Lai', 'Ding Ling', ""Cheng Ch'ing-Wen"", 'Zuxiang Wu', 'Xiao Hong', 'Eileen Chang', 'Wu Zhuoliu']","['4.21', '3.75', '4.22', '4.23', '3.96', '4.19', '4.05', '4.22', '4.26', '3.81', '4.22', '3.81', '3.83', '4.03', '4.14', '4.22', '4.20', '4.03', '4.22', '3.54', '3.96', '4.22', '4.16', '4.22', '3.72', '3.94', '4.22', '3.94', '4.22', '3.31', '4.10', '3.54', '3.80', '3.79', '4.13', '3.71', '4.22', '4.05', '4.22', '3.79', '4.22', '3.88', '3.97', '4.22', '4.22', '3.80', '4.15', '4.22', '4.22', '3.80', '3.94']",[],[],[],"<i>The Columbia Anthology of Modern Chinese Literature</i> has long been a definitive resource for Chinese literature in translation, offering a complete overview of twentieth-century writing from China, Taiwan, and Hong Kong, and making inroads into the twenty-first century as well. In this new edition Joseph S. M. Lau and Howard Goldblatt have selected fresh works from familiar authors and have augmented the collection with poetry, stories from the colonial period in Taiwan, literature by Tibetan authors, samplings from the People's Republic of China during the Cultural Revolution, stories by post-Mao authors Wang Anyi and Gao Xingjian, literature with a homosexual theme, and examples from the modern ""cruel youth"" movement. Lau and Goldblatt have also updated their notes and their biographies of featured writers and poets. Now fully up to date, this critical resource more than ever provides readers with a thorough introduction to Chinese society and culture."
8417238,121407,透明的红萝卜 [Tòumíng de hóng luóbo],9861733868,9789861733869,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,6,13,zho,Mai Tian/Tsai Fong Books,false,13279687,5,294,383,109,17,5:15|4:44|3:34|2:14|1:2|total:109,2000,,,3.51,20,0,['121407'],['Mo Yan'],['3.72'],[],[],[],《透明的红萝卜》主要内容：他看到了一幅奇特美丽的图画：光滑的铁砧子，泛着青幽的幽的光。泛着蓝幽幽光的铁砧子上，有一个金色的红萝卜。红萝卜的形状和大小都像一个大梨，还拖着一条长尾巴尾巴上的根根须须像金色的羊毛。红萝卜晶莹透明，玲珑剔透。
32931286,121407,Femeia cu buchetul de flori și alte povestiri,6067790920,9786067790924,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478687610l/32931286._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1478687610l/32931286._SY75_.jpg,2016,11,,rum,Humanitas Fiction,false,53550084,1,127,186,52,3,5:14|4:12|3:18|2:6|1:2|total:52,2016,11,,3.58,52,3,"['121407', '6999155']","['Mo Yan', 'Luminita Balan']","['3.72', '3.65']",[],[],[],"Această selecție de zece povestiri reflectă diversitatea de teme și abordări stilistice din proza scurtă a lui Mo Yan. Unele, precum<i> Frumoasa care trecea bulevardul Chang’an călare pe măgar</i> și <i>Femeia cu buchetul de flori</i>, amintesc de tradiția prozei fantastice chineze și aduc în prim-plan personaje feminine, a căror frumusețe exercită o fascinație irezistibilă, la granița supranaturalului. Altele, cum ar fi <i>Bătălia din pădurea plopilor albi </i>sau <i>Cătușe la degetele mari</i>, au în centru secvențe din realitate văzute prin ochii copiilor. „O copilărie nefericită este o sursa de inspirație inepuizabilă“, consideră Mo Yan, iar micii protagoniști îi oferă ocazia de a povesti, pendulând între realismul brutal și poezia sclipitoare, despre indiferență și cruzime. Elementele autobiografice își găsesc locul în <i>Bumbacul imaculat</i>, dupa cum mărturisește autorul însuși.<br /><br />„Poate că nu sunt un scriitor cu o formație teoretică solidă, dar am o imaginație fertilă. […] Pot depăna o poveste încântătoare, și această măiestrie am deprins-o de la bunicii mei, dar și de la numeroșii povestitori care se perindau prin sat.“ (Mo YAN)"
12154885,121407,Les Treize Pas,2020635194,9782020635196,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928031l/12154885._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928031l/12154885._SY75_.jpg,2004,2,16,,Points,false,17125657,12,177,184,51,9,5:15|4:16|3:9|2:7|1:4|total:51,1989,,,3.61,5,0,['121407'],['Mo Yan'],['3.72'],[],[],[],
4181109,121407,Explosions And Other Stories,9627255106,9789627255109,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395782293l/4181109._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395782293l/4181109._SY75_.jpg,,,,,,false,319175,2,121,141,32,2,5:19|4:9|3:3|2:0|1:1|total:32,,,,4.41,32,2,['121407'],['Mo Yan'],['3.72'],[],[],[],
12155311,121407,La Carte au trésor,2877308723,9782877308724,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356787242l/12155311._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356787242l/12155311._SY75_.jpg,2006,9,28,fre,Philippe Picquier,false,10643486,5,81,139,40,4,5:7|4:14|3:12|2:5|1:2|total:40,2004,1,29,3.48,23,2,['121407'],['Mo Yan'],['3.72'],['3387192'],['Antoine Ferragne'],['3.70'],"Le simple monologue d’un fâcheux rencontré sur le boulevard est le point de départ de ce récit éblouissant de virtuosité. Entraîné malgré lui dans un restaurant de raviolis, notre héros n’aura pas d’autre issue que de subir la conversation volubile et le verbiage désopilant d’un ami d’enfance. De fil en aiguille et du coq à l’âne, la conversation du bavard prend le tour d’une logorrhée où s’entremêlent brèves de comptoir et considérations métaphysiques. Le lecteur déconcerté par cet étrange banquet le sera encore davantage quand il apprendra qu’une moustache de tigre ans un ravioli peut conduire presque naturellement à un précieux grimoire.<br />Un récit tourbillonnant et fantasque dont la bouffonnerie et les éclats de rire sont un délice pour le lecteur pris au piège."
41957741,121407,Las baladas del ajo,8494139118,9788494139116,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,65471362,1,50,111,27,3,5:14|4:6|3:3|2:4|1:0|total:27,,,,4.11,27,3,['121407'],['Mo Yan'],['3.72'],[],[],[],
45161889,121407,"Un lup atârna în cais, cu capul în jos: povestiri",6067794888,9786067794885,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555520937l/45161889._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555520937l/45161889._SY75_.jpg,2019,4,,rum,Humanitas Fiction,false,69857574,1,89,107,31,2,5:2|4:14|3:11|2:4|1:0|total:31,2019,4,,3.45,31,2,"['121407', '6999155']","['Mo Yan', 'Luminita Balan']","['3.72', '3.65']",[],[],[],"De la publicarea, la începutul anilor ’80, a primei sale proze până în prezent, Mo Yan a scris peste optzeci de povestiri și nuvele. Înzestrat cu o măiestrie aparte în mânuirea tehnicilor narative și a limbajului eliberat de tiparele convenționale, el construiește o proză inconfundabilă în care îmbină tradiția cu modernitatea, realul cu elementele fantastice, satira cu lirismul, critica socială cu absurdul.<br /><br />Scrise într-un interval de treizeci de ani, între 1986 și 2006, cele șapte­sprezece povestiri reunite în volumul <i>Un lup atârna în cais, cu capul în jos</i> se inspiră din episoade emblematice din istoria modernă a Chinei, cum ar fi Războiul de Eliberare Antijaponez și Revoluția Culturală, ce și-a pus definitoriu amprenta asupra operei lui Mo Yan, dar și din evenimente aparținând istoriei recente, în care politica nașterii unui singur copil generează adevărate drame și determină apariția unor strategii cu totul neobișnuite de supraviețuire. Povestirile cu accente critice la adre­sa societății chineze aduc în prim-plan o lume plină de personaje și întâmplări aflate la granița dintre real și fantastic, burlesc și tragic. Nu lipsesc nici cele în care realitatea dură este văzută prin ochii copiilor, iar aceștia ajung să cunoască dragostea, viața și moartea în urma unor experiențe zguduitoare. Iubirea i se dezvăluie uneori copilului inocent într-un mod frust, într-o lume dominată de prejudecăți, indiferență și cinism."
