id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
17125,19771050,One Day in the Life of Ivan Denisovich,0374529523,9780374529529,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574794164l/17125._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574794164l/17125._SY75_.jpg,2005,3,16,eng,"Farrar, Straus and Giroux",false,838042,328,140143,354916,89853,4012,5:29008|4:35100|3:19560|2:4611|1:1574|total:89853,1962,11,,3.95,74555,2573,"['19771050', '192496']","['Aleksandr Solzhenitsyn', 'H.T. Willetts']","['4.05', '3.95']",[],[],[],"<b>The only English translation authorized by Aleksandr Solzhenitsyn </b><br /><br />First published in the Soviet journal <i>Novy Mir</i> in 1962, <i>One Day in the Life of Ivan Denisovich</i> stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, <i>One Day in the Life of Ivan Denisovich</i> is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""--Harrison Salisbury<br /><br />This unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available, and fully captures the power and beauty of the original Russian."
216514,19771050,We Never Make Mistakes: Two Short Novels,039331474X,9780393314748,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,4,17,,W. W. Norton  Company,false,66753516,18,1113,1834,468,50,5:116|4:223|3:107|2:19|1:3|total:468,,,,3.92,393,35,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['941358'],['Paul W. Blackstock'],['3.93'],"In ""An Incident at Krechetovka Station,"" a Red Army lieutenant is confronted by a disturbing straggler soldier and must decide what to do with him. ""Matryona's House"" is the tale of an old peasant woman, whose tenacious struggle against cold, hunger, and greedy relatives is described by a young man who only understands her after her death."
10511023,19771050,Apricot Jam: And Other Stories,1582436029,9781582436029,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328744953l/10511023._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328744953l/10511023._SX50_.jpg,2011,8,30,eng,Counterpoint,false,15416964,22,1384,1447,394,57,5:85|4:151|3:110|2:40|1:8|total:394,2008,,,3.67,274,35,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],"['5639872', '5135891']","['Kenneth Lantz', 'Stephan Solzhenitsyn']","['3.96', '3.61']","After years of living in exile, Aleksandr Solzhenitsyn returned to Russia in 1994 and published a series of eight powerfully paired stories. These groundbreaking stories— interconnected and juxtaposed using an experimental method Solzhenitsyn referred to as “binary”—join Solzhenitsyn’s already available work as some of the most powerful literature of the twentieth century.<br /><br />With Soviet and post-Soviet life as their focus, they weave and shift inside their shared setting, illuminating the Russian experience under the Soviet regime. In “The Upcoming Generation,” a professor promotes a dull but proletarian student purely out of good will. Years later, the same professor finds himself arrested and, in a striking twist of fate, his student becomes his interrogator. In “Nastenka,” two young women with the same name lead routine, ordered lives—until the Revolution exacts radical change on them both.<br /><br />The most eloquent and acclaimed opponent of government oppression, Solzhenitsyn was awarded the Nobel Prize in Literature in 1970, and his work continues to receive international acclaim. Available for the first time in English, <i>Apricot Jam: And Other Stories</i> is a striking example of Solzhenitsyn’s singular style and only further solidifies his place as a true literary giant.<br />"
2312811,19771050,For The Good Of The Cause,0722180152,9780722180150,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,2319236,14,711,1152,325,29,5:54|4:102|3:143|2:19|1:7|total:325,1964,,,3.54,281,23,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
219822,19771050,Warning to the West,0374513341,9780374513344,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1986,9,1,eng,Hill & Wang,false,3077236,11,1032,1063,257,21,5:110|4:90|3:43|2:10|1:4|total:257,1976,10,1,4.14,246,20,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],"['323168', '17110655']","['Harris L. Coulter', 'Nataly Martin']","['4.12', '4.12']","Alexander Solzhenitsyn's <i>Warning to the West </i>includes the texts of the Nobel Prize-winning author's three speeches in the United States in the summer of 1975, his first major public addresses since his expulsion from the Soviet Union in 1974: on June 30 and July 9 to trade-union leaders of the AFL-CIO in Washington, D.C., and in New York City, and on July 15 to the United States Congress; and also the texts of his BBC interview and radio speech, which sparked widespread public controversy when they were aired in London in March 1976.<br /><br />Solzhenitsyn's outspoken criticism of the West's growing weakness and complacency and his belief that Russia's growing strength will enable her to establish supremacy over the West without risk of a nucelar holocaust are expressed with the moral authority of a great novelist and historian.<br /><br />""Solzhenitsyn mounts a public indictment of the supine inattention of the West that rings like the blows of the hammer with which Luther nailed his manifesto to the doors at Wittenberg.""--<i>Times Literary Supplement</i>"
18490558,19771050,November 1916 (The Red Wheel #2),0374534705,9780374534707,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396827964l/18490558._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396827964l/18490558._SX50_.jpg,2014,8,19,,"Farrar, Straus and Giroux",false,230918,11,1160,852,210,23,5:91|4:62|3:40|2:12|1:5|total:210,1985,6,5,4.06,91,14,"['19771050', '192496']","['Aleksandr Solzhenitsyn', 'H.T. Willetts']","['4.05', '3.95']",[],[],[],"<b>In time for the centenary of the beginning of the Russian Revolution, a new edition of the Russian Nobelist's major work</b><br /><br />The month of November 1916 in Russia was outwardly quiet—the proverbial calm before the storm—but beneath the placid surface, society seethed fiercely.<br /> In Petrograd, as St. Petersburg was then known, luxury-store windows are still brightly lit; the Duma debates the monarchy, the course of war, and clashing paths to reform; the workers in the miserable munitions factories veer toward sedition.<br /> At the front, all is stalemate, while in the countryside sullen anxiety among hard-pressed farmers is rapidly replacing patriotism.<br /> In Zurich, Lenin, with the smallest of all revolutionary groups, plots his sinister logistical miracle.<br /><br />With masterly and moving empathy, through the eyes of both historical and fictional protagonists, Solzhenitsyn unforgettably transports us to that time and place—the last of pre-Soviet Russia.<br /><i>November 1916</i> is the second volume in Aleksandr Solzhenitsyn's multipart work, <i>The Red Wheel</i>. This volume concentrates on a historical turning point, or ""knot,"" as the wheel rolls inexorably toward revolution."
9669052,19771050,Una giornata di Ivan Denisovič - La casa di Matrjona - Alla stazione,8806177354,9788806177355,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327913016l/9669052._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327913016l/9669052._SY75_.jpg,2006,6,1,ita,Einaudi,false,42896151,13,457,800,213,15,5:43|4:92|3:61|2:17|1:0|total:213,1963,,,3.76,148,10,"['19771050', '11308388', '5619051']","['Aleksandr Solzhenitsyn', 'Aleksandr Isaevič Solženicyn', 'Piero Sinatti']","['4.05', '3.81', '3.70']","['2871227', '1182791', '5149701']","['Raffaello Uboldi', 'Vittorio Strada', 'Clara Coïsson']","['3.77', '4.11', '3.74']","<i>Una giornata di Ivan Denisovič</i> è il libro che ha rivelato al mondo lo scrittore Solzenicyn. In un'opera di classica sobrietà, che per nitore espressivo rimanda alle dostoevskiane <i>Memorie di una casa morta</i>, viene descritta per la prima volta una giornata qualsiasi in un campo di lavoro staliniano dove è rinchiuso un uomo semplice, Ivan. La stessa autonomia poetica si ritrova nei due racconti successivi. Protagonista della <i>Casa di Matrjona</i> è una povera contadina, presso la quale va a vivere un ex deportato, che mitemente subisce ripetute ingiustizie. <i>Alla stazione di Krecetovka</i> illustra invece la parabola morale di un «uomo sovietico» nel quale il germe della sospettosità staliniana s'è tanto radicato da portarlo a commettere una mostruosa ingiustizia."
824531,19771050,The Oak And The Calf: Sketches Of Literary Life In The Soviet Union,0002626039,9780002626033,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520546642l/824531._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520546642l/824531._SX50_.jpg,,,,,,false,209622,23,545,760,189,15,5:61|4:80|3:41|2:5|1:2|total:189,1975,,,4.02,142,10,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],"In this autobiographical work, Solzhenitsyn tells of his ten-year war to outwit Russia's rulers and get his works published in his own country."
295017,19771050,Lenin in Zürich,0553100793,9780553100792,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504727080l/295017._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1504727080l/295017._SX50_.jpg,1977,2,1,eng,Wilcox & Follett Book Co,false,1453287,17,598,749,208,27,5:42|4:74|3:64|2:23|1:5|total:208,1973,2,4,3.60,166,20,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],"Separate publication of chapters on Vladimir Lenin, none of them published before this point, from The Red Wheel."
15840135,19771050,Casa Matrionei. Incident la gara din Kocetovka,9993113164,9789993113164,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345580060l/15840135._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345580060l/15840135._SY75_.jpg,2010,,,rum,Univers,false,66753635,15,344,719,194,17,5:39|4:76|3:63|2:15|1:1|total:194,,,,3.71,55,2,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['6477011'],['Ana Mihăilescu'],['3.67'],
13141978,19771050,Cancer Ward (Part 2),,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560945381l/13141978._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560945381l/13141978._SX50_.jpg,,,,,,false,18319133,11,379,661,152,8,5:86|4:43|3:15|2:6|1:2|total:152,1968,,,4.35,76,2,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],"['7337782', '866699']","['Eugen Uricariu', 'Maria Dinescu']","['4.35', '4.35']",
8031489,19771050,"Pavilionul canceroşilor, Vol. 1",,9781602571792,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486478882l/8031489._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486478882l/8031489._SY75_.jpg,2009,,,rum,Univers,false,46006510,11,353,629,147,7,5:68|4:57|3:18|2:3|1:1|total:147,1968,,,4.28,86,4,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],"['866699', '7337782']","['Maria Dinescu', 'Eugen Uricariu']","['4.35', '4.35']","Propriul trup te trimite în anticamera morţii. Cum poţi fi mai tare decât tine însuţi? Cum să nu te laşi învins de cei care te condamnă nevinovat la moarte civilă? În Pavilionul canceroşilor, singurul care încearcă să găsească răspuns acestor întrebări e Oleg, protagonistul romanului. Deportat într‑un lagăr de concentrare, ca şi Soljeniţîn însuşi în anii ’50, şi bolnav de cancer Oleg crede cu toată fiinţa lui că în om există o putere ascunsă de a ieşi învingător din toate încercările la care e supus. Singura condiţie e să nu te îndoieşti nicio clipă de această forţă şi să o ajuţi, cu libertatea gândului, să iasă la iveală atunci când totul pare pierdut."
824535,19771050,"A World Split Apart: Commencement Address Delivered At Harvard University, June 8, 1978",0060906901,9780060906900,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,786496,3,310,616,141,22,5:82|4:39|3:13|2:4|1:3|total:141,1978,1,1,4.37,127,17,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
7695302,19771050,Iubeşte revoluţia!,,9789731244310,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265352999l/7695302._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265352999l/7695302._SX50_.jpg,2009,,,rum,ART,false,10374961,8,302,584,168,10,5:29|4:52|3:62|2:20|1:5|total:168,1948,,,3.48,91,5,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['6541593'],['Vadim Vasiliu'],['3.55'],"""Iubeşte revoluţia!"" este, înainte de toate, o operă neterminată. Cine are chef să citească un roman căruia nu-i ştim sfarşitul? Şi de ce ar fi publicată o operă abandonată de autorul său? Volumul de faţă este un roman scris de Soljeniţîn la 23 de ani, la sfarşitul anilor '40, înainte de a fi trimis în lagăr, fiind o primă dovadă a geniului care va excela printr-o manuire abilă a destinelor individuale şi colective, o impresionantă forţă poetică, simţ al detaliului, ironie subtilă.<br /><br />Nerjin, eroul romanului şi un alter ego idealist al autorului, este un tânăr matematician însetat de cunoaştere şi atras de literatură şi de istorie. Puternic instalat în utopismul vârstei sale, face tot posibilul pentru a servi regimul sovietic. El, intelectualul puţin naiv, câteodată prostănac, întotdeauna curajos, înfruntă frigul, foamea, batjocura şi pedepsele nedrepte, cu speranţa că într-o zi va fi primit în rândurile artileriei. În faţa realităţii crude, pe care o dezbate alături de colegi, Nerjin închide ochii. Nimic nu este întâmplător, toată suferinţa trebuie să aibă un sens, crede el. Nici o nedreptate nu-i poate anihila avântul revoluţionar.<br /><br />""Iubeşte revoluţia!"" este autoportretul unui Soljeniţîn încă exaltat şi candid, din ce în ce mai lucid, însă fidel convingerilor sale – un visător ce refuză realitatea."
1785300,19771050,Nobel Lecture,0374510636,9780374510633,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268868290l/1785300._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268868290l/1785300._SX50_.jpg,1973,1,1,,Farrar Straus Giroux,false,721927,10,313,555,130,29,5:67|4:39|3:19|2:2|1:3|total:130,1971,1,1,4.27,97,21,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],['2354576'],['F.D. Reeve'],['4.08'],
2638707,19771050,The Love Girl And The Innocent,0140481095,9780140481099,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,2663432,15,384,524,146,10,5:27|4:51|3:50|2:17|1:1|total:146,1969,,,3.59,101,7,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
428707,19771050,Candle in the Wind,0370102657,9780370102658,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1270812443l/428707._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1270812443l/428707._SY75_.jpg,,,,,,false,1022857,9,302,423,119,11,5:25|4:33|3:47|2:11|1:3|total:119,1960,,,3.55,111,9,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
824534,19771050,Letter to the Soviet Leaders,0060139137,9780060139131,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354353241l/824534._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354353241l/824534._SX50_.jpg,,,,,,false,810305,6,238,356,92,12,5:31|4:30|3:20|2:10|1:1|total:92,1974,4,1,3.87,76,9,['19771050'],['Aleksandr Solzhenitsyn'],['4.05'],[],[],[],
