id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1920477,39087,Popol-Vuh,950036252X,9789500362528,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,,,spa,Losada,false,1922629,158,9579,16270,4327,284,5:1219|4:1441|3:1205|2:334|1:128|total:4327,1550,,,3.76,7,2,['5158478'],['Anonymous'],['4.15'],['39087'],['Miguel Ángel Asturias'],['3.87'],"El Popol-Vuh (que puede traducirse —popol: comunidad, consejo; vuh: libro— por Libro del Consejo, o de la Comunidad) fue en su origen pintura, memoria, palabra. Con esa forma de tradición oral se conserva hasta mediados del siglo XVI, época en que vuelve a ser escrito por indígena, antiguo sacerdote quizá, en lengua quiché pero con caracteres latinos. Este manuscrito constituye el verdadero original del Popol-Vuh y llega a manos de fray Francisco Ximénez, cura párroco de un pueblecito guatemalteco, a principios del siglo XVIII. La posteridad nunca agradecerá bastante al padre Ximénez el haber no sólo traducido al castellano el original quiché sino también el haber copiado en columnas paralelas el texto indígena. Para dar un testimonio indiscutible de la autenticidad del manuscrito, preservó de ese modo un original que se habría perdido fácilmente. De las más de treinta versiones a todos los idiomas realizados posteriormente, la más famosa es la que bajo la dirección del profesor Georges Raynaud —quien dedicó cuatro décadas al estudio de la lengua y civilización quiché— realizaron dos de sus alumnos de la Escuela de Altos Estudios de París: el mexicano González de Mendoza y el guatemalteco Miguel Ángel Asturias, reciente premio Nobel de Literatura."
210499,39087,Weekend In Guatemala,3858690252,9783858690258,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1983,,,,Rotpunktverlag,false,1922640,22,343,442,120,10,5:28|4:41|3:37|2:13|1:1|total:120,1956,,,3.68,76,5,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],"Week-end na Guatemala descreve a invasão desse pequeno país, em 1954, quando se tentava estabelecer um projeto popular. O governo estado-unidense, com financiamento próprio e da American Fruit, não querendo intervir diretamente, promoveu o recrutamento em massa da escória social em vários países latino-americanos, assolados pelo desemprego e pela miséria, para formar um exército de mercenários. A elite econômica e setores da pequena burguesia guatemalteca forneceram a base social de sustentação interna da agressão, armando o palco para a tragédia."
1373622,39087,چشمان بازمانده در گور,,9789643115410,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441254881l/1373622._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441254881l/1373622._SY75_.jpg,2007,,,per,ققنوس,false,1363505,16,311,324,85,16,5:26|4:30|3:19|2:7|1:3|total:85,1960,,,3.81,40,2,['39087'],['Miguel Ángel Asturias'],['3.87'],['966015'],['سروش حبیبی'],['4.00'],
25919376,39087,Bağban,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437037086l/25919376._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437037086l/25919376._SY75_.jpg,,,,aze,,false,45809231,3,127,238,64,6,5:10|4:31|3:19|2:3|1:1|total:64,,,,3.72,2,0,"['6989', '36913', '18317', '5217', '14167341', '7702', '3535', '89330', '1455', '957894', '8875', '2147', '44202', '585', '39087', '13450', '4026', '11563']","['Rudyard Kipling', 'Rabindranath Tagore', 'Knut Hamsun', 'George Bernard Shaw', 'Ivan Alekseyevich Bunin', 'Luigi Pirandello', 'William Faulkner', 'Pär Lagerkvist', 'Ernest Hemingway', 'Albert Camus', 'Halldór Laxness', 'Ivo Andrić', 'Mikhail Sholokhov', 'John Steinbeck', 'Miguel Ángel Asturias', 'Gabriel García Márquez', 'Pablo Neruda', 'Joseph Brodsky']","['3.93', '4.13', '4.00', '3.91', '4.05', '3.96', '3.85', '3.80', '3.83', '4.00', '3.97', '4.31', '4.08', '3.93', '3.87', '3.97', '4.31', '4.25']",[],[],[],"<i>The Gardener</i> is a short story by Rudyard Kipling, first published in <i>McCall’s Magazine</i>, April 1925."
1002365,39087,"Elsewhere: Tales of Fantasy (Elsewhere, #1)",0441204031,9780441204038,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564685957l/1002365._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564685957l/1002365._SY75_.jpg,1982,9,1,eng,Ace Books,false,15646336,1,202,147,37,3,5:12|4:15|3:7|2:3|1:0|total:37,1981,9,,3.97,37,3,"['46137', '223805', '52074', '4634139', '29963', '16142', '15188', '5989', '8591', '2178356', '328601', '2743915', '19425264', '242113', '481146', '874602', '48325', '11065', '329782', '11889', '4020322', '698250', '39087', '255944', '130704', '274668', '16939', '3012988', '10765', '34872', '989968']","['Terri Windling', 'Mark Alan Arnold', 'John Crowley', 'Gillian Fitzgerald', 'W.B. Yeats', 'Evangeline Walton', 'Pat Murphy', 'Jane Yolen', 'Janny Wurts', 'Antanas Vaičiulaitis', 'Alastair Reid', 'Gabriel Garcia', 'Masao Takiguchi', 'Nicholas Stuart Gray', 'John Gardner', 'Ursula K. Le Guin', 'Jessica Amanda Salmonson', 'Andrew J. Offutt', 'Austin Tappan Wright', 'Ellen Kushner', 'John Alfred Taylor', 'M. Lucie Chin', 'Miguel Ángel Asturias', 'Harold Monro', 'Rudy Rucker', 'W.S. Gilbert', 'Michael Moorcock', 'Robert Graves', 'M. John Harrison', 'William Kotzwinkle', 'C.J. Cherryh']","['3.90', '4.18', '3.83', '3.68', '4.16', '3.98', '3.90', '3.96', '4.19', '3.31', '4.38', '4.13', '3.97', '4.05', '3.80', '4.05', '3.75', '3.88', '4.27', '3.84', '3.83', '4.19', '3.87', '3.96', '3.82', '3.94', '3.94', '4.12', '3.78', '4.01', '3.99']",[],[],[],Contents:<br /><br />The Green Child by John Crowley<br />Pooka's Bridge by Gillian Fitzgerald<br />The Hosting of the Sidhe by William Butler Yeats<br />The Judgement of St. Yves by Evangeline Walton<br />Sweetly the Waves Call to Me by Pat Murphy<br />The Merman in Love by Jane Yolen<br />The Renders by Janny Wurts<br />The Golden Slipper by Antanas Vaiciulaitis<br />A Spell for Sleeping by Alastair Reid<br />The Last Voyage of the Ghost Ship by Gabriel García Márquez<br />Pale Horse by Masao Takiguchi<br />The Thunder Cat by Nicholas Stuart Gray<br />Queen Louisa by John Gardner<br />The Song of the Dragon's Daughter by Ursula K. Le Guin<br />The Prodigal Daughter by Jessica Amanda Salmonson<br />Little Boy Waiting at the Edge of the Darkwood by Andrew J. Offutt<br />The Tree's Wife by Jane Yolen<br />An Islandian Tale: The Story of Alwina by Austin Tappan Wright<br />The Unicorn Masque by Ellen Kushner<br />The Succubus y John Alfred Taylor<br />Ku Mei Li: A Chinese Ghost Story by M. Lucie Chin<br />Tatuana's Tale by Miguel Ángel Asturias <br />Overheard on a Saltmarsh by Harold Monro<br />Tales of Houdini by Rudy Rucker<br />Oh! My Name Is John Wellington Wells by W. S. Gilbert<br />Elric at the End of Time by Michael Moorcock<br />Song of Amergin by Robert Graves<br />Viriconium Knights by M. John Harrison<br />The Magician by William Kotzwinkle<br />Sea Change by C. J. Cherryh
4759589,39087,Torotumbo,847551491X,9788475514918,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369903106l/4759589._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369903106l/4759589._SY75_.jpg,,,,,,false,4824383,8,81,143,43,7,5:6|4:11|3:19|2:5|1:2|total:43,1977,,,3.33,26,4,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],
145741,39087,Viernes de Dolores,8437501474,9788437501475,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355147333l/145741._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355147333l/145741._SY75_.jpg,,,,,,false,1922585,5,57,106,27,3,5:6|4:16|3:3|2:1|1:1|total:27,1972,,,3.93,20,3,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],"Esta novela desenmascara el mito de la desmitificación. Los personajes protagonizan sus propias historias, no ilustran mito alguno. Viernes de dolores relata las vicisitudes de la generación estudiantil de 1922 en Guatemala. El propio Asturias aparece como un personaje con el apodo de entonces, ""Chirimoyas, a quien más corto lo llamaban Moyas"". Esta obra se inscribe en la narrativa hispanoamericana contemporánea de desmitificación, junto con Rayuela y La ciudad y los perros."
708271,39087,El Alhajadito,9500302071,9789500302074,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417637905l/708271._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417637905l/708271._SY75_.jpg,,,,,,false,694545,5,58,95,29,0,5:5|4:5|3:12|2:7|1:0|total:29,1961,,,3.28,14,0,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],
11165978,39087,Velázquez,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303311341l/11165978._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1303311341l/11165978._SX50_.jpg,2004,1,14,ita,Rizzoli Skira,false,71343,2,42,69,19,3,5:4|4:6|3:7|2:2|1:0|total:19,2004,1,14,3.63,14,2,"['4801955', '39087']","['Elena Ragusa', 'Miguel Ángel Asturias']","['3.61', '3.87']",[],[],[],"The Rizzoli Art Classics series brings you Piero della Francesca, Titian, Caravaggio, and Velázquez, all in beautifully illustrated monographs, offering high-quality reproductions in compact, accessible volumes. These books feature a literary introduction by a renowned art historian, a thoroughly researched essay, and captions describing the artist's most famous canvases. A useful appendix section includes an extensive chronology of the artist's life and important historical events of his time; a compilation of writings by well-known historians, insight into each painter's stylistic development; a geographical table detailing the location of each painting in the book; and a concise bibliography with suggested further readings.With authoritative text by leading art historians, these lavishly illustrated editions provide fresh insight into the art and lives of some of the most fascinating artists in the history of painting."
1920428,39087,Maladrón: Epopeya de los Andes Verdes,8420631272,9788420631271,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,855949,7,32,60,17,2,5:2|4:8|3:5|2:1|1:1|total:17,1970,10,1,3.53,9,0,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],
445560,39087,Hombres de Maiz,8489666202,9788489666207,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,434270,1,87,55,13,2,5:9|4:1|3:1|2:1|1:1|total:13,1997,1,31,4.23,13,2,"['756981', '39087']","['Agustín Yáñez', 'Miguel Ángel Asturias']","['3.87', '3.87']",[],[],[],
12733765,39087,Clearvigil in Spring [Clarivigilia Primaveral],,2940011426681,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361889284l/12733765._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361889284l/12733765._SX50_.jpg,,,,,,true,42744593,4,35,39,11,1,5:2|4:4|3:4|2:0|1:1|total:11,,,,3.55,7,1,['39087'],['Miguel Ángel Asturias'],['3.87'],['1082073'],['Robert W. Lebling'],['4.09'],
12397193,39087,Antología del cuento centroamericano,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313777206l/12397193._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313777206l/12397193._SX50_.jpg,1973,,,spa,EDUCA,false,17378433,1,39,29,8,1,5:2|4:3|3:2|2:0|1:1|total:8,1973,,,3.62,8,1,"['327133', '3525392', '5140832', '1237531', '247149', '2139046', '39087', '4642651', '5750203', '4361691', '5140834', '25575', '5140835', '5140836', '1756502', '5140837', '5140838', '1222334']","['Sergio Ramírez', 'Francisco Gavidia', 'Ricardo Miró', 'Rafael Arévalo Martínez', 'Carmen Lyra', 'Luis Dobles Segreda', 'Miguel Ángel Asturias', 'Salarrué', 'Luis Cardoza y Aragón', 'Rogelio Sinán', 'Manuel González Zeledón', 'Rubén Darío', 'Darío Herrera', 'Juan Ramón Molina', 'Froylán Turcios', 'Arturo Ambrogi', 'Francisco Herrera Velado', 'Joaquín García Monge']","['3.79', '3.39', '4.20', '3.56', '4.00', '3.62', '3.87', '4.14', '4.09', '3.94', '3.56', '3.88', '3.44', '3.92', '3.70', '3.27', '3.73', '3.08']",[],[],[],
31351274,39087,El problema social del indio,9992259752,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470341569l/31351274._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470341569l/31351274._SX50_.jpg,1924,,,spa,Editorial Universitaria,false,52030041,1,15,25,7,2,5:2|4:2|3:1|2:2|1:0|total:7,,,,3.57,7,2,['39087'],['Miguel Ángel Asturias'],['3.87'],[],[],[],
16010487,39087,Comiendo en Hungría,,9788493832735,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347753699l/16010487._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347753699l/16010487._SY75_.jpg,2010,11,22,spa,Capitan Swing Libros,false,21777674,2,26,24,5,1,5:4|4:1|3:0|2:0|1:0|total:5,1969,,,4.80,4,1,"['4026', '39087']","['Pablo Neruda', 'Miguel Ángel Asturias']","['4.31', '3.87']",[],[],[],"Antes de ser galardonados con el premio Nobel, los dos ilustres escritores latinoamericanos ensalzaron las excelencias culinarias de Hungría, describiendo con todo lujo de detalles los secretos de su cocina, con unos relatos aderezados de humor y “salero”.<br /><br />Corría el año 1965, en plena Guerra Fría, en un escenario internacional dominado por ideologías en pugna en el que abundaban paradójicas alianzas; y el resultado de esta colaboración artística, vital e ideológica fue un libro para sibaritas, publicado ese mismo año simultáneamente en cinco idiomas, que describe las vivencias de ambos poetas entre amigos y comensales; disfrutando de la camaradería proletaria popular que salpimentaba las opíparas mesas de los restaurantes, tabernas y comedores de Budapest y de sus pintorescos alrededores."
