id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
17898696,7419,دكتور فاوست ومسرحيات أخرى,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367900594l/17898696._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367900594l/17898696._SX50_.jpg,1992,,,ara,مكتبة مصر,false,756664,923,93153,203675,53614,1554,5:14581|4:19473|3:14667|2:3984|1:909|total:53614,1589,,,3.80,71,13,"['5481957', '11155', '16070', '1466', '567036', '7419', '3565', '2934044']","['Various', 'Christopher Marlowe', 'Alexander Pushkin', 'Jean-Paul Sartre', 'José Echegaray', 'John Galsworthy', 'Oscar Wilde', 'حلمي مراد']","['3.98', '3.79', '4.08', '3.99', '3.19', '4.10', '4.10', '3.76']",[],[],[],دكتور فاوست ومسرحيات اخرى :<br />1- دكتور فاوست<br />2- يوجين أونيجين<br />3- نيكراسوف<br />4- كلام الناس<br />5- الهارب من السجن <br />6- زوج مثالى
87715,7419,"Indian Summer of a Forsyte (The Forsyte Chronicles, #1.5)",1404309330,9781404309333,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,6,1,,IndyPublish.com,false,84677,7,914,2429,566,29,5:286|4:184|3:75|2:17|1:4|total:566,1918,,,4.29,545,26,['7419'],['John Galsworthy'],['4.10'],[],[],[],
1703521,7419,"Swan Song (The Forsyte Chronicles, #6)",1589634195,9781589634190,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1700596,79,1014,2167,514,40,5:232|4:185|3:79|2:12|1:6|total:514,1928,,,4.22,399,21,['7419'],['John Galsworthy'],['4.10'],[],[],[],"John Galsworthy (1867-1933) devoted virtually his entire professional career to creating a fictional but entirely representative family of propertied Victorians, the Forsytes. He made their lives and times, loves and losses, fortunes and deaths so real that readers accused him of including as characters in his drama real individuals whom they knew.<p>Often incorrectly called THE FORSYTE SAGA, the nine novel sequence properly known as THE FORSYTE CHRONICLES contains three trilogies, of which the first trilogy is THE FORSYTE SAGA (THE MAN OF PROPERTY, IN CHANCERY, TO LET). The second trilogy, A MODERN COMEDY (THE WHITE MONKEY, THE SILVER SPOON, SWAN SONG) is followed by the third and concluding trilogy, END OF THE CHAPTER (MAID IN WAITING, FLOWERING WILDERNESS, ONE MORE RIVER). THE FORSYTE CHRONICLES has become established as one of the most popular and enduring works of twentieth century literature, described by the New York Times as: ""A social satire of epic proportions and one that does not suffer by comparison with Thackeray's VANITY FAIR...the whole comedy of manners, convincing both in its fidelity to life and as a work of art.""</p>"
1729340,7419,"The Silver Spoon (The Forsyte Chronicles, #5)",1589635817,9781589635814,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,10,1,,Fredonia Books (NL),false,1726805,81,987,2103,522,33,5:180|4:202|3:119|2:17|1:4|total:522,1926,,,4.03,404,20,['7419'],['John Galsworthy'],['4.10'],[],[],[],"The Silver Spoon is the fifth volume in The Forsyte Chronicles, one of the most popular and enduring works of 20th-century literature. In creating the many extraordinary members of the Forsyte family, the author also drew a fascinating and accurately detailed picture of the British propertied class, from the wealth and security of the mid-Victorian era through the Edwardian high-noon to a post-War world of change, strikes, and social malaise. <p>This volume carries on with the tale of Soames' daughter Fleur. Married to Michael Mont, in line for a Barony, the story focuses on Michael's start in Parliament and Fleur's inherent dissatisfaction with her marriage, not unlike her father's own experience only in this case it is Fleur who loves another. The American Frances Wilmont enters the scene bringing news that Fleur's real love, Jon, forbidden to her as the son of her father's ex-wife, has married Wilmont's sister. Fleur struggles to be happy and fulfilled, just as her father Soames did. </p><p>The nine novels, which make up The Forsyte Chronicles -- one of the most popular and enduring works of 20th century literature -- chronicle the ebbing social power of the commercial upper-middle class Forsyte family between 1886 and 1920. Galsworthy's masterly narrative examines not only their fortunes but also the wider developments within society, particularly the changing position of women. </p><p>The author has drawn a fascinating and accurately detailed picture of the British propertied class. Often incorrectly called The Forsyte Saga - the nine novel sequence properly known as The Forsyte Chronicles contains three trilogies- of which the first trilogy is The Forsyte Saga (The Man of Property - In Chancery- To Let). The second trilogy- A Modern Comedy (The White Monkey- The Silver Spoon- Swan Song) is followed by the third and concluding trilogy- End of the Chapter (Maid in Waiting- Flowering Wilderness- One More River).</p>"
1339223,7419,"The Forsyte Saga Volume Three: End of the Chapter (The Forsyte Chronicles, #7-9)",0141186844,9780141186849,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,9,27,,Penguin Classics,false,19247230,8,881,2002,463,23,5:244|4:142|3:62|2:13|1:2|total:463,1931,,,4.32,402,18,['7419'],['John Galsworthy'],['4.10'],[],[],[],"In this final volume of The Forsyte Chronicles, Galsworthy writes about the lives and loves of the Cherrell family, cousins of the Forsytes. For centuries, the Cherrell sons have left their home of Condaford Grange to serve the state as soldiers, clergymen and administrators, but the 1930s bring uncertainty in a world of rapidly altering morals and unemployment. Galsworthy’s portrayal of the effect of political change on individuals show him as a great social novelist as well as the author of one of the most gripping family sagas ever written."
1517080,7419,The Dark Flower,1406761702,9781406761702,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,3,15,,Galsworthy Press,false,6147033,94,819,1499,418,24,5:93|4:128|3:139|2:47|1:11|total:418,,,,3.59,262,11,['7419'],['John Galsworthy'],['4.10'],[],[],[],"Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork."
9361924,7419,"The Forsyte Saga, The Modern Comedy, The End of the Chapter (the complete Forsyte collection, 9 books and 4 interludes)",,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381608337l/9361924._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381608337l/9361924._SX50_.jpg,2010,8,29,eng,Di Lernia Publishers,true,55071005,4,552,1233,280,7,5:164|4:75|3:33|2:6|1:2|total:280,,,,4.40,163,4,['7419'],['John Galsworthy'],['4.10'],[],[],[],
36470738,7419,O Aniversário da Infanta,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508873377l/36470738._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508873377l/36470738._SX50_.jpg,1967,,,por,Livros do Brasil,false,73671266,40,541,1198,327,34,5:68|4:121|3:101|2:34|1:3|total:327,,,,3.66,0,0,"['3565', '5217', '15905', '7419', '86404', '6765', '17623']","['Oscar Wilde', 'George Bernard Shaw', 'Thomas Hardy', 'John Galsworthy', 'E.M. Forster', 'Virginia Woolf', 'D.H. Lawrence']","['4.10', '3.91', '3.84', '4.10', '3.88', '3.88', '3.59']",[],[],[],"<i>O Aniversário da Infanta</i>, Oscar Wilde<br /><i>O Imperador e a Menina</i>, George Bernard Shaw<br /><i>Os Três Desconhecidos</i>, Thomas Hardy<br /><i>Filantropia</i>, John Galsworthy<br /><i>História de Um Pânico</i>, E.M. Forster<br /><i>Objectos Sólidos</i>, Virginia Woolf<br /><i>O Oficial Prussiano</i>, D.H. Lawrence"
1729347,7419,"Maid In Waiting (The Forsyte Chronicles, #7)",0736643826,9780736643825,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,1726812,74,601,1138,291,31,5:90|4:105|3:78|2:16|1:2|total:291,1931,,,3.91,196,13,['7419'],['John Galsworthy'],['4.10'],[],[],[],"Maid in Waiting is the beginning novel in the last trilogy of John Galsworthys Forsyte Chronicles, about the lives and times, loves and losses of the family of propertied Victorians, the Forsytes. This final trilogy, called End of the Chapter, concerns the Cherrells, cousins of the younger Forsytes."
1380929,7419,"Flowering Wilderness (The Forsyte Chronicles, #8)",1410104931,9781410104939,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,2,12,eng,Fredonia Books (NL),false,1726810,65,520,1094,268,27,5:101|4:107|3:41|2:19|1:0|total:268,1932,,,4.08,197,16,['7419'],['John Galsworthy'],['4.10'],[],[],[],"The nine novels which make up The Forsyte Chronicles - one of the most popular and enduring works of 20th century literature - chronicle the ebbing social power of the commercial upper-middle class Forsyte family between 1886 and 1920. Galsworthy's masterly narrative examines not only their fortunes but also the wider developments within society, particularly the changing position of women. The author has drawn a fascinating and accurately detailed picture of the British propertied class Often incorrectly called The Forsyte Saga - the nine novel sequence properly known as The Forstye Chronicles contains three trilogies- of which the first trilogy is The Forsyte Saga (The Man of Property - In Chancery- To Let). The second trilogy- A Modern Comedy (The White Monkey- The Silver Spoon- Swan Song) is followed by the third and concluding trilogy- End of the Chapter (Maid in Waiting- Flowering Wilderness- One More River). John Galsworthy (1867-1933) devoted virtually his entire professional career to creating a fictional but entirely representative family of propertied Victorians- the Forsytes. He made their lives and times- loves and losses- fortunes and deaths so real that readers accused him of including as characters in his drama real individuals whom they knew. He was the winner of the Nobel Prize for Literature in 1932."
2805250,7419,"One More River (The Forsyte Chronicles, #9)",1433205653,9781433205651,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,6,1,,Blackstone Audiobooks,false,1726813,49,462,867,219,26,5:72|4:85|3:44|2:17|1:1|total:219,1933,,,3.96,148,9,['7419'],['John Galsworthy'],['4.10'],[],[],[],"Clare Charwell has just fled her sadistic husband to England. Along the way she has met the charming Tony Croom. When she refuses to return to her husband, he falsely accuses her of adultery with Tony in a highly public court trial."
40704232,7419,Swan Song,1721897976,9781721897971,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531154677l/40704232._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531154677l/40704232._SX50_.jpg,2018,6,29,,Createspace Independent Publishing Platform,false,323946,86,551,832,253,21,5:26|4:78|3:101|2:39|1:9|total:253,1887,,,3.29,0,0,"['5031025', '7419']","['Anton Chekhov', 'John Galsworthy']","['3.96', '4.10']",[],[],[],"Swan Song Anton Chekhov John Galsworthy Swan Song by John Galsworthy After years living in America with his mother, Jon Forsyte is excited to be home and eager to show off his roots to his new bride. When Fleur Forsyte, now Fleur Mont-Jon's first love-hears of his arrival, she doesn't know what to feel. She is now married too, and while Jon and Fleur try to interact as friends, their strong feelings for one another are not easily contained. When their passion is rekindled, no one can halt the devastating events that follow. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience."
87720,7419,Awakening & to Let (The Forsyte Chronicles #2.5 & #3),1588276899,9781588276896,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,84683,33,258,746,172,15,5:79|4:73|3:19|2:1|1:0|total:172,1926,,,4.34,126,5,['7419'],['John Galsworthy'],['4.10'],[],[],[],This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.
14336603,7419,Awakening (The Forsyte Chronicles #2.5),1409785041,9781409785040,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,6,30,,Chandra Chakravarti Press,false,19978458,26,357,685,180,11,5:48|4:66|3:50|2:15|1:1|total:180,1920,,,3.81,171,9,['7419'],['John Galsworthy'],['4.10'],[],[],[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
103160,7419,"The Apple Tree: Tales from the Caravan, the Assembled Collection",1845880137,9781845880132,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,8,1,,Nonsuch Publishing,false,99455,9,360,588,153,13,5:46|4:56|3:36|2:11|1:4|total:153,1918,,,3.84,124,8,['7419'],['John Galsworthy'],['4.10'],[],[],[],"Written by the author of <i>The Forsyte Saga, Caravan</i> is a collection of 56 short stories composed between the years 1900 and 1923. <i>The Apple Tree</i> comprises the first 24 tales of this collection. For the majority of the stories the author grouped works of a similar theme in pairs, one from before 1914, the other written after 1914, in a deliberate attempt to illustrate how his ideas and technique changed over time. The stories themselves encompass a wide range of topics and emotions, from despair and death to salvation and hope, and there is even an appearance by the Forsyte family. Written in Galsworthy’s descriptive and engaging manner, this collection is a thought-provoking and entertaining body of work."
