id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
205189,6517,Auto-da-Fé,0374518793,9780374518790,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,12,1,eng,"Farrar, Straus and Giroux",false,1940665,104,14801,18484,4554,385,5:1968|4:1434|3:744|2:268|1:140|total:4554,1935,,,4.06,2561,167,['6517'],['Elias Canetti'],['4.00'],['5960462'],['C.V. Wedgwood'],['4.12'],"""Auto-da-Fé"" is the story of Peter Kien, a distinguished, reclusive sinologist living in Vienna between the wars. With masterly precision, Canetti reveals Kien's character, displaying the flawed personal relationships which ultimately lead to his destruction.<br /><br />Manipulated by his illiterate and grasping housekeeper, Therese, who has tricked him into marriage, and Benedikt Pfaff, a brutish concierge, Kien is forced out of his apartment - which houses his great library and one true passion - and into the underworld of the city. In this purgatory he is guided by a chess-playing dwarf of evil propensities, until he is eventually restored to his home. But on his return he is visited by his brother, an eminent psychiatrist who, by an error of diagnosis, precipitates the final crisis...<br /><br />""Auto-da-Fé"" was first published in Germany in 1935 as ""Die Blendung"" (""The Blinding"" or ""Bedazzlement"") and later in Britain in 1947, where the publisher noted Canetti as a 'writer of strongly individual genius, which may prove influential', an observation borne out when the author was awarded the Nobel Prize for Literature in 1981. ""Auto-da-Fé"" still towers as one of the greatest novels of the twentieth century, and Canetti's incisive vision of an insular man battling agianst the outside world is as fresh and rewarding today as when first it appeared in print."
858992,6517,The Human Province,0816493359,9780816493357,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349999749l/858992._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349999749l/858992._SY75_.jpg,,,,eng,,false,2157564,28,540,540,134,14,5:47|4:57|3:19|2:9|1:2|total:134,1973,,,4.03,58,6,['6517'],['Elias Canetti'],['4.00'],[],[],[],"Elias Canetti “Notlar”ıyla dünya edebiyatında kendine özgü bir yazın türü yaratmıştır. Yazar, İnsanın Taşrası adını verdiği ve 1942-1972 yılları arasındaki notlarını içeren kitabında, yaşadığı dünyada herkesten ve her şeyden önce kendi kendisiyle en maskesiz tarzda hesaplaşmayı etik bir ilkeye dönüştürür.<br />Canetti’nin aslında bütün yazdıkları gibi, “Notlar”ı da, giderek daha çok körleşen bir dünyada bilinçli yaşamaya çalışan insanoğlunun bakışlarını yitirmemesi için verilmiş en soylu savaşımlardan birini belgeliyor. Ne de olsa “içinde yaşadığımız dünyanın durumunu göremeyenin o dünya üzerine yazacak hemen hiçbir şeyi yoktur…”<br />“Bu notların güçlüğü, kişisel olmalarından kaynaklanıyor. İnsan, özellikle kişisel olandan uzaklaşmak istiyor; sanki daha sonra artık değişemeyeceğinden korkarcasına, kişisel olanı kâğıda dökmekten korkuyor. Gerçekte ise insan bir kez yazdıktan sonra rahat bıraktığı takdirde, her şey pek çok yoldan değişime uğramayı sürdürüyor. Ruhun yollarını gösteren şey, yeniden okumak.”"
761939,6517,The Agony of Flies: Notes and Notations,0374524106,9780374524104,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312009821l/761939._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312009821l/761939._SY75_.jpg,1994,8,31,,"Farrar, Straus and Giroux",false,748032,10,363,416,114,11,5:28|4:40|3:29|2:12|1:5|total:114,1992,,,3.65,49,3,['6517'],['Elias Canetti'],['4.00'],[],[],[],"Elias Canetti, winner of the 1981 Nobel Prize in Literature, here offers a quintessential selection from the wealth of his short writings. Remarkable for their uncommon candor and originality, these flashes of thought illuminate a half century of Canetti's existential and intellectual development. By turns enigmatic and profound, anguished and humorous, Canetti's concentrated reflections reveal his grand themes - the mystery of love, the meaninglessness of history, the ambiguity of language, the problem of power, mankind's savagery toward other living creatures. Canetti's hatred of dogma, his passionate protest against aging and death stand out with unparalleled clarity, as does the deep ethical awareness at the core of his creativity. An autobiography stripped bare, a self-portrait of a mind, The Agony of Flies, presented in a bilingual edition, provides privileged insight into the life and thought of ""one of our great imaginers and solitary men of genius"" (Iris Murdoch)."
6918005,6517,Party in the Blitz,0811218309,9780811218306,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2010,2,25,,New Directions,false,403418,18,337,405,124,14,5:15|4:37|3:49|2:12|1:11|total:124,2003,,,3.27,53,3,['6517'],['Elias Canetti'],['4.00'],['16118708'],['Michael Hofmann'],['4.03'],"Elias Canetti originally intended <em>Party in the Blitz</em> to capture an image of his time in post-war London. Well known throughout Europe, Canetti scorned British intellectuals who weren’t familiar with his work. By force of will alone he accumulated English followers, but not before being christened “the godmonster of Hampstead.” Canetti’s memories of various people in his social circle are brief and scathing brimstone sketches. T.S. Eliot, Iris Murdoch, Wittgenstein, Herbert Read, Bertrand Russell–Canetti rakes them all over the coals. To Canetti, T.S. Eliot was nothing more than an American emigrant trying desperately to act British, and Canetti’s portrayal of Iris Murdoch, with whom he had an affair, is nothing short of brutal. Michael Hofmann’s translation pulls no punches, delivering the goods on Canetti’s searing injection: “when you write down your life, every page should contain something no one has ever heard about.”"
52237322,6517,Die gelbe Straße,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,2118595,14,193,368,103,7,5:22|4:29|3:39|2:12|1:1|total:103,1932,,,3.57,0,0,"['342412', '6517']","['Veza Canetti', 'Elias Canetti']","['3.65', '4.00']",[],[],[],
22008220,6517,Hayvanlar Üzerine,,9789755706580,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398335970l/22008220._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398335970l/22008220._SX50_.jpg,2014,4,,tur,Sel Yayıncılık,false,25690812,3,243,364,102,10,5:19|4:36|3:33|2:12|1:2|total:102,2002,2,18,3.57,83,8,['6517'],['Elias Canetti'],['4.00'],['6558560'],['Levent Konca'],['3.70'],"Politik, oyunbaz, alet yapan, konuşan, bilen insan tanımlamalarının ortak endişesi, insanı diğer hayvanlardan ayıran özelliği bulmaktır. Peki insanın içindeki hayvan(lar) ve hayvanın içindeki insan(lar)dan bahsetmek bu kadar imkansız mıdır? <br /><br />Uzun yıllarını iktidar ilişkileri ve kitlelerin davranış biçimleri üzerine düşünerek geçiren Elias Canetti için insanlarla hayvanların ilişkileri ve bunların geçirgenliği her zaman ilham kaynağı olmuştur. Ancak Nobel ödüllü yazar bu defa, hayatı boyunca hayvanlara, ama en çok da onların insanlarla arasındaki hiyerarşik ilişkiye dair tuttuğu notlar, aforizmalar, anılar, otobiyografik ögeler taşıyan kısa ancak çarpıcı öykülerle ""türcülüğün"" kalbine adeta bıçak saplıyor. <br /><br />Canetti vahşi ve evcil insan, kılık değiştiren hayvan öyküleriyle metamorfoz hikayelerinin bir araya geldiği Hayvanlar Üzerine'de insan-hayvan, av-avcı, yetişkin-çocuk, efendi-köle gibi tahakküme dayalı ilişkileri tersyüz ederek adeta bir kıyamet sonrası atmosferi yaratıyor. Canetti yadırgatıcı ancak şiirsel diliyle insanın içindeki hayvanlara özgü vahşetin peşinde..."
412105,6517,The Secret Heart of the Clock,0374256942,9780374256944,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312014071l/412105._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312014071l/412105._SX50_.jpg,1989,8,30,eng,"Farrar, Straus and Giroux",false,3044831,14,270,346,87,10,5:28|4:40|3:9|2:9|1:1|total:87,1987,,,3.98,54,6,['6517'],['Elias Canetti'],['4.00'],['157459'],['Joel Agee'],['4.04'],"From one of the preeminent intellectual figures of the twentieth century, a highly personal testimonial of what Canetti himself chooses to term ""notations,"" bits and pieces: notes, aphorisms, fragments. Taken together, they present an awesomely tender, guiltily gloomy meditation on death and aging.<br />"
205191,6517,Notes from Hampstead: The Writer's Notes: 1954-1971,0374223262,9780374223267,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1998,2,1,,Farrar Straus Giroux,false,198576,8,146,249,65,6,5:13|4:34|3:13|2:4|1:1|total:65,1994,,,3.83,46,4,['6517'],['Elias Canetti'],['4.00'],['3864827'],['John Hargraves'],['3.43'],"Writing about Elias Canetti, Susan Sontag remarked that ""the notebook is the perfect literary form for the eternal student, someone who has no subject or, rather, whose subject is 'everything.'"" Notes from Hampstead confirms this. It is a map of the late Nobel laureate's thinking, a triumphant compendium of aphoristic, enigmatic, and expository writings covering a characteristically diverse range of subjects: the significance of mythology and ethnicity, the nature of creativity, the extraordinary hold violence has on the twentieth century, literary history (we learn of his affection for Cervantes, Stendhal, and Gogol, and of his adoration of Kafka), and, always, there is a violent quarrel with death.Canetti draws on the troubled period following the death of his wife and the publication of his masterwork of social theory, Crowds and Power. An ambivalent interest in spiritualism also characterizes the collection: Canetti's conversations with Jesuits and Indian gurus and his readings of Greek, Hebrew, and primitive myths give a kaleidoscopic view of the uses and abuses of religions. Wide-ranging in form and content, the book is suffused with Canetti's uncommon intelligence, his rage at the defects of the spirit, and an unquenchable thirst for elusive truths."
16125132,6517,المرقمون,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353515902l/16125132._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353515902l/16125132._SX50_.jpg,2012,9,,,"سلسلة ""من المسرح العالمي""",false,21948112,6,122,211,57,6,5:9|4:27|3:16|2:5|1:0|total:57,1964,,,3.70,21,3,"['6517', '5685432']","['Elias Canetti', 'حسن بحري']","['4.00', '3.38']",[],[],[],
22890927,6517,Buch gegen den Tod,,9783446244672,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407966160l/22890927._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407966160l/22890927._SY75_.jpg,2014,3,7,ger,Carl Hanser Verlag,false,42460985,15,246,165,43,10,5:14|4:13|3:11|2:5|1:0|total:43,2014,,,3.84,3,0,"['6517', '364483']","['Elias Canetti', 'Peter von Matt']","['4.00', '3.96']",[],[],[],"Zeitlebens wollte Nobelpreisträger Canetti, der sich stets als „Todfeind“ bezeichnete, dieses Buch schreiben. Mit dem Phänomen Tod hat er sich über Jahrzehnte hinweg beschäftigt, und er hat zahlreiche Anläufe unternommen, um das Thema mit seiner anthropologischen Methode einzukreisen: Canetti las Dichter und Philosophen, sammelte Märchen, Mythen und Riten. Das Buch ist die Quintessenz seiner lebenslangen Auseinandersetzung, und immer wieder kommt hier die Eleganz seines Denkens und Schreibens zum Ausdruck. <br /><br />Peter von Matt ergänzt dieses wichtige Buch um einen großen Essay über Canetti und dessen Todfeindschaft."
1330103,6517,Komödie der Eitelkeit. Drama in drei Teilen,3150076781,9783150076781,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1981,1,31,ger,Reclam,false,935707,3,58,108,30,3,5:6|4:13|3:5|2:5|1:1|total:30,1934,,,3.60,21,2,['6517'],['Elias Canetti'],['4.00'],[],[],[],
9246497,6517,Über den Tod,3446202390,9783446202399,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,,,ger,Hanser,false,14126917,3,55,98,27,3,5:8|4:6|3:9|2:3|1:1|total:27,2003,1,1,3.63,11,1,['6517'],['Elias Canetti'],['4.00'],[],[],[],
7202248,6517,Especímenes del folclore bosquimano. Seguido por Presentimiento y metamorfosis entre los bosquimanos,8496867447,9788496867444,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524494614l/7202248._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524494614l/7202248._SY75_.jpg,2009,6,1,spa,Sexto Piso / Universidad Nacional Autónoma de México,false,4587634,35,78,81,24,2,5:8|4:2|3:6|2:7|1:1|total:24,1911,,,3.38,3,0,"['2061167', '7230497', '6517']","['Wilhelm Heinrich Immanuel Bleek', 'Lucy Catherine Lloyd', 'Elias Canetti']","['3.38', '3.50', '4.00']","['3190153', '1059001']","['Daniela Morabito Rojas', 'Horst Vogel']","['3.33', '4.20']","<p>Los bosquimanos son uno de los pueblos ancestrales más legendarios de la historia de la humanidad. Ya sea desde una perspectiva científica —se les ha descrito como una especie de «Adán genético» que contiene la herencia genética del resto de las razas humanas— o antropológica —su insistente rechazo al progreso y su férreo apego a sus tradiciones de sociedad cazadora-recolectora han despertado gran interés y azoro—, los relatos y estudios sobre esta tribu única generan fascinación entre quienes tienen la oportunidad de saber acerca de su existencia. El mismo Elias Canetti leyó varias veces con voracidad <i>Especimenes de folclore bosquimano</i>, y lo consideraba el libro más importante que jamás hubiera conocido. <br /><br />Este libro contiene leyendas y relatos que conforman la mítica cosmogonía de esta sociedad, contada de viva voz por sus propios miembros. En un estilo que refleja la tradición oral a la que corresponden sus historias, los bosquimanos narraron sus leyendas relativas a su deidad principal, el Mantis, a su relación con el entorno y los animales, y a algunos rasgos de la convivencia al interior de sus sociedades. Es producto de una investigación llevada a cabo en la segunda mitad del siglo XIX por el lingüista W.H.I. Bleek, que convenció a las autoridades sudafricanas de que liberaran a algunos bosquimanos presos a cambio de que realizaran labores domésticas en su hogar. En vez de ponerlos a trabajar, aprovechó la oportunidad para descifrar y aprender su lenguaje y así fue como pudo recopilar las fantásticas historias bosquimanos. Murió antes de ver su esfuerzo publicado, pero su cuñada Lucy C. Lloyd retomó la labor y logró culminar la obra a la que Bleek dedicó buena parte de su vida.<br /><br />«Este libro obra in mi poder desde 1944, hace dieciséis años. Con frecuencia he llegado a pensar que es el libro más importante entre todos los que conozco.» —<i>Elias Canetti</i></p>"
2011878,6517,Letters to Felice & Kafka's Other Trial,014004440X,9780140044409,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491152563l/2011878._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491152563l/2011878._SY75_.jpg,1978,1,26,eng,Penguin Books,false,40239527,1,106,80,17,0,5:12|4:5|3:0|2:0|1:0|total:17,1974,,,4.71,17,0,"['5223', '6517', '5336847', '778357', '73086', '79448', '5336856']","['Franz Kafka', 'Elias Canetti', 'Elizabeth Duckworth', 'James Stern', 'Christopher Middleton', 'Erich Heller', 'Jürgen Born']","['3.89', '4.00', '4.50', '4.36', '4.02', '4.08', '4.71']",[],[],[],"Felice Bauer was Kafka's first great love and the inspiration for his first great fiction. Six weeks after they met, he wrote ""The Judgment"" for her in one night of feverish activity. Kafka always inferred to the traumatic, public breaking-off of their engagement as his ""tribunal,"" and indeed he began work on The Trial within a month of that event.<br /><br />Kafka's letters to Felice offer rare insights into the writer's life and art. Elias Canetti's brilliant and sensitive examination of this moving correspondence to shows is the origins of Kafka's voice as a writer and his torment as a man."
1938106,6517,Dramen,3596270278,9783596270279,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1978,1,1,ger,Fischer Taschenbuch Verlag,false,1940661,4,37,73,20,0,5:5|4:9|3:1|2:4|1:1|total:20,1964,1,1,3.65,20,0,['6517'],['Elias Canetti'],['4.00'],[],[],[],1. Hochzeit<br />2.Komödie der Eitelkeit<br />3. Die Befristeten
