id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
32585,18317,Hunger,0486431681,9780486431680,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456243307l/32585._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456243307l/32585._SY75_.jpg,2003,11,17,eng,Dover Publications,false,3135610,69,91008,164587,40638,2855,5:15614|4:15048|3:7150|2:2049|1:777|total:40638,1890,,,4.05,28703,1416,['18317'],['Knut Hamsun'],['4.00'],"['488173', '6722570']","['George Egerton', 'Viki Kärkkäinen']","['4.06', '4.07']","One of the most important and controversial writers of the 20th century, Knut Hamsun made literary history with the publication in 1890 of this powerful, autobiographical novel recounting the abject poverty, hunger and despair of a young writer struggling to achieve self-discovery and its ultimate artistic expression. The book brilliantly probes the psychodynamics of alienation, obsession, and self-destruction, painting an unforgettable portrait of a man driven by forces beyond his control to the edge of the abyss. Hamsun influenced many of the major 20th-century writers who followed him, including Kafka, Joyce and Henry Miller. Required reading in world literature courses, the highly influential, landmark novel will also find a wide audience among lovers of books that probe the ""unexplored crannies in the human soul"" (George Egerton)."
137199,18317,Rosa,155713359X,9781557133595,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997,12,1,,Sun and Moon Press,false,2535402,16,621,1138,312,12,5:57|4:119|3:109|2:23|1:4|total:312,1908,,,3.65,261,8,['18317'],['Knut Hamsun'],['4.00'],['71210'],['Sverre Lyngstad'],['3.94'],"Winner of the Nobel Prize for Literature, Hamsun is beloved for numerous novels written from the 1890s through the 1930s. Rosa, whose characters are related to those in his Pan, was originally one of his most popular fictions. This new translation reveals, for the first time, the linguistic and structural subtleties of Hamsun's language and storytelling art."
137253,18317,August,086527374X,9780865273740,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272297479l/137253._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272297479l/137253._SY75_.jpg,,,,eng,,false,3356584,18,517,891,218,8,5:73|4:99|3:39|2:6|1:1|total:218,1930,,,4.09,192,5,['18317'],['Knut Hamsun'],['4.00'],['3905382'],['Eugene Gay-Tifft'],['4.08'],"I «August» (1930) er hovedpersonen, som Hamsun første gang hadde skildret i «Landstrykere» (1927), blitt en mann i slutten av 40-årene. Han er fremdeles den rastløse, oppfinnsomme og initiativrike prosjektmaker. Det er oppgangstider i bygda Polden. Et rikt sildefiske fører til pengerikelighet. Augusts entusiasme smitter over, og poldværingene selger sin matjord til byggetomter og kjøper aksjer i bank og fabrikk. Men det kommer dårligere tider. Silda uteblir, og på grunn av uheldige konjunkturer stiger matvareprisene. Augusts virketrang har ført poldværingene ut i dyp misère. Hele samfunnet kommer i ubalanse og trues av hungersnød og katastrofe."
137215,18317,Benoni,2070388255,9782070388257,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1994,11,3,,Gallimard,false,2535391,14,458,881,232,9,5:46|4:105|3:70|2:10|1:1|total:232,1908,,,3.80,189,5,['18317'],['Knut Hamsun'],['4.00'],['5484074'],['Régis Boyer'],['3.76'],"Benoni est le premier volet d'un diptyque qui tient une place à part dans l'œuvre de Knut Hamsun. Sans doute y retrouve-t-on la grande nature du Nordland, ses forêts, sa faune et sa flore, la mer, les nuits translucides de ses étés, la pesanteur de ses journées d'hiver ; de même y renoue-t-on connaissance avec un type d'analyse psychologique qui a fait école depuis, où tout n'est que suggéré par approches de biais, demi-teintes, gestes ébauchés et retenus, élans du cœur arrêtés d'une parole.Cependant, Knut Hamsun y aborde de front, pour la première fois, ce qui deviendra une des préoccupations majeures de toute son œuvre, un des problèmes essentiels aussi de la société scandinave : l'affrontement entre une culture rurale traditionnelle avec son éthique et ses valeurs typiques, et le monde de la ville, le capitalisme, l'argent. En second lieu, si l'amour joue, ici comme dans les autres romans hamsuniens, un rôle de premier plan, c'est en un camaïeu de gris qui a quelque chose de poignant dans son mélancolique bilan d'échecs et de ratés. Violence ou timidité, cynisme ou naïveté, mépris ou sensualité, rien ne paraît devoir triompher d'obstacles insurmontables jamais dits, qui font de ce livre un lamento pudique et feutré. Enfin, en bon Scandinave conscient des très lointains tropismes de son peuple, Hamsun a mis en scène ici, plus clairement que nulle part ailleurs, le seul vrai personnage de son œuvre, ce Destin inexorable et fantasque qui se plaît cruellement à flétrir les corps comme il ride les cœurs."
136916,18317,Tales of Love & Loss,028563383X,9780285633834,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328872191l/136916._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328872191l/136916._SY75_.jpg,1997,6,26,eng,Souvenir Press,false,131950,8,644,878,218,20,5:64|4:102|3:46|2:6|1:0|total:218,2007,1,1,4.03,210,20,['18317'],['Knut Hamsun'],['4.00'],['18318'],['Robert                  Ferguson'],['3.73'],"Twenty stories ranging over every imaginable human emotion and situation, Tales of Love and Loss is a treat for all lovers of great writing. Knut Hamsun published only three collections of short stories during his lifetime and abandoned the form entirely after 1906. Most of these stories are translated into English for the first time ans this is the first publication for them outside Norway. Providing a fascinating commentary on the novels Hamsun was writing at the time and with forebodings of his much later work these stories are indispensable."
32591,18317,The Last Joy,1931243190,9781931243193,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,7,1,eng,Green Integer,false,32752,44,582,866,231,22,5:51|4:87|3:77|2:16|1:0|total:231,1912,,,3.75,129,8,"['18317', '71210']","['Knut Hamsun', 'Sverre Lyngstad']","['4.00', '3.94']",[],[],[],"Published in Norway in 1912, <i>The Last Joy (Den Siste Glaede</i>) appears at an important transition point in Hamsun’s career, as he moved any from his intense observations of individual characters to focus on a broader canvas of small town and farm life social units of the Norwegian culture. If Hunger (1890) represents the epitome Hamsun’s focus on the individual, his works of the late teens and 1920s, particularly <i>Growth of the Soil </i>(1917) and <i>Women at the Pump</i> (1920) best represent the latter. <i>The Last Joy </i>lies somewhere between, with all the comic eccentricity of Hamsun’s great individualistic portraits and the small-town pretensions and social inter-relationships of his later works.<br /><br />Winner of the Nobel Prize in 1920, <b>Knut Hamsun </b>is one of the most beloved writers—although reviled for his ""collaboration"" with the Nazis during the German occupation of Norway—of the 20th century."
1237069,18317,The Women at the Pump,0374292809,9780374292805,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396360073l/1237069._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396360073l/1237069._SX50_.jpg,2008,10,30,,Farrar Straus Giroux,false,132225,18,480,802,210,19,5:51|4:84|3:62|2:12|1:1|total:210,1920,,,3.82,170,13,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"The women at the pump in Hamsun's small Norwegian coastal town are seldom short of talking points: a birth (and where did those brown eyes come from?), a marriage (shotgun?), a death in strange circumstances (the victim flattened by a falling barrel of whale oil); the up-and-down career of the town's leading citizen and philanderer; the pointed questions asked in the Norwegian Parliament by its seedy representative; the mail robbery that permanently unhinges the postmaster and leads to the discovery of obscene tattooing all over the blacksmith's son; the news that an elderly spinster is pregnant (while the doctor's wife is not); the disastrous sinking of the steamship that is the town's chief pride and joy. Above all, there are the latest doings of Oliver Andersen and the large family that he and his wife contrive to raise despite growing suspicions that his mysterious accident at sea has deprived him of more than a leg.<br /><br />In Oliver, Hamsun has created one of the great comic characters of literature: a sly, boastful, flaccid rogue who trades shamelessly and indomitably on his misfortune. In his moral squalor he is the symbol of a corrupt and self-seeking society. Unattractive though he is, he never entirely loses the reader's sympathy, and his relations with his delightful ‘son’ Abel are most movingly depicted. THE WOMEN AT THE PUMP brims with a prodigality of invention, sardonic humor, and an originality of style and technique representing Hamsun's later work at its best. First published in Norway in 1920 - the year Hamsun was awarded the Nobel Prize for Literature."
10772820,18317,The Last Chapter,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356460866l/10772820._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356460866l/10772820._SY75_.jpg,1923,,,eng,,false,15684521,10,367,586,143,7,5:54|4:56|3:26|2:7|1:0|total:143,1923,,,4.10,95,3,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"The Last Chapter is set in the Torahus sanatorium, where the sufferings of most of the patients are related to civilisation.<br /><br />The novel has a group of central characters, but no distinct main character. Among the characters is ""The Suicide"", who entered the sanatorium following the discovery of his wife’s infidelity and threatens constantly to take his own life. Another guest is the lovely Julie d'Espard. She enters into a relationship with the bogus Count Flemming and gets pregnant. When Flemming disappears one day she turns to Daniel Utby, who runs a small farm near Torahus and who represents the novel’s ideological norm.<br /><br />The Last Chapter is one of Hamsun’s darkest novels. It was written at a time when he was much preoccupied by death. The novel is often compared with Thomas Mann’s The Magic Mountain, which was published the year after."
10156220,18317,Pan / Victoria,5170614721,9785170614721,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367748682l/10156220._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367748682l/10156220._SY75_.jpg,,,,rus,,false,15054665,7,254,509,134,11,5:36|4:52|3:32|2:11|1:3|total:134,1967,,,3.80,104,4,"['18317', '2967640']","['Knut Hamsun', 'Кнут Гамсун']","['4.00', '3.93']",[],[],[],"Două scurte romane, devenite clasice, dense, de o mare intensitate psihologică şi poetică, despre singurătate şi iubire, printre cele mai frumoase scrieri din literatura europeană. Despre Victoria, Knut Hamsun a afirmat că este un pandant al lui Pan. Romanul <i>Pan</i> a fost ecranizat de patru ori, între 1922 şi 1995. <i>Victoria</i>, romanul de dragoste după protagonista căruia scriitorul şi-a numit prima fiică, a fost ecranizat în 2013. Knut Hamsun a primit Premiul Nobel pentru literatură în 1920.<br /><br />În romanul <i>Pan</i>, obosit de viaţa în miezul civilizaţiei, locotenentul Glahn lasă în urmă normele unei societăţi în care nu-şi găseşte locul şi se refugiază în ţinutul Nordland, unde duce o existenţă retrasă, vânând şi pescuind. Jurnalul lui Glahn cuprinde deopotrivă observaţiile acestuia legate de lumea exterioară, dar şi reflecţiile despre sensul existenţei şi dorinţa sa de a deveni artist. Viaţa lui Glahn ia o întorsătură neaşteptată când o întâlneşte pe Edvarda Mack. Din cauza caracterului imprevizibil al acesteia, povestea lor de dragoste se transformă într-una chinuitoare, cu accente sado-masochiste. Când a apărut, în 1898, romanul <i>Victoria</i> a avut un succes răsunător, datorită intensităţii psihologice, dar şi poetice, a imposibilei poveşti de dragoste dintre Johannes, un tânăr cu origini modeste, şi fiica unui moşier bogat. Întâmplările se petrec într-un sat de pe coasta norvegiană, în secolul al XIX-lea, şi urmăresc evoluţia iubirii niciodată împlinite dintre cei doi tineri provenind din clase sociale diferite. După ce Johannes a devenit un scriitor de succes, iar Victoria s-a supus voinţei familiei sale, cei doi îşi dau seama, prea târziu, că ar fi trebuit să lupte pentru împlinirea dragostei lor. Naraţiunea are, în ambele roman"
32592,18317,In Wonderland,0970312555,9780970312556,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003,9,1,nor,Ig Publishing,false,32753,11,336,470,130,11,5:24|4:51|3:40|2:11|1:4|total:130,1903,,,3.62,87,8,"['18317', '71210']","['Knut Hamsun', 'Sverre Lyngstad']","['4.00', '3.94']",[],[],[],"First published one hundred years ago, and now translated into English for the first time by noted Norwegian scholar Sverre Lyngstad, <i>In Wonderland</i> is a diaristic account of a trip Hamsun took to Russia at the turn of the century. This detailed travelogue is a rich and loving portrait of the people and culture of Russia, and is filled with the trademark style and keen observations of the author of such classics as <i>Hunger, Mysteries</i>, and <i>Growth of the Soil</i>.<br /><br /><i>In Wonderland</i> is unlike any other book written by Hamsun, and offers not only an intimate glimpse into the mind of the Nobel Prize winning author at his unguarded best, but a rare view into a Russia that would soon vanish in the fire of revolution."
632484,18317,Shallow Soil,1406519715,9781406519716,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,3,8,,Dodo Press,false,2379822,46,317,440,114,9,5:31|4:43|3:36|2:1|1:3|total:114,1893,1,1,3.86,70,5,['18317'],['Knut Hamsun'],['4.00'],[],[],[],"Novel from the late 19th and early 20th century Norwegian author who was awarded the Nobel Prize in Literature in 1920. Hamsun was a leading Norwegian author who saw humankind and nature united in a strong, sometimes mystical bond. This connection between the characters and their natural environment is exemplified in the novels Pan, and the epic Growth of the Soil, for which Hamsun received the Nobel Prize in literature in 1920."
137229,18317,The Road Leads on,1419180754,9781419180750,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,132260,22,237,325,83,5,5:24|4:34|3:20|2:4|1:1|total:83,1933,,,3.92,48,4,['18317'],['Knut Hamsun'],['4.00'],[],[],[],
4172027,18317,Enfants de leur temps,2702112161,9782702112168,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327683078l/4172027._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327683078l/4172027._SY75_.jpg,2001,,,fre,CALMANN-LEVY,false,6736373,15,155,286,77,2,5:16|4:31|3:24|2:4|1:2|total:77,1913,,,3.71,18,0,['18317'],['Knut Hamsun'],['4.00'],[],[],[],
9361837,18317,İstanbul'da İki İskandinav Seyyah,,9789753632201,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437740058l/9361837._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437740058l/9361837._SY75_.jpg,2016,4,,tur,Yapı Kredi Yayınları,false,14245313,2,259,280,76,11,5:11|4:35|3:26|2:3|1:1|total:76,1993,1,,3.68,74,11,"['18317', '6378']","['Knut Hamsun', 'Hans Christian Andersen']","['4.00', '4.12']",['4370650'],['Banu Gürsaler Syvertsen'],['3.91'],"Knut Hamsun - Norveç'in şaibeli gururu. Hans Christian Andersen - başmasalcı, gerçek bir seyyah, kötü bir oyun yazarı.<br />Bu iki ""kuzey"" yazarını güneye, İstanbul'a çeken neydi? İstanbul sokaklarında birer yabancı yazar olarak dolaştıklarında, bizim görmediğimiz, atladığımız neleri yakalamışlardı?<br />""Hilalin Altında"" gezen iki ""dünya yazarı""nın, özgün dillerinden yapılan çevirileriyle İstanbul anıları! Türkçede ilk kez..."
