id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
66414,36913,Gitanjali,1420926306,9781420926309,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348514071l/66414._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348514071l/66414._SY75_.jpg,2005,1,1,eng,Digireads.com,false,2066877,432,25677,36515,8448,551,5:4640|4:2420|3:1005|2:237|1:146|total:8448,1910,,,4.32,5774,362,"['36913', '29963']","['Rabindranath Tagore', 'W.B. Yeats']","['4.13', '4.16']",[],[],[],"Nobel laureate Rabindranath Tagore was one of the most important writers in 20th-century Indian literature. Among his expansive and impressive body of work, ""Gitanjali"" is regarded as one of his greatest achievements, and has been a perennial bestseller since it was first published in 1910."
166312,36913,Nationalism,8171677789,9788171677788,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401104243l/166312._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401104243l/166312._SY75_.jpg,,,,,,false,160596,101,3781,4619,1142,132,5:413|4:453|3:206|2:54|1:16|total:1142,1917,,,4.04,676,93,"['36913', '3916522']","['Rabindranath Tagore', 'Rabindra Rachanavali']","['4.13', '4.08']",[],[],[],
7770628,36913,Sakuntala,,2940005867926,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,628126,101,4880,4536,1182,87,5:347|4:424|3:306|2:82|1:23|total:1182,400,,,3.84,3,0,"['186034', '36913', '157010', '3388831']","['Kālidāsa', 'Rabindranath Tagore', 'Laurence Binyon', 'Kedara-Natha Dasa Gupta']","['3.91', '4.13', '3.79', '3.33']",[],[],[],
166350,36913,Stray Birds,1596050179,9781596050174,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,9,1,,Cosimo Classics,false,2676430,130,2504,3865,895,89,5:482|4:269|3:104|2:27|1:13|total:895,1913,,,4.32,623,66,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"""Stray Birds"" contains ideas on nature, man, and his environment as may be entertained by a man sitting by a window where the stray birds of summer sing and fly away. These short, sometimes merely one-line poems are often just an image or the distillation of a thought, but they stay in the mind and do not fly away as easily as the birds. The author, Rabindranath Tagore, was a Nobel laureate for literature (1913) as well as one of India's greatest poets and the composer of independent India's national anthem, as well as that of Bangladesh. He wrote successfully in all literary genres, but was first and foremost a poet, publishing more than 50 volumes of poetry. He was a Bengali writer who was born in Calcutta and later traveled around the world. He was knighted in 1915, but gave up his knighthood after the massacre of demonstrators in India in 1919."
2578021,36913,The Wreck,0333903595,9780333903599,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1262018844l/2578021._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1262018844l/2578021._SX50_.jpg,,,,eng,Macmillan,false,2591752,51,2107,3785,992,81,5:278|4:378|3:240|2:67|1:29|total:992,1906,,,3.82,353,25,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"‘The Wreck’ by Rabindra Nath Tagore sketches the greatest works of the wheel of fortune. Timeless tides, destined stroke of luck and an ambiguous human mind, all imbibe in them the undying threads which surrender the present to the anxious past. Fate, we shall see plays the game throughout the cycle of the book. It was not just the lives of the four characters, namely Kamala, Ramesh, Hemnalini and Dr. Nalinaksha who suffer the consequences of the wreck, but their destiny, the course of fate and the sufferings, everything."
65341,36913,Selected Poems,0140449884,9780140449884,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405308110l/65341._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405308110l/65341._SY75_.jpg,2005,3,31,eng,Penguin Classics,false,2086297,18,2505,3578,854,29,5:380|4:299|3:138|2:31|1:6|total:854,1985,,,4.19,743,22,"['36913', '96721']","['Rabindranath Tagore', 'William Radice']","['4.13', '3.93']",[],[],[],"The poems of Rabindranath Tagore (1861-1941) are among the most haunting and tender in Indian and in world literature, expressing a profound and passionate human yearning. His ceaselessly inventive works deal with such subjects as the interplay between God and the world, the eternal and transient, and with the paradox of an endlessly changing universe that is in tune with unchanging harmonies. Poems such as 'Earth' and 'In the Eyes of a Peacock' present a picture of natural processes unaffected by human concerns, while others, as in 'Recovery - 14', convey the poet's bewilderment about his place in the world. And exuberant works such as 'New Rain' and 'Grandfather's Holiday' describe Tagore's sheer joy at the glories of nature or simply in watching a grandchild play."
26085990,36913,ঠাকুরমার ঝুলি,9841801612,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439359219l/26085990._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439359219l/26085990._SY75_.jpg,1999,11,,ben,বিশ্বসাহিত্য কেন্দ্র,false,21976581,3,2021,3444,774,22,5:503|4:169|3:65|2:21|1:16|total:774,1907,,,4.45,16,0,"['17074185', '8075081', '36913']","['Dakshinaranjan Mitra Majumder', 'Ahmad Majhar', 'Rabindranath Tagore']","['4.43', '4.10', '4.13']",[],[],[],"From Wikipedia:<br /><br />Thakurmar Jhuli (Grandmother's Tales) (Bengali: ঠাকুরমার ঝুলি) is a collection of Bengali folk tales and fairy tales. Dakshinaranjan Mitra Majumder was the person who first collected some folk-stories of Bengal and published it under the name of Thakurmar Jhuli in 1907 (1314 of Bengali calendar). The Nobel-Laureate, Rabindra Nath Thakur wrote the introduction to the compilation. Since then, it has become a favourite of Bengali children. Over the years, it has become a household name in West Bengal and Bangladesh.<br />Some characters and stories like Lalkamal-Nilkamal and Byangoma-Byangomi have gained a legendary status, especially among the children. Hundreds of edition of the book have been published from Bangladesh and West Bengal since the original publication. An English translation by Rina Pritish Nandy has been available lately"
700480,36913,Songs of Kabir,1406931853,9781406931853,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566286354l/700480._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566286354l/700480._SX50_.jpg,,,,eng,Hard Press,false,821124,111,2461,3002,720,67,5:325|4:243|3:115|2:23|1:14|total:720,1448,,,4.17,396,29,['96714'],['Kabir'],['4.22'],['36913'],['Rabindranath Tagore'],['4.13'],
17192083,36913,সঞ্চয়িতা,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356938262l/17192083._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356938262l/17192083._SY75_.jpg,1938,,,ben,Visva-Bharati,false,23645156,8,4723,2936,678,23,5:422|4:146|3:54|2:24|1:32|total:678,1938,1,1,4.33,583,16,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],Sanchayita (literally meaning collection) is a collection of poems by the great Bengali poet Rabindranath Tagore. It was especially published by Visva-Bharati to mark the Tagore Septuagenary Celebrations in 1931. Sanchayita is set apart from numerous other collections due to the fact that the poet himself selected the poems for this collection.
7688040,36913,গীতবিতান,,9788175220096,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452534225l/7688040._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452534225l/7688040._SX50_.jpg,1974,,,ben,Visva-Bharati Granthana-Vibhaga,false,10347665,5,1110,2816,608,12,5:459|4:97|3:38|2:5|1:9|total:608,1964,,,4.63,603,11,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"প্রথম যুগের উদয়দিঙ্গনে<br />     প্রথম দিনের উষা নেমে এল যবে<br />প্রকাশপিয়াসি ধরিত্রী বনে বনে<br />     শুধায়ে ফিরিল সুর খুঁজে পাবে কবে।।<br />এসো এসো সেই নবসৃষ্টির কবি<br />নবজাগরণযুগপ্রভাতের রবি―<br />গান এনেছিলে নব ছন্দের তালে<br />তরুণী উষার শিশিরস্নানের কালে<br />     আলো-আঁধারের আনন্দবিপ্লবে।।<br /><br />সে গান আজিও নানা রাগরাগিণীতে<br />শুনাও তাহারে আগমনিসঙ্গিতে<br />     যে জাগায় চোখে নূতন-দেখার দেখা।<br />যে এসে দাঁড়ায় ব্যাকুলিত ধরণীতে<br />বননীলিমার পেলব সীমানাটিতে,<br />     বহু জনতার মাঝে অপূর্ব একা।<br />অবাক্ আলোযর লিপি যে বহিয়া আনে<br />নিভৃত প্রহরে কবির চকিত প্রাণে,<br />     বিহ্বল প্রাতে সঙ্গীতসৌরভে<br />          দূর আকাশের অরুণিম উত্সবে।।"
158435,36913,Sadhana,142181904X,9781421819044,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2006,5,22,,1st World Library - Literary Society,false,1922642,124,1965,2812,669,79,5:318|4:212|3:103|2:29|1:7|total:669,1913,,,4.20,409,55,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"Perhaps it is well for me to explain that the subject-matter of the papers published in this book has not been philosophically treated, nor has it been approached from the scholar's point of view. The writer has been brought up in a family where texts of the Upanishads are used in daily worship; and he has had before him the example of his father, who lived his long life in the closest communion with God, while not neglecting his duties to the world, or allowing his keen interest in all human affairs to suffer any abatement. So in these papers, it may be hoped, western readers will have an opportunity of coming into touch with the ancient spirit of India as revealed in our sacred texts and manifested in the life of to-day."
16106371,36913,The Postmaster,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351039168l/16106371._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351039168l/16106371._SX50_.jpg,2011,10,24,eng,Penguin,false,21918537,4,1578,2410,568,17,5:256|4:219|3:74|2:13|1:6|total:568,2011,10,24,4.24,558,15,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"Poet, novelist, painter and musician Rabindranath Tagore created the modern short story in . Written in the 1890s, during a period of relative isolation, his best stories—included in this selection—recreate vivid images of life and landscapes. They depict the human condition in its many forms: innocence and childhood; love and loss; the city and the village; the natural and the supernatural. Tagore is ’s great Romantic. These stories reflect his profoundly modern, original vision."
2426632,36913,My Boyhood Days,8171676340,9788171676347,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502176110l/2426632._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502176110l/2426632._SX50_.jpg,2002,12,1,eng,Rupa Classics,false,1990757,22,1366,2312,570,50,5:218|4:213|3:102|2:27|1:10|total:570,1928,,,4.06,391,25,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"My Boyhood Days (Chhelebela, 1940) is Tagore′s second memoir of his childhood days, written when he was nearing eighty. He describes, without a trace of self-pity, the spartan life he had to lead under his father′s instruction. The sense of wonder and delight in the seemingly commonplace experiences of boyhood helped him become a great poet."
66415,36913,Chitra - A Play in One Act,1406730823,9781406730821,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,16804608,86,1402,2250,583,62,5:175|4:206|3:159|2:31|1:12|total:583,1892,,,3.86,231,21,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"This antiquarian book contains Tagore Rabindranath s 1892 play, ""Chitra."" It is a play in one act that adapts the story from the Mahabharata. This particular tale revolves around the character Chitrangada - a female soldier who attempts to get the attention of Arjuna. ""Chitra"" has been performed in many countries around the world and has been used as the basis for a variety of different mediums and formats, including dance. Rabindranath Tagore (1861 - 1941), was a Bengali polymath who was pivotal in the reshaping of Bengali literature and music. This antiquarian book is being republished now in an affordable, modern, high-quality edition, complete with a specially commissioned new biography of the author. Many antiquarian books such as this are increasingly hard to come by and expensive, and it is with this in mind that we are republishing this book now in an affordable, modern, high-quality edition. It comes complete with a specially commissioned biography of the author."""
33955072,36913,5 Best Short Stories,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,54928785,1,948,1819,476,21,5:160|4:144|3:119|2:33|1:20|total:476,,,,3.82,476,21,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],Also published as Tales from Tagore (Bangladesh).
911220,36913,The Hungry Stones and Other Stories,0766182878,9780766182875,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,1,11,,Kessinger Publishing,false,896323,97,957,1754,434,32,5:150|4:180|3:82|2:16|1:6|total:434,1895,,,4.04,241,15,['36913'],['Rabindranath Tagore'],['4.13'],[],[],[],"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work."
