id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
78024,44202,And Quiet Flows the Don,0460878905,9780460878906,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444113702l/78024._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444113702l/78024._SY75_.jpg,1996,,,eng,Dent,false,2591018,75,21348,39879,9821,322,5:4312|4:2950|3:1671|2:618|1:270|total:9821,1934,,,4.06,8175,196,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"And Quiet Flows the Don or Quietly Flows the Don (Тихий Дон, lit. ""The Quiet Don"") is 4-volume epic novel by Russian writer Mikhail Aleksandrovich Sholokhov. The 1st three volumes were written from 1925 to '32 &amp; published in the Soviet magazine October in 1928–32. The 4th volume was finished in 1940. The English translation of the 1st three volumes appeared under this title in 1934. The novel is considered one of the most significant works of Russian literature in the 20th century. It depicts the lives &amp; struggles of Don Cossacks during WWI, the Russian Revolution &amp; Russian Civil War. In 1965, Sholokhov was awarded the Nobel Prize for Literature for this novel. The authorship of the novel is contested by some literary critics &amp; historians, who believe it wasn't entirely written by Sholokhov."
23649027,44202,Ve Durgun Akardı Don (Cilt 3),,9789756865729,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437904156l/23649027._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437904156l/23649027._SX50_.jpg,2001,,,tur,Evrensel Basım Yayın,false,76929151,5,609,913,216,27,5:95|4:84|3:30|2:5|1:2|total:216,1986,1,1,4.23,47,1,['44202'],['Mikhail Sholokhov'],['4.08'],['5781199'],['Tektaş Ağaoğlu'],['4.41'],
78022,44202,"And Quiet Flows the Don, Vol 1 of 5",1589633121,9781589633124,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,6,1,eng,Fredonia Books (NL),false,76932076,1,344,729,178,6,5:75|4:61|3:30|2:8|1:4|total:178,,,,4.10,178,6,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
966015,44202,"And Quiet Flows the Don, Vol 4 of 5",1589633431,9781589633438,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,,,,,false,76932096,1,201,501,116,2,5:56|4:42|3:17|2:1|1:0|total:116,,,,4.32,116,2,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
12278478,44202,They Fought for Their Country,5699423788,9785699423781,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360058388l/12278478._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360058388l/12278478._SY75_.jpg,2010,,,,Exmo,false,2155095,14,224,420,110,12,5:33|4:32|3:39|2:4|1:2|total:110,1942,,,3.82,45,4,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
966014,44202,"And Quiet Flows the Don, Vol 3 of 5",1589633148,9781589633148,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,76929244,2,95,250,57,1,5:27|4:25|3:5|2:0|1:0|total:57,,,,4.39,57,1,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
25919376,44202,Bağban,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437037086l/25919376._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437037086l/25919376._SY75_.jpg,,,,aze,,false,45809231,3,127,238,64,6,5:10|4:31|3:19|2:3|1:1|total:64,,,,3.72,2,0,"['6989', '36913', '18317', '5217', '14167341', '7702', '3535', '89330', '1455', '957894', '8875', '2147', '44202', '585', '39087', '13450', '4026', '11563']","['Rudyard Kipling', 'Rabindranath Tagore', 'Knut Hamsun', 'George Bernard Shaw', 'Ivan Alekseyevich Bunin', 'Luigi Pirandello', 'William Faulkner', 'Pär Lagerkvist', 'Ernest Hemingway', 'Albert Camus', 'Halldór Laxness', 'Ivo Andrić', 'Mikhail Sholokhov', 'John Steinbeck', 'Miguel Ángel Asturias', 'Gabriel García Márquez', 'Pablo Neruda', 'Joseph Brodsky']","['3.93', '4.13', '4.00', '3.91', '4.05', '3.96', '3.85', '3.80', '3.83', '4.00', '3.97', '4.31', '4.08', '3.93', '3.87', '3.97', '4.31', '4.25']",[],[],[],"<i>The Gardener</i> is a short story by Rudyard Kipling, first published in <i>McCall’s Magazine</i>, April 1925."
17900778,44202,قصص,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367958740l/17900778._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367958740l/17900778._SY75_.jpg,1925,,,ara,,false,25075517,4,112,132,33,4,5:12|4:12|3:7|2:1|1:1|total:33,1925,,,4.00,19,3,"['44202', '14427139']","['Mikhail Sholokhov', 'ميخائيل شولوخوف']","['4.08', '4.06']",[],[],[],
9836297,44202,"Cuentos rusos (Sepan Cuantos, #342)",9700745406,9789700745404,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327988720l/9836297._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327988720l/9836297._SY75_.jpg,2008,,,spa,Porrúa,false,14726997,1,91,130,33,7,5:9|4:14|3:9|2:1|1:0|total:33,2008,1,1,3.94,33,7,"['5618756', '232932', '734193', '5618757', '5618759', '5618760', '5618761', '5326370', '44202', '410680', '3137322', '128382', '5618762', '5031025', '3072763', '24953', '24951']","['Rosa María Phillips', 'Nikolai Gogol', 'Mikhail Petrovich Artsybashev', 'Osip Dymov', 'Nikolai Tasin', 'Ilya Surguchov', 'Vladimir Koroloenko', 'Ivan Goncharov', 'Mikhail Sholokhov', 'Ivan Turgenev', 'Fyodor Dostoyevsky', 'Leo Tolstoy', 'Nikolai Garin', 'Anton Chekhov', 'Maxim Gorky', 'Leonid Andreyev', 'Aleksandr Kuprin']","['4.09', '4.04', '3.89', '3.89', '3.89', '3.92', '3.97', '4.07', '4.08', '3.92', '4.18', '4.06', '4.24', '3.96', '3.88', '4.04', '4.07']",[],[],[],
2459314,44202,Донские рассказы. Судьба человека,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2005,,,rus,Детская литература,false,40155162,1,39,124,31,0,5:11|4:12|3:6|2:1|1:1|total:31,,,,4.00,31,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
2459328,44202,Они сражались за Родину. Судьба человека,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,rus,,false,3111766,2,50,124,29,0,5:14|4:11|3:2|2:2|1:0|total:29,,,,4.28,29,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
25483635,44202,Tihi Don 1-3,,9788686667069,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430813050l/25483635._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430813050l/25483635._SX50_.jpg,2008,,,srp,VEGA media,false,45986007,3,73,123,29,0,5:16|4:5|3:7|2:1|1:0|total:29,,,,4.24,14,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
549057,44202,"And Quiet Flows the Don, Vol 5 of 5",158963344X,9781589633445,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,6,1,,Fredonia Books (NL),false,26489854,2,56,114,26,0,5:15|4:9|3:0|2:1|1:1|total:26,2012,4,24,4.38,24,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"Mikhail Sholokhov's book introduces the reader to a New World that is not merely the Don Region but the world of the author's inimitably poetic prose.<br />Sholokhov gave fifteen years of his life to the creation of And Quiet Flows the Don. He began the first book at the age of twenty, in 1926. The last was finished in 1940.<br />A writer who had his roots deep among the people, Sholokhov was a deputy to the Supreme Soviet of the USSR, a well-known public figure and a member of the Academy of Sciences.<br />His books have been translated into 58 languages. And Quiet Flows the Don has gone through over 170 editions in the USSR amounting to more than eight and a half million copies.<br /><br /> Mikhail (Aleksandrovich) Sholokhov (1905-1984) was a Russian writer who was awarded the Nobel Prize for Literature in 1965. Sholokhov's best-known work is the novel And Quiet Flows the Don (1926-40). While Leo Tolstoy's novel War and Peace (1863-69) immortalized the Napoleonic campaigns to the eve of the Decembrist revolt, And Quiet Flows the Don showed the destruction of the Cossacks and the birth of a new society."
1373096,44202,"And Quiet Flows the Don, Vol 2 of 5",158963313X,9781589633131,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2001,6,1,,Fredonia Books (NL),false,76932462,1,44,100,23,0,5:10|4:11|3:2|2:0|1:0|total:23,,,,4.35,23,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
26834163,44202,قصص الدون,5050007046,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443520980l/26834163._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443520980l/26834163._SX50_.jpg,1986,1,1,ara,دار رادوغا,false,46867047,1,67,98,29,5,5:2|4:7|3:20|2:0|1:0|total:29,1986,1,1,3.38,29,5,"['14427139', '44202']","['ميخائيل شولوخوف', 'Mikhail Sholokhov']","['4.06', '4.08']",[],[],[],
40660188,44202,Cuentos Rusos,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530166023l/40660188._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530166023l/40660188._SY75_.jpg,2014,1,1,spa,Editorial Porrúa,false,25753297,4,49,88,21,2,5:7|4:11|3:3|2:0|1:0|total:21,2008,1,1,4.19,1,0,"['410680', '232932', '3137322', '128382', '5618762', '5031025', '24953', '24951', '7577604', '5618757', '5618759', '5618760', '5618761', '5326370', '44202']","['Ivan Turgenev', 'Nikolai Gogol', 'Fyodor Dostoyevsky', 'Leo Tolstoy', 'Nikolai Garin', 'Anton Chekhov', 'Leonid Andreyev', 'Aleksandr Kuprin', 'Mijaíl Artsibáshchev', 'Osip Dymov', 'Nikolai Tasin', 'Ilya Surguchov', 'Vladimir Koroloenko', 'Ivan Goncharov', 'Mikhail Sholokhov']","['3.92', '4.04', '4.18', '4.06', '4.24', '3.96', '4.04', '4.07', '4.00', '3.89', '3.89', '3.92', '3.97', '4.07', '4.08']",[],[],[],"-Memorias de un loco, Nikolai Gógol<br />-Biriuk, Iván Turgueñev<br />-El gran inquisidor,Fiódor Dostoievski<br />-Francisca, León Tolstoi<br />-Una mujer etraña, Nikolai Garín<br />-Una buena mujer, Antón Chéjov<br />-Un hombre original, Leonid Andréiev<br />-Una sumaria,Alexandr Kuprin<br />-Un asesinado, Mijaíl Artsibáshchev<br />-La quiebra, Osip Démov<br />-En las garras de la muerte, Nikolai Tasin<br />-Los padres, Ilia Surguchov<br />-Los murmullos de la selva, Vladimir G. Korolenko<br />-El sueño de Oblómov, Iván A. Gonchárov<br />-El potrillo, Mijail Sholojov"
12577553,44202,الوغد,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,دار المدى,false,19234541,1,92,88,32,4,5:3|4:4|3:13|2:6|1:6|total:32,,,,2.75,32,4,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
626404,44202,Early Stories,158963960X,9781589639607,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2002,8,15,,Books for Business,false,612755,1,43,71,17,2,5:8|4:4|3:5|2:0|1:0|total:17,2002,,,4.18,17,2,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"Mikhail Sholokhov, Member of the Academy of Sciences of the U.S.S.R., Lenin and Nobel Prize winner. Author of: Tales from the Don And Quiet Flows the Don Virgin Soil Upturned They Thought for Their Country The Fact of a Man This book contains six of the stories with which Mikhail Sholokhov, who was later to write the world-famous And Quiet Flows the Don and Virgin Soil Upturned, began his writing career. They are based on the events of the Civil War and Sholokhov's own fighting experience. The stories ""Alien Blood,"" ""The Bastard,"" and ""The Herdsman"" have been adapted for the screen."
23279486,44202,Наука ненависти. Судьба человека,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1984,,,rus,Современник,false,42817897,1,22,62,15,0,5:8|4:3|3:2|2:2|1:0|total:15,1984,,,4.13,15,0,"['44202', '15807606']","['Mikhail Sholokhov', 'Михаил Александрович Шолохов']","['4.08', '4.26']",[],[],[],Подвигу советского народа в Великой Отечественной войне посвящается это издание выдающегося писателя современности М. А. Шолохова.
15829958,44202,Нахаленок,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,21564251,2,27,56,17,0,5:4|4:5|3:3|2:2|1:3|total:17,1925,,,3.29,13,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
32048518,44202,Родинка,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867475l/32048518._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867475l/32048518._SX50_.jpg,1924,,,rus,,false,52688132,1,15,45,11,1,5:5|4:2|3:4|2:0|1:0|total:11,1924,,,4.09,11,1,"['44202', '15807606']","['Mikhail Sholokhov', 'Михаил Александрович Шолохов']","['4.08', '4.26']",[],[],[],"Рассказ М. Шолохова «Родинка» входит в цикл «Донские рассказы», впервые был опубликован в газете ""Молодой ленинец"" в 1924 году. С него, собственно, и начинается творческая биография Шолохова. Тема гражданской войны, актуальная в то время, в этом рассказе проливает свет на ещё одну её трагическую сторону, показывая всю жестокость и нелепость. «Родинка» написана узнаваемым, своеобразным по стилистике «шолоховским» языком."
5172229,44202,And Quiet Flows The Don,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2008,,,,Signet,false,76932980,11,18,45,11,3,5:3|4:6|3:2|2:0|1:0|total:11,,,,4.09,3,0,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],
23430040,44202,Ο ήρεμος Ντον: Τόμος Α',,9789604695942,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413895880l/23430040._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413895880l/23430040._SY75_.jpg,2010,,,gre,Δημοσιογραφικός Οργανισμός Λαμπράκη,false,46254475,2,17,39,9,1,5:4|4:4|3:1|2:0|1:0|total:9,,,,4.33,8,1,"['44202', '9787598']","['Mikhail Sholokhov', 'Μιχαήλ Σόλοχωφ']","['4.08', '4.33']","['9787599', '9787600']","['Ρίτα Μπούμη-Παπά', 'Rita Boumi-Papa']","['4.10', '4.54']",
425892,44202,Hate and Down South: Two Stories,1410105628,9781410105622,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2004,4,15,,Fredonia Books (NL),false,414950,1,17,37,11,1,5:3|4:4|3:1|2:0|1:3|total:11,2004,,,3.36,11,1,['44202'],['Mikhail Sholokhov'],['4.08'],[],[],[],"An unusual short novel about World War II in Russia. Mikhail Sholokhov was a Member of the Academy of Sciences of the U.S.S.R., and a Lenin and Nobel Prize winner. He was the author of: Tales from the Don, And Quiet Flows the Don, Virgin Soil Upturned, They Thought for Their Country, and The Fact of a Man."
