id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
3228331,7902,"Гамлет, принц Датский",5170243332,9785170243334,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318577075l/3228331._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318577075l/3228331._SY75_.jpg,2004,,,rus,"AST, Ermak",false,1885548,4652,1088193,2815150,700211,12149,5:271462|4:235402|3:142311|2:38263|1:12773|total:700211,1603,,,4.02,16,0,['947'],['William Shakespeare'],['3.87'],['7902'],['Boris Pasternak'],['4.03'],"Лучшее из произведений Шекспира.<br />Пьеса, о которой писали не сотни - тысячи критиков, философов и историков.<br />Пьеса, не сходившая со сцены со дня ее премьеры - и до наших дней, экранизированная десятки раз, переведенная на все языки мира...<br />""Гамлета"" можно воспринимать как угодно - в духе классики, маньеризма, модернизма, постмодернизма... однако не нашлось еще человека, которого не потрясла бы трагедия о принце Датском..."
1649428,7902,Adolescence Of Zhenya Luvers,0806530081,9780806530086,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,7,8,,Philosophical Library,false,1643919,17,273,363,103,8,5:21|4:33|3:32|2:13|1:4|total:103,1961,,,3.52,76,7,"['7902', '6623291']","['Boris Pasternak', 'Борис Пастернак']","['4.03', '4.14']",[],[],[],"An enthralling novelette by Boris Pasternak, the author of Dr. Zhivago, Adolescence of Zhenya Luvers explores how a thirteen-year-old girl ceases to be a child and becomes a woman in Russia just before the Communist Revolution. The story examines the world through the reminiscences of a young girl and explores such themes as nature and how we are able to shape the world around us by how we perceive it. The novelette gives readers a prime example of Pasternak s signature style and use of poetics, imagery, and lyricism in prose. Adolescence of Zhenya Luvers is one of Pasternak s first stories, and it originally appeared in a collection by the same name published in 1925. Author: Boris (Leonidovich) Pasternak was a Russian philosopher, poet, writer, and translator. He is famous worldwide for his novel Doctor Zhivago, which won him the Nobel Prize in Literature in 1958. Born in Moscow in 1890 to a painter father and concert-pianist mother, Pasternak first pursued a formal education in musical composition at the University of Moscow, studying under the composer Scriabin. After six years, he gave up music and, following a brief stint in Germany studying philosophy, he returned to Russia to devote his life to writing. With the release of two major works of poetry My Sister Life (1922) and Themes and Variations (1923), Pasternak found himself among the leading poets in Russia. He went on to publish works of fiction, including Adolescence of Zhenya Luvers (1924), several short story collections, and an acclaimed autobiography. As his writing grew more political in the 30s and 40s, Pasternak was unable to publish his own poetry, and instead turned to translating great literary works, including his mentor Rainer Marie Rilke, into Russian. In 1957, only three years before his death, he published Doctor Zhivago to instant international acclaim and a Nobel Prize nomination. In Russia, however, the book s politics were not well received. It was banned and Pasternak was expelled from the Union of Soviet Writers. This tumultuous political spotlight forced him to decline the award. Since his death in 1960, however, Pasternak s works have grown in popularity and he remains one of the most influential Russian writers of the twentieth century."
12424,7902,Safe Conduct: An Autobiography and Other Writings,081120135X,9780811201353,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2009,4,14,eng,New Directions,false,2638487,7,318,359,94,10,5:32|4:30|3:20|2:7|1:5|total:94,1958,12,1,3.82,85,8,"['7902', '3855281']","['Boris Pasternak', 'B. Deutsch']","['4.03', '3.82']",[],[],[],"The awarding of the 1958 Nobel Prize for Literature to Boris Pasternak and the subsequent calumny of his fellow citizens in Soviet Russia focused unusual attention on Pasternak's great novel, <em>Dr. Zhivago</em>, and the small body of his other work. At the time, the latter was only available (in any language, as far as is known) in New Directions' <em>Selected Writings</em> of Pasternak, first published in 1949. The 1958 edition was issued with a new introduction by Babette Deutsch under the title of the book's main component, Pasternak's autobiography.<br /><br /><br />Written when he was forty, <em>Safe Conduct</em> puzzled many readers in Russia and when it appeared in English, because its isolated sharp impressions and juxtapositions seem to deny chronology, but at least one critic recognized it as ""the most original of autobiographies, employing a new technique of great important.""<br /><br /><br />Also included is a group of remarkable short stories, translated by Robert Payne, dealing with the mysteries of life and art, and a selection of the poems that have made Pasternak known, to the few at last, as the ""outstanding Russian poet of the century."" these are translated by the British Critic and poet C. M. Bowra, and by Miss Deutsch."
13223578,7902,Nova Antologia do Conto Russo (1792 - 1998),8573264837,9788573264838,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323781989l/13223578._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323781989l/13223578._SX50_.jpg,2011,,,por,Editora 34,false,18413034,1,291,326,75,6,5:40|4:22|3:12|2:1|1:0|total:75,2011,1,1,4.35,75,6,"['5386403', '128382', '24953', '93579', '39839', '15538', '14167341', '410680', '1258792', '405589', '4175285', '7902', '6043228', '24952', '10270319', '4152890', '17359366', '43298', '328118', '4919787', '137074', '6438151', '3137322', '24951', '797834', '63552', '16070', '5031025', '7328558', '1155349', '232932', '94099', '63475', '64625', '5793234', '5152', '3072763', '6454067', '34055', '88655', '5386412', '5386413', '3342944', '5386406', '3347190', '2918561', '5386408', '3342942', '5386409', '5386410', '5386411']","['Bruno Barretto Gomide', 'Leo Tolstoy', 'Leonid Andreyev', 'Velimir Khlebnikov', 'Vladimir Sorokin', 'Mikhail Lermontov', 'Ivan Alekseyevich Bunin', 'Ivan Turgenev', 'Arkady Averchenko', 'Nikolay Karamzin', 'Vsevolod Garshin', 'Boris Pasternak', 'Vladimir Odoyevsky', 'Nikolai Leskov', 'Teffi', 'Daniil Kharms', 'Mikhail Saltykov-Shchedrin', 'Yevgeny Zamyatin', 'Konstantin Paustovsky', 'Vladimir Korolenko', 'Mikhail Zoshchenko', 'Aleksey Remizov', 'Fyodor Dostoyevsky', 'Aleksandr Kuprin', 'Alexander Grin', 'Varlam Shalamov', 'Alexander Pushkin', 'Anton Chekhov', 'Valentin Kataev', 'Vasily Shukshin', 'Nikolai Gogol', 'Fyodor Sologub', 'Yury Olesha', 'Tatyana Tolstaya', 'Ludmilla Petrushevskaya', 'Vladimir Nabokov', 'Maxim Gorky', 'Andrei Platonov', 'Isaac Babel', 'Sergei Dovlatov', 'Ilf and Petrov', 'Lucas Simone', 'Nivaldo dos Santos', 'Arlete Cavaliere', 'Aurora Fornoni Bernardini', 'Boris Schnaiderman', 'Cecília Rosas', 'Fátima Bianchi', 'Daniela Mountian', 'Denise Sales', 'Graziela Schneider']","['4.37', '4.06', '4.04', '4.39', '3.69', '4.12', '4.05', '3.92', '4.15', '3.52', '3.97', '4.03', '4.00', '3.88', '4.11', '4.28', '3.99', '3.93', '4.29', '3.98', '4.06', '3.95', '4.18', '4.07', '3.93', '4.35', '4.08', '3.96', '4.01', '4.13', '4.04', '3.99', '3.89', '3.92', '3.58', '3.89', '3.88', '3.96', '4.08', '4.30', '4.35', '4.35', '4.01', '4.07', '4.10', '4.18', '4.48', '3.93', '4.38', '4.21', '4.32']",[],[],[],"Quarenta autores, quarenta contos, duzentos anos da melhor prosa russa reunida em um único volume.<br /> Organizada por Bruno Barretto Gomide, professor da Universidade de São Paulo, esta antologia — a primeira no país inteiramente traduzida do russo e composta quase só de obras inéditas em português — apresenta ao leitor um rico panorama da literatura russa ao longo da história, iniciando-se em fins do século XVIII, com Nikolai Karamzin, e chegando até nossos dias, com Serguei Dovlátov, Liudmila Petruchévskaia, Tatiana Tolstaia e Vladímir Sorókin. Entre esses dois extremos, estão presentes todos os grandes nomes, como Púchkin, Gógol, Dostoiévski, Turguêniev, Tchekhov, Tolstói, Górki, Pasternak, Bábel e Nabókov, mas também vários outros menos conhecidos, porém igualmente importantes — Gárchin, Odóievski, Saltikov-Schedrin, Katáiev, Grin, Chalámov, Kharms, Platónov —, alguns deles nunca antes publicados no Brasil. (Veja aqui a lista completa dos contos reunidos.)<br /> Para além dos grandiosos romances de Tolstói e Dostoiévski que, com seus debates de questões morais e existenciais, consagraram a literatura do país em todo o mundo, esta antologia vem mostrar que, na arte do conto, tanto em número como em qualidade — e abarcando uma diversidade de tons e temas —, os russos são igualmente magistrais.<br /><br />Traduções de Arlete Cavaliere, Aurora Fornoni Bernardini, Boris Schnaiderman, Cecília Rosas, Daniela Mountian, Denise Sales, Fátima Bianchi, Graziela Schneider, Lucas Simone, Mário Ramos, Moissei Mountian, Natalia Marcelli de Carvalho, Nivaldo dos Santos, Noé Silva e Yulia Mikaelyan."
1148993,7902,Poems of Boris Pasternak,004891052X,9780048910523,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336164953l/1148993._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336164953l/1148993._SY75_.jpg,,,,,,false,1136458,25,218,316,81,7,5:27|4:27|3:20|2:6|1:1|total:81,1958,1,1,3.90,30,1,['7902'],['Boris Pasternak'],['4.03'],['5627593'],['Lydia Pasternak'],['3.97'],
3314004,7902,February: Selected Poetry,1438212720,9781438212722,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400858989l/3314004._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400858989l/3314004._SY75_.jpg,2008,4,18,,Createspace Independent Publishing Platform,false,3351629,3,203,275,69,8,5:25|4:25|3:13|2:5|1:1|total:69,2008,4,18,3.99,51,2,['7902'],['Boris Pasternak'],['4.03'],['73037'],['Andrey Kneller'],['4.04'],"One of the greatest poets of the Silver Age, Boris Pasternak (February 10, 1890 - May 30, 1960) became known in the west after he was awarded the 1958 Nobel Laureate in Literature and was forced by the Russian authorities to decline the prize. This scandal won him a large audience in the west and his novel, Dr. Zhivago became an instant success. However, contrary to popular belief, Boris Pasternak has never actively rebelled against the Soviet regime. His poetry has always reflected his inner self and was not dictated by the atmosphere of the epoch. In Russia, where the novel, Dr, Zhivago, had been banned until the late 1980's, Boris Pasternak was primarily known for his work as a poet. Boris Pasternak, whose first true love was music, brings a unique sense of melody to his poetry. Barely a whisper, one almost needs to overhear the subtle song in his words. It is this quality of his poetry that sets him apart from his contemporaries and makes his work moving and unforgettable.<br /><br />Nearly all of the poems from Dr. Zhivago (with the exceptions of ""Wedding,"" ""Star of Nativity,"" and ""The Miracle,"" which proved to be too difficult to translate adequately) are included in this dual-language edition, as well as some other poetry written throughout his life. Great emphasis has been placed on retaining the musical quality of the work, without sacrificing the content."
1390495,7902,"Writers at work : the Paris review interviews, second series",0670001759,9780670001750,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336165576l/1390495._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336165576l/1390495._SY75_.jpg,1966,5,18,eng,Penguin (Non-Classics),false,622615,7,192,258,61,6,5:29|4:19|3:11|2:2|1:0|total:61,1963,,,4.23,11,0,"['6474', '7902', '74572', '147', '56770', '3487', '8166', '7305', '1455', '7508', '36912', '7715', '30055', '82947', '18540']","['George Plimpton', 'Boris Pasternak', 'Katherine Anne Porter', 'Henry Miller', 'S.J. Perelman', 'Aldous Huxley', 'Lawrence Durrell', 'Mary McCarthy', 'Ernest Hemingway', 'Ralph Ellison', 'Robert Lowell', 'Robert Frost', 'Ezra Pound', 'Marianne Moore', 'T.S. Eliot']","['4.04', '4.03', '3.93', '3.78', '4.07', '3.99', '4.02', '3.71', '3.83', '3.87', '4.06', '4.25', '3.94', '3.99', '4.16']",[],[],[],"Paris Review 2nd Series is the second of collection literary interviews published by The Paris Review (1963), edited by George Plimpton, and includes an introduction by Van Wyck Brooks. <br /><br />Interviews: Robert Frost, Ezra Pound, Marianne Moore, T. . Eliot, Boris Pasternik, Katherine Anne Porter, Henry Miller, Aldous Huxley, Ernest Hemingway, S. J. Perelman, Lawrence Durrell, Mary McCarthy, Ralph Ellison, Robert Lowell."
24945852,7902,"Four of Us: Pasternak, Akhmatova, Tsvetaeva, Mandelstam",,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,mul,,true,44604542,2,140,215,53,9,5:21|4:17|3:12|2:3|1:0|total:53,2015,1,7,4.06,51,8,"['7902', '99703', '5786093', '61636']","['Boris Pasternak', 'Anna Akhmatova', 'Marina Tsvetaeva', 'Osip Mandelstam']","['4.03', '4.31', '4.28', '4.12']",['73037'],['Andrey Kneller'],['4.04'],
3253210,7902,Стихотворения и поэмы в двух томах. Том 2,5265016449,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,,,rus,Советский писатель. Ленинградское отделение,false,3288379,1,69,180,38,1,5:30|4:6|3:2|2:0|1:0|total:38,1990,,,4.74,38,1,"['7902', '6623291']","['Boris Pasternak', 'Борис Пастернак']","['4.03', '4.14']",[],[],[],"Во второй том вошли произведения 1936-1960 гг., составившие книги ""На ранних поездах"", ""Стихотворения Юрия Живаго"", ""Когда разгуляется"". В качестве приложения к основному собранию даются ранние редакции стихотворений из книг ""Близнец в тучах"", ""Поверх барьеров"", а также ""Стихи для детей"". Том завершается стихотворениями, не включенными в основное собрание. <br />Составление и примечания В.С. Баевского и Е.. Пастернака."
7689216,7902,Доктор Живаго: Повести ; Статьи и очерки,5850504176,9785850504175,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,rus,Слово,false,10352679,1,89,154,35,0,5:20|4:10|3:4|2:1|1:0|total:35,2000,1,1,4.40,35,0,"['7902', '6623291']","['Boris Pasternak', 'Борис Пастернак']","['4.03', '4.14']",[],[],[],
7739288,7902,Poesia Russa Moderna,,9788527302791,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,por,Perspectiva,false,10543438,2,82,129,30,3,5:13|4:14|3:2|2:1|1:0|total:30,1987,1,1,4.30,30,3,"['26450', '2918561', '322423', '4452588', '7902', '887400', '5786093', '99703', '13997171', '295231', '93579', '6563737', '367442', '4152890', '24320', '3396036', '155176', '3396038', '3396039', '3396040', '3396041', '3396042', '3396043', '3396044', '3396045', '3396046', '3396047', '3396048', '3396049']","['Haroldo de Campos', 'Boris Schnaiderman', 'Augusto de Campos', 'Vladimir Mayakovsky', 'Boris Pasternak', 'Sergei Yesenin', 'Marina Tsvetaeva', 'Anna Akhmatova', 'Andrei Bely', 'Alexander Blok', 'Velimir Khlebnikov', 'Давид Бурлюк', 'Iliazd', 'Daniil Kharms', 'Yevgeny Yevtushenko', 'Vassili Kamiênski', 'Wassily Kandinsky', 'Alieksiei Krutchônikh', 'Nicolai Assiéiev', 'Nicolai Zabolótzki', 'Iliá Selvínski', 'Eduard Bagrítzki', 'Leonid Martinov', 'Margarita Aliguer', 'Siemión Gudzenko', 'Andriei Voznissênski', 'Guenádi Aigui', 'Iúri Pankratov', 'Lev Kropivnítzki']","['4.24', '4.18', '4.14', '4.12', '4.03', '4.32', '4.28', '4.31', '3.97', '4.18', '4.39', '3.92', '3.90', '4.28', '3.92', '4.30', '3.82', '4.29', '4.30', '4.30', '4.30', '4.30', '4.30', '4.29', '4.30', '4.30', '4.30', '4.30', '4.30']",[],[],[],
27155917,7902,Doctor Jivago 1,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444672082l/27155917._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444672082l/27155917._SY75_.jpg,1991,,,rum,Elit Comentator,false,47635832,3,101,125,33,2,5:12|4:7|3:11|2:1|1:2|total:33,,,,3.79,30,1,['7902'],['Boris Pasternak'],['4.03'],"['8287680', '14222903']","['Anca Irina Ionescu', 'George Cibulski']","['4.10', '3.58']",
3253106,7902,Стихотворения и поэмы в двух томах. Том 1,5265016430,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990,,,rus,Советский писатель. Ленинградское отделение,false,3288273,1,38,119,27,1,5:17|4:5|3:4|2:1|1:0|total:27,1990,,,4.41,27,1,"['7902', '6623291']","['Boris Pasternak', 'Борис Пастернак']","['4.03', '4.14']",[],[],[],"Настоящая книга представляет собой наиболее полное научно подготовленное издание, в которое входят все известные в настоящее время стихотворные произведения Бориса Пастернака (1890-1960). Первый том объединяет стихотворения и поэмы десятых - тридцатых годов. <br />Вступительная статья В. Н. Альфонсова, составление и примечания В. С. Баевского и Е. Б. Пастернака."
