id,author_id,title,isbn,isbn13,country_code,image_url,small_image_url,publication_year,publication_month,publication_day,language_code,publisher,is_ebook,work_id,total_editions_count,total_added_by,total_rating_sum,total_rating_count,total_text_reviews_count,rating_dist,original_publication_year,original_publication_month,original_publication_day,average_rating,ratings_count,text_reviews_count,authors_ids,authors_names,authors_average_rating,translators_ids,translators_names,translators_average_rating,description
1688817,8440864,The Maid Silja: The History of the Last Offshoot of an Old Family Tree,087797280X,9780877972808,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2007,4,1,eng,Cherokee Publishing Company (GA),false,3192754,31,1023,1457,417,28,5:74|4:125|3:160|2:49|1:9|total:417,1931,,,3.49,154,18,['8440864'],['Frans Emil Sillanpää'],['3.42'],['3015973'],['Alexander Matson'],['3.66'],"The history of the last offshoot of an old family tree, a girl called Silja, who struggles to survive in the agrarian Finland of the first half of the 20th century."
1877176,8440864,"Elämä ja aurinko ja nuoruuden kertomukset (Kootut teokset, #1)",9511092782,9789511092780,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482870l/1877176._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310482870l/1877176._SX50_.jpg,,,,fin,,false,1878171,1,11,25,7,1,5:2|4:2|3:1|2:2|1:0|total:7,,,,3.57,7,1,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
2843582,8440864,Christmas in Scandinavia,0803239076,9780803239074,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328820531l/2843582._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328820531l/2843582._SX50_.jpg,1996,1,1,eng,University of Nebraska Press,false,3966284,2,38,25,7,3,5:1|4:3|3:2|2:1|1:0|total:7,1996,1,1,3.57,1,1,"['3872703', '5546590', '38266', '8440864', '80498', '6563827', '1666833', '488659', '4593613', '11863624', '1063546', '305752', '273501', '6378', '738045', '7581833', '3068875', '1545124', '1126872']","['Sven H. Rossel', 'Bo Elbrønd-Bek', 'Selma Lagerlöf', 'Frans Emil Sillanpää', 'Gunnar Gunnarsson', 'Jakob Sande', 'Fritiof Nilsson Piraten', 'Eyvind Johnson', 'Heðin Brú', 'Axel Hambræus', 'Villy Sørensen', 'William Heinesen', 'Peter Christen Asbjørnsen', 'Hans Christian Andersen', 'Amalie Skram', 'Sophus Schandorph', 'Hans E. Kinck', 'Johannes V. Jensen', 'Karl August Tavaststjerna']","['3.59', '3.57', '3.85', '3.42', '3.93', '4.14', '3.70', '3.68', '3.77', '3.80', '3.84', '4.08', '4.15', '4.12', '3.69', '3.25', '3.60', '3.74', '3.00']",['1235548'],['David W. Colbert'],['3.50'],"Anyone aware of the magic in Christmas will recognize the inspiration in these stories. Readers will encounter robbers on a raid, a homeless stranger seeking kindness, excited children, and a talking Christmas tree, all under the spell of the season. Here and there appear Nissen, the capped and bearded imps of mischief familiar throughout Scandinavia. <i>Christmas in Scandinavia</i> includes writers from Denmark, the Faroese Islands, Finland, Iceland, Norway, and Sweden. Among the many masterpieces of the Christmas story are Hans Christian Andersen's ""The Fir Tree"" and stories by Nobel laureates Selma Lagerlöf and Johannes V. Jensen. Most of the seventeen pieces collected here have never before been available in English. Each is preceded by a brief headnote. In his introduction, Sven H. Rossel discusses the rich and fascinating Scandinavian Christmas traditions, the origins of this feast, and its celebration in contemporary Scandinavia."
23354309,8440864,Poika eli elämäänsä,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1953,,,fin,Otava,false,42911323,2,11,19,6,1,5:0|4:1|3:5|2:0|1:0|total:6,1953,,,3.17,4,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
17282943,8440864,Żyzny granit. Antologia nowel i opowiadań fińskich.,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360686312l/17282943._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360686312l/17282943._SY75_.jpg,1970,,,pol,Wydawnictwo Poznańskie,false,23900376,1,10,14,5,0,5:0|4:2|3:1|2:1|1:1|total:5,1970,1,1,2.80,5,0,"['3048850', '2109345', '148592', '6904899', '6904900', '630057', '750149', '5438736', '897292', '3260030', '2754004', '33472', '6904901', '6904902', '776690', '2883407', '8440864']","['Zygmunt Łanowski', 'Antti Hyry', 'Veijo Meri', 'Maria-Liisa Vartio', 'Paavo Havikko', 'Pentti Holappa', 'Paavo Rintala', 'Juha Mannerkorpi', 'Eeva-Liisa Manner', 'Elvi Sinervo', 'Toivo Pekkanen', 'Mika Waltari', 'Elmer Diktionius', 'Hagar Olson', 'Runar Schildt', 'Pentti Haanpää', 'Frans Emil Sillanpää']","['3.99', '3.32', '3.22', '2.80', '2.80', '3.71', '3.55', '3.59', '3.77', '3.49', '3.44', '4.05', '2.80', '2.80', '3.06', '3.53', '3.42']",[],[],[],"Zbiór obejmuje utwory opublikowane w Finlandii od przełomu lat 1917/1918, do początku lat 60. XX w. Są to zatem dzieła pisarzy, których życie przypada na okres wojenny. Mamy tu do wyboru dzieła takich twórców jak Elmer Diktonius, Pentti Haanapää, Paavo Haavikko, Pentti Holappa, Antti Hyry, Eeva-Liisa Manner, Juha Mannerkorpi, Veijo Meri, Hagar Olsson, Toivo Pekkanen, Paavo Rintala, Runar Schildt, Frans Eemil Sillanpää, Elvi Sinervo, Maria-Lisa Vartio, a nawet znanego na całym świecie Miki Waltariego. Wyboru dokonał Zygmunt Łanowski"
40543455,8440864,Hurskas kurjuus: Päättynyt suomalainen elämäkerta,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,62952533,1,5,13,3,0,5:1|4:2|3:0|2:0|1:0|total:3,,,,4.33,3,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
14060480,8440864,Yön ja päivän kartta – novelleja ja tulkintoja,9510186112,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337514376l/14060480._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337514376l/14060480._SY75_.jpg,1993,,,fin,Werner Söderström Osakeyhtiö,false,19697364,1,19,11,4,1,5:0|4:1|3:1|2:2|1:0|total:4,1993,1,1,2.75,4,1,"['58886', '976326', '5895402', '2883407', '1455', '2109345', '4664102', '838298', '494598', '148592', '37848', '1187103', '7469', '237106', '1318299', '3009983', '2044165', '8440864', '5895404', '5031025', '319931']","['Juhani Aho', 'Helena Anhava', 'Wolf-Gang Borchert', 'Pentti Haanpää', 'Ernest Hemingway', 'Antti Hyry', 'Martti Joenpolvi', 'Maria Jotuni', 'Rosa Liksom', 'Veijo Meri', 'Alberto Moravia', 'Teuvo Pakkala', 'Octavio Paz', 'Jayne Anne Phillips', 'Esa Sariola', 'Juha Seppälä', 'Raija Siekkinen', 'Frans Emil Sillanpää', 'Hannu Simpura', 'Anton Chekhov', 'Antti Tuuri']","['3.31', '3.30', '2.75', '3.53', '3.83', '3.32', '3.38', '3.43', '3.36', '3.22', '3.74', '3.20', '4.14', '3.55', '2.64', '3.39', '3.69', '3.42', '3.00', '3.96', '3.44']",[],[],[],"Yön ja päivän kartta on kokoelma novelleja ja niiden lyhyitä tulkintoja. Novellivalikoima on laaja ja monipuolinen: mukana on novelleja kotoa ja kaukaa, vuosisatojen takaa ja tästä päivästä. Novelleja tulkitsevat maamme eturivin kirjailijat, kriitikot, tutkijat ja opettajat.<br /><br />Jokainen lukija on tulkki, karttoja on paljon. Yön ja päivän kartta on paitsi erinomainen novellikokoelma myös mainio tutkimusretki kirjallisuuskritiikin ja kirjallisuudentutkimuksen maailmaan. Sitä lukiessa saa yllättäviä oivalluksia: tälläkin tavalla voi novelleja lukea, myös näin niistä voi kirjoittaa."
24346162,8440864,Santa miseria­ - Silja­ - Racconti Nobel 1939,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,ita,,false,43928098,1,3,9,2,0,5:1|4:1|3:0|2:0|1:0|total:2,,,,4.50,2,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
17971990,8440864,Nordiske nobelpristagere,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369335340l/17971990._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369335340l/17971990._SY75_.jpg,,,,dan,Carit Andersens Forlag,false,25193597,1,4,9,3,1,5:0|4:1|3:1|2:1|1:0|total:3,,,,3.00,3,1,"['648081', '4551622', '18317', '599498', '1545124', '89330', '38266', '8875', '539149', '8440864', '4203']","['Bjørnstjerne Bjørnson', 'Karl Gjellerup', 'Knut Hamsun', 'Verner von Heidenstam', 'Johannes V. Jensen', 'Pär Lagerkvist', 'Selma Lagerlöf', 'Halldór Laxness', 'Henrik Pontoppidan', 'Frans Emil Sillanpää', 'Sigrid Undset']","['3.38', '3.88', '4.00', '3.16', '3.74', '3.80', '3.85', '3.97', '4.18', '3.42', '4.17']","['7103022', '3145564', '7103023', '278887']","['Christian Westergård-Nielsen', 'Per Lange', 'Kjel Elfelt', 'Bent Nielsen']","['3.00', '3.42', '3.00', '4.00']",
29084954,8440864,Enkelten suojatit : lastuja lapsista ja heidän kohtaloistaan,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1923,,,fin,WSOY,false,49318032,1,8,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,1923,,,3.00,1,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
36547960,8440864,Töllinmäki,9511103431,9789511103431,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1988,,,fin,Otava,false,58279586,1,2,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,1925,,,3.00,1,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
18458951,8440864,NOBEL PRIZE LIBRARY SILLANPÄÄ 1939,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378394082l/18458951._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378394082l/18458951._SX50_.jpg,1970,,,eng,CRM,false,26110233,1,3,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,1970,1,1,3.00,1,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],MAID SILJA
24995552,8440864,Ihmislapsia elämän saatossa,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,fin,,true,44664884,1,6,3,1,0,5:0|4:0|3:1|2:0|1:0|total:1,1923,,,3.00,1,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
51256686,8440864,Virran pohjalta,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,false,71854716,1,1,2,1,1,5:0|4:0|3:0|2:1|1:0|total:1,,,,2.00,1,1,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],Pakinoita ja novellintapaisia
53167796,8440864,Erään elämän satoa,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586795269l/53167796._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586795269l/53167796._SX50_.jpg,1947,,,fin,Otava,false,80008713,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['8440864', '8343976']","['Frans Emil Sillanpää', 'Rafael Koskimies']","['3.42', '3.00']",[],[],[],"Sisällys:<br /><br />- Kodin helmasta<br />- Nocturno<br />- Piika<br />- Vanhan Siinan vierailu<br />- Elon virta vilahtelee<br />(<i>Ihmislapsia elämän saatossa</i>, 1917)<br /><br />- Ohrankylvö<br />- Kertomus järvestä<br />- Kun elämä riutuu<br />(<i>Rakas isänmaani</i>, 1919)<br /><br />- Emot ja poikaset<br />- Kemppaisen mukulat<br />(<i>Enkelten suojatit</i>, 1923)<br /><br />- Juhannusvieraat<br />- Kanttoorin lehmänhaku<br />- Ohjelmaa<br />- Paluu<br />- Vanha valtias<br />- Muuan mies<br />- Myllynkivet<br />- Talvinen turtumus<br />(<i>Maan tasalta</i>, 1924)<br /><br />- Taistelu elämisestä<br />- Talon tytär<br />- Viimeinen näytös<br />- Muuan lähimmäiseni<br />(<i>Töllinmäki</i>, 1925)<br /><br />- Äitevainaan rukki<br />- Hyödyllinen palvelija eli juhdan vaiheet<br />- Nuoren hulikaanin joulunpyhät<br />(<i>Rippi</i>, 1928)<br /><br />- Antilan Taavetti<br />(<i>Virran pohjalta</i>, 1933)<br /><br />- Kuinka isäni ja äitini saapuivat Sillanpäähän<br />- Trutsi<br />- Syyssade<br />(<i>Viidestoista</i>, 1936)"
40877400,8440864,Valitut teokset,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575909092l/40877400._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575909092l/40877400._SX50_.jpg,1958,,,fin,Otava,false,63691664,1,2,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['8440864', '8343976']","['Frans Emil Sillanpää', 'Rafael Koskimies']","['3.42', '3.00']",[],[],[],This is a PRE-ISBN edition.<br /><br />Hurskas kurjuus<br />Nuorena Nukkunut<br />Ihmiset suviyössä
39712486,8440864,Jung entschlafen,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,,,,true,61371547,1,5,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],['14503465'],['Reetta Karjalainen'],['3.54'],
32877630,8440864,Maan tasalta,,,TR,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1924,,,fin,WSOY,false,53488028,1,3,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,1924,,,0.00,0,0,['8440864'],['Frans Emil Sillanpää'],['3.42'],[],[],[],
36599299,8440864,Noorena uinunud. Inimelu võlu ja vaev,,,TR,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510748276l/36599299.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510748276l/36599299._SY75_.jpg,1975,,,est,Eesti Raamat,false,58351968,1,1,0,0,0,5:0|4:0|3:0|2:0|1:0|total:0,,,,0.00,0,0,"['8440864', '8196938', '5780087']","['Frans Emil Sillanpää', 'Heino Kersna', 'Minni Nurme']","['3.42', '3.94', '3.84']","['6468527', '6764241']","['Harald Lepik', 'Mart Lepik']","['3.09', '3.12']","F. E. Sillanpää on tuntumaid ja tõlgitumaid soome klassikuid, 1939. a. Nobeli preemia laureaat. 1930-ndail saavutas ta täie loomisjõu, ilmutades üksteise järel oma kuulsad romaanid ""Noorena uinunud"" (e.k. ""Silja""), ""Mehe tee"" ja ""Inimesed suveöös"". <br /><br />Romaan ""Noorena uinunud"", mis kätkeb kõige täiuslikumalt Sillanpää kirjanikunatuuri, kujutab vana talupojasuguvõsa hääbumist. Looduslapse Silja kuju peetakse üheks kaunimaks naiskujuks soome kirjanduses. <br /> Pärast sõda on Sillanpäält ilmunud veel kaks romaani: ""August"" ja ""Inimelu võlu ja vaev"" (1945). Viimane, mõneti autobiograafiline teos lisab senisele uusi noote: uus on miljöö – haritlaskonna elusfäär – kui ka eneseirooniline hoiak.<br /><br />***<br />Tõlgitud raamatutest: ""Nuorena nukkunut eli vahnan sukupuun viimeinen vihanta"" ja ""Ihmiselon ihanuus ja kurjuus"""
